Dataset,Column,Label,Reference,Domain,Sample
dbo/DimAccount.csv,AcctCodeAltKey,DimAccount.AccountCodeAlternateKey,,,"[5020, 3540, 1180, 6300, 400]"
dbo/DimAccount.csv,AcctDesc,AccountDescription,,,"['Furniture and Fixtures', 'Land & Improvements', 'Assets', 'Operating Expenses', 'Rent']"
dbo/DimAccount.csv,AcctKey,DimAccount.AccountKey,,,"[23, 29, 82, 58, 36]"
dbo/DimAccount.csv,AcctType,AccountType,,,"['Liabilities', 'Assets', 'Expenditures', 'Assets', 'Expenditures']"
dbo/DimAccount.csv,CustMemOpt,CustomMemberOptions,,,[]
dbo/DimAccount.csv,CustomMem,CustomMembers,,,['[Account].[Accounts].[Account Level 04].&[50]/[Account].[Accounts].[Account Level 02].&[97]']
dbo/DimAccount.csv,DAOperator,Operator,,,"['+', '+', '+', '+', '-']"
dbo/DimAccount.csv,ParentAcctCodeAltKey,DimAccount.ParentAccountCodeAlternateKey,,,"[60.0, 10.0, 1200.0, 2200.0, 60.0]"
dbo/DimAccount.csv,ParentAcctKey,DimAccount.AccountKey,dbo/DimAccount.csv#AcctKey,,"[64.0, 88.0, 9.0, 59.0, 27.0]"
dbo/DimAccount.csv,ValType,ValueType,,,"['Currency', 'Currency', 'Currency', 'Currency', 'Currency']"
dbo/DimCurrency.csv,CurrAltKey,DimCurrency.CurrencyAlternateKey,,,"['DOP', 'JMD', 'BEF', 'ZWD', 'RUB']"
dbo/DimCurrency.csv,CurrKey,DimCurrency.CurrencyKey,,,"[18, 35, 97, 36, 99]"
dbo/DimCurrency.csv,CurrName,Currency.Name,,,"['New Taiwan Dollar', 'Ngultrum', 'Polish Zloty(old)', 'Naira', 'Slovak Koruna']"
dbo/DimCustomer.csv,Addr,Address.AddressLine1,,,"['5863 J St.', '3302 Alan Dr', '7281 Running Springs Rd.', 'Am Kreuz 405', '593 Chatworth']"
dbo/DimCustomer.csv,Addr2,Address.AddressLine2,,,"['# 4', 'Verkaufsabteilung', 'Verkaufsabteilung', '# 1104', 'Einkaufsabteilung']"
dbo/DimCustomer.csv,bDate,Employee.BirthDate,,,"['1986-06-03', '1961-04-19', '1953-02-14', '1958-05-16', '1977-02-17']"
dbo/DimCustomer.csv,Commute,CommuteDistance,,,"['0-1 Miles', '10+ Miles', '1-2 Miles', '1-2 Miles', '10+ Miles']"
dbo/DimCustomer.csv,CustAltKey,DimCustomer.CustomerAlternateKey,,,"['AW00017470', 'AW00022166', 'AW00023266', 'AW00013172', 'AW00025446']"
dbo/DimCustomer.csv,CustKey,DimCustomer.CustomerKey,,,"[20722, 18135, 25396, 15669, 22553]"
dbo/DimCustomer.csv,FirstPurchaseDate,SalesOrderHeader.OrderDate,,,"['2014-01-04', '2013-07-22', '2013-04-04', '2011-10-18', '2013-10-20']"
dbo/DimCustomer.csv,Email,EmailAddress.EmailAddress,,,"['armando12@adventure-works.com', 'alexis16@adventure-works.com', 'bailey23@adventure-works.com', 'jacquelyn15@adventure-works.com', 'ross24@adventure-works.com']"
dbo/DimCustomer.csv,EngEd,Education,,,"['Bachelors', 'Partial College', 'Partial College', 'Bachelors', 'Bachelors']"
dbo/DimCustomer.csv,EnglishOccu,Occupation,,,"['Management', 'Manual', 'Professional', 'Skilled Manual', 'Management']"
dbo/DimCustomer.csv,CustFName,Person.FirstName,,,"['Janet', 'Brianna', 'Natalie', 'Noah', 'Xavier']"
dbo/DimCustomer.csv,FrEd,Education,,,"['Baccalauréat', 'Bac + 2', 'Bac + 3', 'Bac + 4', 'Baccalauréat']"
dbo/DimCustomer.csv,FrenchOccu,Occupation,,,"['Employé', 'Technicien', 'Direction', 'Technicien', 'Cadre']"
dbo/DimCustomer.csv,PersonGender,Gender,,,"['F', 'F', 'F', 'M', 'F']"
dbo/DimCustomer.csv,GeoKey,DimGeography.GeographyKey,dbo/DimGeography.csv#LocationKey,,"[37, 161, 193, 612, 368]"
dbo/DimCustomer.csv,HouseOwner,HouseOwnerFlag,,,"[1, 1, 0, 0, 1]"
dbo/DimCustomer.csv,lName,Person.LastName,,,"['Young', 'Subram', 'Taylor', 'Zeng', 'Hill']"
dbo/DimCustomer.csv,Status,MartialStatus,,,"['M', 'M', 'S', 'S', 'S']"
dbo/DimCustomer.csv,mName,Person.MiddleName,,,"['A', 'S', 'C', 'J', 'E']"
dbo/DimCustomer.csv,nStyle,Person.NameStyle,,,"[False, False, False, False, False]"
dbo/DimCustomer.csv,nCars,NumberCarsOwned,,,"[2, 2, 1, 1, 1]"
dbo/DimCustomer.csv,ChildrenAtHome,NumberChildrenAtHome,,,"[3, 0, 0, 2, 0]"
dbo/DimCustomer.csv,PhoneNumber,PersonPhone.PhoneNumber,,,"['1 (11) 500 555-0123', '1 (11) 500 555-0121', '1 (11) 500 555-0164', '446-555-0155', '462-555-0162']"
dbo/DimCustomer.csv,SpanEd,Education,,,"['Licenciatura', 'Educación secundaria (en curso)', 'Licenciatura', 'Educación secundaria (en curso)', 'Educación secundaria']"
dbo/DimCustomer.csv,SpanOccu,Occupation,,,"['Profesional', 'Obrero especializado', 'Profesional', 'Gestión', 'Obrero especializado']"
dbo/DimCustomer.csv,NameSuffix,Person.Suffix,,,"['Jr.', 'Jr.', 'Jr.']"
dbo/DimCustomer.csv,CustTitle,Person.Title,,,"['Ms.', 'Ms.', 'Mr.', 'Mr.', 'Mr.']"
dbo/DimCustomer.csv,totChild,TotalChildren,,,"[1, 2, 4, 1, 1]"
dbo/DimCustomer.csv,income,YearlyIncome,,,"[80000.0, 80000.0, 60000.0, 30000.0, 80000.0]"
dbo/DimDate.csv,Qtr,CalendarQuarter,,,"[3, 4, 4, 1, 3]"
dbo/DimDate.csv,Semseter,CalendarSemester,,,"[2, 1, 1, 1, 2]"
dbo/DimDate.csv,Year,CalendarYear,,,"[2009, 2006, 2007, 2010, 2005]"
dbo/DimDate.csv,DKey,DimDate.DateKey,,,"[20050211, 20061003, 20060111, 20090607, 20110215]"
dbo/DimDate.csv,DayMonNum,DayNumberOfMonth,,,"[29, 15, 16, 2, 19]"
dbo/DimDate.csv,DayofWeek,DayNumberOfWeek,,,"[5, 3, 4, 2, 1]"
dbo/DimDate.csv,DayNum,DayNumberOfYear,,,"[328, 205, 113, 29, 273]"
dbo/DimDate.csv,EngDayOfWeek,DayNameOfWeek,,,"['Wednesday', 'Saturday', 'Tuesday', 'Saturday', 'Monday']"
dbo/DimDate.csv,EngMonth,MonthName,,,"['October', 'May', 'December', 'August', 'November']"
dbo/DimDate.csv,FiscQuarter,FiscalQuarter,,,"[1, 3, 3, 2, 2]"
dbo/DimDate.csv,FiscSemester,FiscalSemester,,,"[1, 2, 2, 1, 1]"
dbo/DimDate.csv,FiscYear,FiscalYear,,,"[2011, 2006, 2012, 2010, 2009]"
dbo/DimDate.csv,FrDayOfWeek,DayNameOfWeek,,,"['Mardi', 'Vendredi', 'Dimanche', 'Jeudi', 'Dimanche']"
dbo/DimDate.csv,FrenchMon,MonthName,,,"['Avril', 'Février', 'Janvier', 'Juin', 'Juin']"
dbo/DimDate.csv,DateAltKey,DimDate.FullDateAlternateKey,,,"['2005-01-21', '2013-06-03', '2013-09-23', '2014-09-25', '2006-06-22']"
dbo/DimDate.csv,Month,MonthNumberOfYear,,,"[3, 7, 9, 11, 6]"
dbo/DimDate.csv,SpanDayOfWeek,DateWeek,,,"['Domingo', 'Jueves', 'Martes', 'Jueves', 'Miércoles']"
dbo/DimDate.csv,SpanMonth,MonthName,,,"['Mayo', 'Agosto', 'Julio', 'Enero', 'Noviembre']"
dbo/DimDate.csv,WeekNum,WeekNumberOfYear,,,"[28, 31, 2, 9, 24]"
dbo/DimDepartmentGroup.csv,DeptKey,DimDepartmentGroup.DepartmentGroupKey,,,"[5, 1, 4, 6, 2]"
dbo/DimDepartmentGroup.csv,GrpName,Department.GroupName,,,"['Manufacturing', 'Corporate', 'Quality Assurance', 'Inventory Management', 'Sales and Marketing']"
dbo/DimDepartmentGroup.csv,ParentDeptKey,DimDepartmentGroup.DepartmentGroupKey,dbo/DimDepartmentGroup.csv#DeptKey,,"[1.0, 1.0, 1.0, 1.0, 1.0]"
dbo/DimEmployee.csv,BasePay,BaseRate,,,"[11.0, 28.8462, 23.0769, 18.2692, 25.0]"
dbo/DimEmployee.csv,BDay,Employee.BirthDate,,,"['1973-08-18', '1985-06-24', '1987-12-09', '1977-05-04', '1988-06-19']"
dbo/DimEmployee.csv,Current,Employee.CurrentFlag,,,"[True, True, True, True, True]"
dbo/DimEmployee.csv,Dept,Department.Name,,,"['Quality Assurance', 'Facilities and Maintenance', 'Production', 'Production', 'Production']"
dbo/DimEmployee.csv,EAddr,EmailAddress.EmailAddress,,,"['barbara0@adventure-works.com', 'carole0@adventure-works.com', 'mikael0@adventure-works.com', 'denise0@adventure-works.com', 'jae0@adventure-works.com']"
dbo/DimEmployee.csv,EmergencyContact,EmergencyContactName,,,"['Lori Kane', 'George Li', 'Fred Northup', 'Steve Masters', 'Jillian Carson']"
dbo/DimEmployee.csv,EmergencyPhoneNumber,EmergencyContactPhone,,,"['224-555-0187', '775-555-0164', '150-555-0194', '424-555-0189', '314-555-0113']"
dbo/DimEmployee.csv,EmpKey,DimEmployee.EmployeeKey,,,"[219, 252, 247, 132, 137]"
dbo/DimEmployee.csv,EmpAltKey,DimEmployee.EmployeeNationalIDAlternateKey,,,"[420023788, 778552911, 25011600, 20244403, 509647174]"
dbo/DimEmployee.csv,Ended,EndDate,,,"['2009-12-28', '2011-02-27', '2012-02-12', '2009-02-11', '2013-06-13']"
dbo/DimEmployee.csv,FName,Person.FirstName,,,"['Deborah', 'Jinghao', 'Christopher', 'Jo', 'Jose']"
dbo/DimEmployee.csv,EmpGender,Employee.Gender,,,"['M', 'M', 'M', 'M', 'M']"
dbo/DimEmployee.csv,Hired,Employee.HireDate,,,"['2009-09-23', '2012-12-28', '2008-07-31', '2008-08-12', '2011-12-29']"
dbo/DimEmployee.csv,LName,Person.LastName,,,"['Rapier', 'Campbell', 'Northup', 'Miller', 'Hall']"
dbo/DimEmployee.csv,ID,Employee.LoginID,,,"['adventure-works\\lane0', 'adventure-works\\shu0', 'adventure-works\\gabe0', 'adventure-works\\danielle0', 'adventure-works\\ruth0']"
dbo/DimEmployee.csv,MStat,Employee.MaritalStatus,,,"['M', 'M', 'M', 'S', 'M']"
dbo/DimEmployee.csv,MName,Person.MiddleName,,,"['N', 'A', 'W', 'M', 'Barreiro Gambaro']"
dbo/DimEmployee.csv,StyleName,Person.NameStyle,,,"[False, False, False, False, False]"
dbo/DimEmployee.csv,ParentEmpKey,DimEmployee.EmployeeKey,dbo/DimEmployee.csv#EmpKey,,"[142.0, 214.0, 277.0, 53.0, 23.0]"
dbo/DimEmployee.csv,ParentEmpAltKey,DimEmployee.EmployeeNationalIDAlternateKey,,,[]
dbo/DimEmployee.csv,PayCheckFreq,PayFrequency,,,"[1, 2, 2, 1, 1]"
