AcctKey,ParentAcctKey,AcctCodeAltKey,ParentAcctCodeAltKey,AcctDesc,AcctType,DAOperator,CustomMem,ValType,CustMemOpt
1,,1,,Balance Sheet,,~,,Currency,
2,1.0,10,1.0,Assets,Assets,+,,Currency,
3,2.0,110,10.0,Current Assets,Assets,+,,Currency,
4,3.0,1110,110.0,Cash,Assets,+,,Currency,
5,3.0,1120,110.0,Receivables,Assets,+,,Currency,
6,5.0,1130,1120.0,Trade Receivables,Assets,+,,Currency,
7,5.0,1140,1120.0,Other Receivables,Assets,+,,Currency,
8,3.0,1150,110.0,Allowance for Bad Debt,Assets,+,,Currency,
9,3.0,1160,110.0,Inventory,Assets,+,,Currency,
10,9.0,1162,1160.0,Raw Materials,Assets,+,,Currency,
11,9.0,1164,1160.0,Work in Process,Assets,+,,Currency,
12,9.0,1166,1160.0,Finished Goods,Assets,+,,Currency,
13,3.0,1170,110.0,Deferred Taxes,Assets,+,,Currency,
14,3.0,1180,110.0,Prepaid Expenses,Assets,+,,Currency,
15,3.0,1185,110.0,Intercompany Receivables,Assets,+,,Currency,
17,2.0,1200,10.0,"Property, Plant, Equipment",Assets,+,,Currency,
18,17.0,1210,1200.0,Land & Improvements,Assets,+,,Currency,
19,17.0,1220,1200.0,Buildings & Improvements,Assets,+,,Currency,
20,17.0,1230,1200.0,Machinery & Equipment,Assets,+,,Currency,
21,17.0,1240,1200.0,Office Furniture & Equipment,Assets,+,,Currency,
22,17.0,1250,1200.0,Leasehold Improvements,Assets,+,,Currency,
23,17.0,1260,1200.0,Construction In Progress,Assets,+,,Currency,
24,2.0,1300,10.0,Other Assets,Assets,+,,Currency,
25,1.0,20,1.0,Liabilities and Owners Equity,Liabilities,-,,Currency,
26,25.0,210,20.0,Liabilities,Liabilities,+,,Currency,
27,26.0,2200,210.0,Current Liabilities,Liabilities,+,,Currency,
28,27.0,2210,2200.0,Notes Payable,Liabilities,+,,Currency,
29,27.0,2230,2200.0,Accounts Payable,Liabilities,+,,Currency,
30,27.0,2300,2200.0,Accrued Expenses,Liabilities,+,,Currency,
31,30.0,2310,2300.0,Salary & Other Comp,Liabilities,+,,Currency,
32,30.0,2320,2300.0,Insurance,Liabilities,+,,Currency,
33,30.0,2330,2300.0,Warranties,Liabilities,+,,Currency,
34,27.0,2340,2200.0,Intercompany Payables,Liabilities,+,,Currency,
35,27.0,2350,2200.0,Other Current Liabilities,Liabilities,+,,Currency,
36,26.0,2400,210.0,Long Term Liabilities,Liabilities,+,,Currency,
37,36.0,2410,2400.0,Long Term Obligations,Liabilities,+,,Currency,
38,36.0,2420,2400.0,Pension Liability,Liabilities,+,,Currency,
39,36.0,2430,2400.0,Other Retirement Benefits,Liabilities,+,,Currency,
40,36.0,2440,2400.0,Other Long Term Liabilities,Liabilities,+,,Currency,
41,25.0,300,20.0,Owners Equity,Liabilities,+,,Currency,
42,41.0,3010,300.0,Partner Capital,Liabilities,+,,Currency,
43,41.0,3020,300.0,Additional Paid In Capital,Liabilities,+,,Currency,
44,41.0,3030,300.0,Retained Earnings,Liabilities,+,,Currency,
45,44.0,3540,3030.0,Prior Year Retained Earnings,Liabilities,+,,Currency,
46,44.0,3550,3030.0,Current Retained Earnings,Liabilities,+,,Currency,
47,,4,,Net Income,Revenue,+,,Currency,
48,47.0,40,4.0,Operating Profit,Revenue,+,,Currency,
49,48.0,400,40.0,Gross Margin,Revenue,+,,Currency,
50,49.0,4100,400.0,Net Sales,Revenue,+,,Currency,
51,50.0,4110,4100.0,Gross Sales,Revenue,+,,Currency,
52,51.0,4500,4110.0,Intercompany Sales,Revenue,+,,Currency,
