BusinessEntityID,RateChangeDate,Rate,PayFrequency,ModifiedDate
1,2009-01-14,125.5,2,2014-06-30
2,2008-01-31,63.4615,2,2014-06-30
3,2007-11-11,43.2692,2,2014-06-30
4,2007-12-05,8.62,2,2007-11-21
4,2010-05-31,23.72,2,2010-05-16
4,2011-12-15,29.8462,2,2011-12-01
5,2008-01-06,32.6923,2,2014-06-30
6,2008-01-24,32.6923,2,2014-06-30
7,2009-02-08,50.4808,2,2014-06-30
8,2008-12-29,40.8654,2,2014-06-30
9,2009-01-16,40.8654,2,2014-06-30
10,2009-05-03,42.4808,2,2014-06-30
11,2010-12-05,28.8462,2,2014-06-30
12,2007-12-11,25.0,2,2014-06-30
13,2010-12-23,25.0,2,2014-06-30
14,2010-12-30,36.0577,2,2014-06-30
15,2011-01-18,32.6923,2,2014-06-30
16,2007-12-20,24.0,2,2007-12-06
16,2009-07-15,28.75,2,2009-07-01
16,2012-04-30,37.5,2,2012-04-16
17,2007-01-26,13.4615,2,2014-06-30
18,2011-02-07,14.4231,2,2014-06-30
19,2011-02-14,13.4615,2,2014-06-30
20,2011-01-07,13.4615,2,2014-06-30
21,2009-03-02,14.4231,2,2014-06-30
22,2008-12-12,14.4231,2,2014-06-30
23,2009-01-12,14.4231,2,2014-06-30
24,2009-01-18,14.4231,2,2014-06-30
25,2009-02-03,84.1346,2,2014-06-30
26,2008-12-01,24.5192,2,2014-06-30
27,2008-02-27,25.0,2,2014-06-30
28,2006-06-30,12.45,1,2014-06-30
29,2009-01-23,12.45,1,2014-06-30
30,2009-01-29,12.45,1,2014-06-30
31,2009-01-04,12.45,1,2014-06-30
32,2008-12-29,12.45,1,2014-06-30
33,2008-12-17,12.45,1,2014-06-30
34,2009-02-16,12.45,1,2014-06-30
35,2009-02-08,12.45,1,2014-06-30
36,2009-02-10,12.45,1,2014-06-30
37,2009-03-07,12.45,1,2014-06-30
38,2010-01-16,12.45,1,2014-06-30
39,2010-02-05,12.45,1,2014-06-30
40,2007-12-26,25.0,2,2014-06-30
41,2009-01-21,12.45,1,2014-06-30
42,2008-12-27,12.45,1,2014-06-30
43,2009-01-02,12.45,1,2014-06-30
44,2008-12-08,12.45,1,2014-06-30
45,2009-02-26,12.45,1,2014-06-30
46,2009-02-08,12.45,1,2014-06-30
47,2009-02-22,25.0,2,2014-06-30
48,2008-01-06,13.45,1,2014-06-30
49,2008-01-07,13.45,1,2014-06-30
50,2008-02-02,13.45,1,2014-06-30
51,2008-02-20,13.45,1,2014-06-30
52,2008-03-10,13.45,1,2014-06-30
53,2008-03-28,13.45,1,2014-06-30
54,2010-01-01,13.45,1,2014-06-30
55,2008-02-08,25.0,2,2014-06-30
56,2009-02-05,11.0,1,2014-06-30
57,2009-02-23,11.0,1,2014-06-30
58,2008-12-05,11.0,1,2014-06-30
59,2008-12-24,11.0,1,2014-06-30
60,2009-01-11,11.0,1,2014-06-30
61,2009-01-18,11.0,1,2014-06-30
62,2008-03-17,25.0,2,2014-06-30
63,2010-01-29,12.45,1,2014-06-30
64,2010-02-23,12.45,1,2014-06-30
65,2010-02-23,12.45,1,2014-06-30
66,2009-12-22,12.45,1,2014-06-30
67,2009-03-05,12.45,1,2014-06-30
68,2009-12-03,12.45,1,2014-06-30
69,2009-02-15,12.45,1,2014-06-30
70,2008-12-15,12.45,1,2014-06-30
71,2009-02-15,25.0,2,2014-06-30
72,2008-12-01,9.5,1,2014-06-30
73,2008-12-19,9.5,1,2014-06-30
74,2009-01-07,9.5,1,2014-06-30
75,2009-01-26,9.5,1,2014-06-30
76,2009-02-12,9.5,1,2014-06-30
77,2009-03-03,9.5,1,2014-06-30
78,2008-12-15,25.0,2,2014-06-30
79,2010-01-24,15.0,1,2014-06-30
80,2010-01-17,15.0,1,2014-06-30
81,2009-12-29,15.0,1,2014-06-30
82,2010-03-03,15.0,1,2014-06-30
83,2010-02-12,15.0,1,2014-06-30
84,2010-02-05,15.0,1,2014-06-30
85,2009-12-11,15.0,1,2014-06-30
86,2009-01-05,15.0,1,2014-06-30
87,2008-12-22,25.0,2,2014-06-30
88,2009-12-18,13.45,1,2014-06-30
89,2010-02-01,13.45,1,2014-06-30
90,2010-02-20,13.45,1,2014-06-30
91,2010-01-12,13.45,1,2014-06-30
92,2010-03-10,13.45,1,2014-06-30
93,2008-12-27,25.0,2,2014-06-30
94,2008-12-12,11.0,1,2014-06-30
95,2008-12-19,11.0,1,2014-06-30
96,2009-03-02,11.0,1,2014-06-30
97,2009-02-10,11.0,1,2014-06-30
98,2009-02-11,11.0,1,2014-06-30
99,2009-01-06,11.0,1,2014-06-30
100,2009-01-12,11.0,1,2014-06-30
101,2009-01-25,11.0,1,2014-06-30
102,2008-12-03,25.0,2,2014-06-30
103,2009-12-06,13.45,1,2014-06-30
104,2009-12-25,13.45,1,2014-06-30
105,2009-12-25,13.45,1,2014-06-30
106,2010-02-27,13.45,1,2014-06-30
107,2010-02-08,13.45,1,2014-06-30
108,2008-12-08,25.0,2,2014-06-30
109,2008-12-07,11.0,1,2014-06-30
110,2008-12-14,11.0,1,2014-06-30
111,2008-12-17,11.0,1,2014-06-30
112,2009-01-01,11.0,1,2014-06-30
113,2008-12-25,11.0,1,2014-06-30
114,2009-01-13,11.0,1,2014-06-30
115,2009-01-20,11.0,1,2014-06-30
116,2009-01-31,11.0,1,2014-06-30
117,2009-02-18,11.0,1,2014-06-30
118,2009-02-13,11.0,1,2014-06-30
119,2009-02-25,11.0,1,2014-06-30
120,2009-03-04,11.0,1,2014-06-30
121,2009-01-02,19.2308,2,2014-06-30
122,2008-12-07,9.0,1,2014-06-30
123,2008-12-07,9.5,2,2014-06-30
124,2008-12-26,9.0,1,2014-06-30
125,2009-01-20,9.5,2,2014-06-30
126,2009-02-26,9.0,1,2014-06-30
127,2009-01-03,25.0,2,2014-06-30
128,2008-12-04,15.0,1,2014-06-30
129,2008-12-22,15.0,1,2014-06-30
130,2009-02-13,15.0,1,2014-06-30
131,2009-02-15,15.0,1,2014-06-30
132,2009-02-22,15.0,1,2014-06-30
133,2009-01-10,15.0,1,2014-06-30
134,2009-01-14,25.0,2,2014-06-30
135,2008-12-04,14.0,1,2014-06-30
136,2009-12-11,14.0,1,2014-06-30
137,2009-02-23,14.0,1,2014-06-30
138,2009-02-04,14.0,1,2014-06-30
139,2010-01-06,14.0,1,2014-06-30
140,2010-01-22,14.0,1,2014-06-30
141,2010-01-24,14.0,1,2014-06-30
142,2010-03-04,14.0,1,2014-06-30
143,2010-02-13,14.0,1,2014-06-30
144,2009-01-17,14.0,1,2014-06-30
145,2009-01-27,25.0,2,2014-06-30
146,2008-12-07,9.5,1,2014-06-30
147,2008-12-26,9.5,1,2014-06-30
148,2009-01-14,9.5,1,2014-06-30
149,2009-01-31,9.5,1,2014-06-30
150,2009-02-26,9.5,1,2014-06-30
151,2009-02-19,9.5,1,2014-06-30
152,2009-02-01,25.0,2,2014-06-30
153,2008-12-16,14.0,1,2014-06-30
154,2008-12-23,14.0,1,2014-06-30
155,2009-01-04,14.0,1,2014-06-30
156,2009-01-11,14.0,1,2014-06-30
157,2009-02-03,14.0,1,2014-06-30
158,2009-03-07,14.0,1,2014-06-30
159,2009-02-16,14.0,1,2014-06-30
160,2009-01-21,25.0,2,2014-06-30
161,2008-12-15,10.0,1,2014-06-30
162,2009-01-03,10.0,1,2014-06-30
163,2009-02-08,10.0,1,2014-06-30
164,2009-03-06,10.0,1,2014-06-30
165,2009-01-22,10.0,1,2014-06-30
166,2009-02-21,25.0,2,2014-06-30
167,2008-12-02,6.5,1,2008-11-18
167,2011-12-01,7.25,1,2011-11-17
167,2013-07-14,9.5,1,2013-06-30
168,2008-12-07,9.5,1,2014-06-30
169,2008-12-14,9.5,1,2014-06-30
170,2008-12-21,6.5,1,2008-12-07
170,2011-12-01,7.25,1,2011-11-17
170,2013-07-14,9.5,1,2013-06-30
171,2009-01-02,9.5,1,2014-06-30
172,2009-01-16,6.5,1,2009-01-02
172,2011-12-01,7.25,1,2011-11-17
172,2013-07-14,9.5,1,2013-06-30
173,2009-01-21,9.5,1,2014-06-30
174,2009-01-27,6.75,1,2009-01-13
174,2011-12-01,7.25,1,2011-11-17
174,2013-07-14,9.5,1,2013-06-30
175,2009-02-02,6.5,1,2009-01-19
175,2011-12-01,7.25,1,2011-11-17
175,2013-07-14,9.5,1,2013-06-30
176,2009-02-14,6.5,1,2009-01-31
176,2011-12-01,7.25,1,2011-11-17
176,2013-07-14,9.5,1,2013-06-30
177,2009-02-21,6.5,1,2009-02-07
177,2011-12-01,7.25,1,2011-11-17
177,2013-07-14,9.5,1,2013-06-30
178,2009-03-03,6.5,1,2009-02-17
178,2011-12-01,7.0,1,2011-11-17
178,2013-07-14,9.5,1,2013-06-30
179,2009-03-05,9.5,1,2014-06-30
180,2009-02-20,25.0,2,2014-06-30
181,2008-12-09,14.0,1,2014-06-30
182,2008-12-28,14.0,1,2014-06-30
183,2009-01-22,14.0,1,2014-06-30
184,2009-02-09,14.0,1,2014-06-30
185,2009-02-28,14.0,1,2014-06-30
186,2009-02-08,25.0,2,2014-06-30
187,2008-12-09,10.0,1,2014-06-30
188,2008-12-27,10.0,1,2014-06-30
189,2009-01-15,10.0,1,2014-06-30
190,2009-02-02,10.0,1,2014-06-30
191,2009-02-26,10.0,1,2014-06-30
192,2009-03-05,25.0,2,2014-06-30
193,2008-12-06,15.0,1,2014-06-30
194,2008-12-12,15.0,1,2014-06-30
195,2008-12-17,15.0,1,2014-06-30
196,2008-12-24,15.0,1,2014-06-30
197,2008-12-31,15.0,1,2014-06-30
198,2009-01-04,15.0,1,2014-06-30
199,2009-01-12,15.0,1,2014-06-30
200,2009-01-17,15.0,1,2014-06-30
201,2009-01-29,15.0,1,2014-06-30
202,2009-02-05,15.0,1,2014-06-30
203,2009-02-24,15.0,1,2014-06-30
204,2009-03-08,15.0,1,2014-06-30
205,2009-02-26,25.0,2,2014-06-30
206,2008-12-02,10.0,1,2014-06-30
207,2008-12-02,10.0,1,2014-06-30
208,2009-01-08,10.0,1,2014-06-30
209,2009-01-27,10.0,1,2014-06-30
210,2009-02-20,10.0,1,2014-06-30
211,2009-02-28,28.8462,2,2014-06-30
212,2008-12-09,21.6346,2,2014-06-30
213,2010-02-23,10.5769,2,2014-06-30
214,2009-02-02,10.5769,2,2014-06-30
215,2009-01-15,10.5769,2,2014-06-30
216,2008-12-28,10.5769,2,2014-06-30
217,2009-01-04,17.7885,2,2014-06-30
218,2008-12-16,16.8269,2,2014-06-30
219,2009-01-22,10.25,2,2014-06-30
220,2009-02-09,10.25,2,2014-06-30
221,2009-03-06,16.8269,2,2014-06-30
222,2008-12-12,23.5577,2,2014-06-30
223,2009-01-26,16.0,2,2014-06-30
224,2008-01-08,8.62,2,2007-12-25
224,2011-08-31,13.5,2,2011-08-17
224,2012-01-01,16.0,2,2011-12-18
225,2009-02-13,16.0,2,2014-06-30
226,2009-03-03,16.0,2,2014-06-30
227,2009-12-02,24.0385,2,2014-06-30
228,2008-12-14,20.4327,2,2014-06-30
229,2010-02-16,9.25,1,2014-06-30
230,2010-03-05,9.25,1,2014-06-30
231,2010-03-07,9.25,1,2014-06-30
232,2010-01-27,9.25,1,2014-06-30
233,2009-12-21,9.75,2,2014-06-30
234,2009-01-31,39.06,2,2009-01-17
234,2011-11-14,48.5577,2,2011-10-31
234,2012-01-29,60.0962,2,2012-01-15
235,2008-12-06,27.1394,2,2014-06-30
236,2009-02-25,13.9423,2,2014-06-30
237,2009-02-06,13.9423,2,2014-06-30
238,2009-01-01,18.2692,2,2014-06-30
239,2008-12-25,16.5865,2,2014-06-30
240,2008-12-13,18.2692,2,2014-06-30
241,2009-01-30,34.7356,2,2014-06-30
242,2008-12-18,19.0,2,2014-06-30
243,2009-01-06,19.0,2,2014-06-30
244,2009-01-24,19.0,2,2014-06-30
245,2009-02-18,26.4423,2,2014-06-30
246,2009-02-11,19.0,2,2014-06-30
247,2009-03-01,19.0,2,2014-06-30
248,2009-03-08,26.4423,2,2014-06-30
249,2008-12-25,43.2692,2,2014-06-30
250,2011-02-21,9.86,2,2011-02-07
250,2011-07-30,22.5,2,2011-07-16
250,2012-07-14,30.0,2,2012-06-30
251,2009-02-10,18.2692,2,2014-06-30
252,2009-02-28,18.2692,2,2014-06-30
253,2009-12-17,18.2692,2,2014-06-30
254,2010-01-04,18.2692,2,2014-06-30
255,2010-01-11,18.2692,2,2014-06-30
256,2010-01-23,18.2692,2,2014-06-30
257,2010-01-27,18.2692,2,2014-06-30
258,2010-01-31,18.2692,2,2014-06-30
259,2010-03-09,18.2692,2,2014-06-30
260,2010-12-06,12.75,2,2014-06-30
261,2010-12-25,12.75,2,2014-06-30
262,2009-01-12,13.4615,2,2014-06-30
263,2008-12-11,50.4808,2,2014-06-30
264,2009-02-04,39.6635,2,2014-06-30
265,2008-12-04,32.4519,2,2014-06-30
266,2009-02-23,32.4519,2,2014-06-30
267,2009-02-16,27.4038,2,2014-06-30
268,2009-02-03,27.4038,2,2014-06-30
269,2009-01-11,27.4038,2,2014-06-30
270,2009-01-17,38.4615,2,2014-06-30
271,2009-01-22,38.4615,2,2014-06-30
272,2008-12-23,27.4038,2,2014-06-30
273,2011-02-15,72.1154,2,2014-06-30
274,2011-01-04,48.101,2,2014-06-30
275,2011-05-31,23.0769,2,2014-06-30
276,2011-05-31,23.0769,2,2014-06-30
277,2011-05-31,23.0769,2,2014-06-30
278,2011-05-31,23.0769,2,2014-06-30
279,2011-05-31,23.0769,2,2014-06-30
280,2011-05-31,23.0769,2,2014-06-30
281,2011-05-31,23.0769,2,2014-06-30
282,2011-05-31,23.0769,2,2014-06-30
283,2011-05-31,23.0769,2,2014-06-30
284,2012-09-30,23.0769,2,2014-06-30
285,2013-03-14,48.101,2,2014-06-30
286,2013-05-30,23.0769,2,2014-06-30
287,2012-04-16,48.101,2,2014-06-30
288,2013-05-30,23.0769,2,2014-06-30
289,2012-05-30,23.0769,2,2014-06-30
290,2012-05-30,23.0769,2,2014-06-30
