ContactTypeID,Name,ModifiedDate
1,Accounting Manager,2008-04-30
2,Assistant Sales Agent,2008-04-30
3,Assistant Sales Representative,2008-04-30
4,Coordinator Foreign Markets,2008-04-30
5,Export Administrator,2008-04-30
6,International Marketing Manager,2008-04-30
7,Marketing Assistant,2008-04-30
8,Marketing Manager,2008-04-30
9,Marketing Representative,2008-04-30
10,Order Administrator,2008-04-30
11,Owner,2008-04-30
12,Owner/Marketing Assistant,2008-04-30
13,Product Manager,2008-04-30
14,Purchasing Agent,2008-04-30
15,Purchasing Manager,2008-04-30
16,Regional Account Representative,2008-04-30
17,Sales Agent,2008-04-30
18,Sales Associate,2008-04-30
19,Sales Manager,2008-04-30
20,Sales Representative,2008-04-30
