BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
893,,749,2010-05-26,,EA ,0,1.0,2010-05-12
271,,750,2010-03-04,2010-05-03,EA ,0,1.0,2010-05-03
34,,750,2010-05-04,,EA ,0,1.0,2010-04-20
830,,751,2010-05-26,,EA ,0,1.0,2010-05-12
2074,,752,2010-07-08,,EA ,0,1.0,2010-06-24
1950,,753,2010-06-19,2010-08-18,EA ,0,1.0,2010-08-18
1761,,753,2010-08-19,,EA ,0,1.0,2010-08-05
3088,,754,2010-12-15,,EA ,0,1.0,2010-12-01
3351,,755,2010-12-23,,EA ,0,1.0,2010-12-09
3246,,756,2010-12-23,,EA ,0,1.0,2010-12-09
2760,,757,2010-09-15,,EA ,0,1.0,2010-09-01
2395,,758,2010-08-05,,EA ,0,1.0,2010-07-22
3087,,759,2010-12-15,,EA ,0,1.0,2010-12-01
3350,,760,2010-12-23,,EA ,0,1.0,2010-12-09
2822,,761,2010-09-15,,EA ,0,1.0,2010-09-01
3245,,762,2010-12-23,,EA ,0,1.0,2010-12-09
2759,,763,2010-09-15,,EA ,0,1.0,2010-09-01
2394,,764,2010-08-05,,EA ,0,1.0,2010-07-22
3341,,765,2010-12-23,,EA ,0,1.0,2010-12-09
2815,,766,2010-09-15,,EA ,0,1.0,2010-09-01
2449,,767,2010-08-05,,EA ,0,1.0,2010-07-22
2899,,768,2010-09-15,2010-11-14,EA ,0,1.0,2010-11-14
2738,,768,2010-11-15,,EA ,0,1.0,2010-11-01
2363,,769,2010-08-05,,EA ,0,1.0,2010-07-22
1265,,770,2010-06-09,,EA ,0,1.0,2010-05-26
1195,,771,2010-06-09,,EA ,0,1.0,2010-05-26
3017,,772,2010-12-15,,EA ,0,1.0,2010-12-01
3281,,773,2010-12-23,,EA ,0,1.0,2010-12-09
2783,,774,2010-09-15,,EA ,0,1.0,2010-09-01
5,,775,2010-03-04,,EA ,0,1.0,2010-02-18
2737,,776,2010-09-15,,EA ,0,1.0,2010-09-01
2362,,777,2010-08-05,,EA ,0,1.0,2010-07-22
1264,,778,2010-06-09,,EA ,0,1.0,2010-05-26
1642,,779,2010-06-19,,EA ,0,1.0,2010-06-05
393,,780,2010-03-18,,EA ,0,1.0,2010-03-04
52,,781,2010-03-04,,EA ,0,1.0,2010-02-18
3217,,782,2010-12-23,,EA ,0,1.0,2010-12-09
808,,783,2010-05-26,,EA ,0,1.0,2010-05-12
2049,,784,2010-07-08,,EA ,0,1.0,2010-06-24
4,,785,2010-03-04,,EA ,0,1.0,2010-02-18
2736,,786,2010-09-15,,EA ,0,1.0,2010-09-01
2361,,787,2010-08-05,,EA ,0,1.0,2010-07-22
1263,,788,2010-06-09,,EA ,0,1.0,2010-05-26
3247,,789,2010-12-23,,EA ,0,1.0,2010-12-09
2761,,790,2010-09-15,,EA ,0,1.0,2010-09-01
2396,,791,2010-08-05,,EA ,0,1.0,2010-07-22
3089,,792,2010-12-15,,EA ,0,1.0,2010-12-01
2739,,793,2010-09-15,,EA ,0,1.0,2010-09-01
2364,,794,2010-08-05,,EA ,0,1.0,2010-07-22
1266,,795,2010-06-09,,EA ,0,1.0,2010-05-26
482,,796,2010-03-18,,EA ,0,1.0,2010-03-04
1024,,797,2010-05-26,2010-07-25,EA ,0,1.0,2010-07-25
783,,797,2010-07-26,,EA ,0,1.0,2010-07-12
2333,,798,2010-08-05,,EA ,0,1.0,2010-07-22
1240,,799,2010-06-09,,EA ,0,1.0,2010-05-26
450,,800,2010-03-18,,EA ,0,1.0,2010-03-04
92,,801,2010-03-04,,EA ,0,1.0,2010-02-18
1303,,953,2010-06-09,,EA ,0,1.0,2010-05-26
1699,,954,2010-06-19,,EA ,0,1.0,2010-06-05
3060,,955,2010-12-15,,EA ,0,1.0,2010-12-01
3326,,956,2010-12-23,,EA ,0,1.0,2010-12-09
2107,,957,2010-07-08,,EA ,0,1.0,2010-06-24
2800,,958,2010-09-15,,EA ,0,1.0,2010-09-01
1778,,959,2010-06-19,,EA ,0,1.0,2010-06-05
3102,,960,2010-12-15,,EA ,0,1.0,2010-12-01
2027,,961,2010-07-08,,EA ,0,1.0,2010-06-24
1698,,962,2010-06-19,,EA ,0,1.0,2010-06-05
3059,,963,2010-12-15,,EA ,0,1.0,2010-12-01
879,,964,2010-05-26,,EA ,0,1.0,2010-05-12
1789,,965,2010-06-19,,EA ,0,1.0,2010-06-05
3037,,966,2010-12-15,,EA ,0,1.0,2010-12-01
3304,,967,2010-12-23,,EA ,0,1.0,2010-12-09
2801,,968,2010-09-15,,EA ,0,1.0,2010-09-01
1779,,969,2010-06-19,,EA ,0,1.0,2010-06-05
419,,970,2010-03-18,,EA ,0,1.0,2010-03-04
73,,971,2010-03-04,,EA ,0,1.0,2010-02-18
1071,,972,2010-05-26,2010-07-25,EA ,0,1.0,2010-07-25
867,,972,2010-07-26,,EA ,0,1.0,2010-07-12
2993,,973,2010-12-15,,EA ,0,1.0,2010-12-01
33,,974,2010-03-04,,EA ,0,1.0,2010-02-18
829,,975,2010-05-26,,EA ,0,1.0,2010-05-12
