ProductID,StartDate,EndDate,StandardCost,ModifiedDate
707,2011-05-31,2012-05-29,12.0278,2012-05-29
707,2012-05-30,2013-05-29,13.8782,2013-05-29
707,2013-05-30,,13.0863,2013-05-16
708,2011-05-31,2012-05-29,12.0278,2012-05-29
708,2012-05-30,2013-05-29,13.8782,2013-05-29
708,2013-05-30,,13.0863,2013-05-16
709,2011-05-31,2012-05-29,3.3963,2012-05-29
710,2011-05-31,2012-05-29,3.3963,2012-05-29
711,2011-05-31,2012-05-29,12.0278,2012-05-29
711,2012-05-30,2013-05-29,13.8782,2013-05-29
711,2013-05-30,,13.0863,2013-05-16
712,2011-05-31,2012-05-29,5.7052,2012-05-29
712,2012-05-30,2013-05-29,5.2297,2013-05-29
712,2013-05-30,,6.9223,2013-05-16
713,2011-05-31,2012-05-29,31.7244,2012-05-29
713,2012-05-30,2013-05-29,29.0807,2013-05-29
713,2013-05-30,,38.4923,2013-05-16
714,2011-05-31,2012-05-29,31.7244,2012-05-29
714,2012-05-30,2013-05-29,29.0807,2013-05-29
714,2013-05-30,,38.4923,2013-05-16
715,2011-05-31,2012-05-29,31.7244,2012-05-29
715,2012-05-30,2013-05-29,29.0807,2013-05-29
715,2013-05-30,,38.4923,2013-05-16
716,2011-05-31,2012-05-29,31.7244,2012-05-29
716,2012-05-30,2013-05-29,29.0807,2013-05-29
716,2013-05-30,,38.4923,2013-05-16
717,2011-05-31,2012-05-29,747.9682,2012-05-29
717,2012-05-30,2013-05-29,722.2568,2013-05-29
717,2013-05-30,,868.6342,2013-05-16
718,2011-05-31,2012-05-29,747.9682,2012-05-29
718,2012-05-30,2013-05-29,722.2568,2013-05-29
718,2013-05-30,,868.6342,2013-05-16
719,2011-05-31,2012-05-29,747.9682,2012-05-29
719,2012-05-30,2013-05-29,722.2568,2013-05-29
719,2013-05-30,,868.6342,2013-05-16
720,2011-05-31,2012-05-29,747.9682,2012-05-29
720,2012-05-30,2013-05-29,722.2568,2013-05-29
720,2013-05-30,,868.6342,2013-05-16
721,2011-05-31,2012-05-29,747.9682,2012-05-29
721,2012-05-30,2013-05-29,722.2568,2013-05-29
721,2013-05-30,,868.6342,2013-05-16
722,2011-05-31,2012-05-29,176.1997,2012-05-29
722,2012-05-30,2013-05-29,170.1428,2013-05-29
722,2013-05-30,,204.6251,2013-05-16
723,2011-05-31,2012-05-29,176.1997,2012-05-29
723,2012-05-30,2013-05-29,170.1428,2013-05-29
723,2013-05-30,,204.6251,2013-05-16
724,2011-05-31,2012-05-29,176.1997,2012-05-29
724,2012-05-30,2013-05-29,170.1428,2013-05-29
724,2013-05-30,,204.6251,2013-05-16
725,2011-05-31,2012-05-29,181.4857,2012-05-29
725,2012-05-30,2013-05-29,187.1571,2013-05-29
726,2011-05-31,2012-05-29,181.4857,2012-05-29
726,2012-05-30,2013-05-29,187.1571,2013-05-29
727,2011-05-31,2012-05-29,181.4857,2012-05-29
727,2012-05-30,2013-05-29,187.1571,2013-05-29
728,2011-05-31,2012-05-29,181.4857,2012-05-29
728,2012-05-30,2013-05-29,187.1571,2013-05-29
729,2011-05-31,2012-05-29,181.4857,2012-05-29
729,2012-05-30,2013-05-29,187.1571,2013-05-29
730,2011-05-31,2012-05-29,181.4857,2012-05-29
730,2012-05-30,2013-05-29,187.1571,2013-05-29
731,2011-05-31,2012-05-29,352.1394,2012-05-29
732,2011-05-31,2012-05-29,352.1394,2012-05-29
733,2011-05-31,2012-05-29,352.1394,2012-05-29
734,2011-05-31,2012-05-29,352.1394,2012-05-29
735,2011-05-31,2012-05-29,352.1394,2012-05-29
736,2011-05-31,2012-05-29,176.1997,2012-05-29
736,2012-05-30,2013-05-29,170.1428,2013-05-29
736,2013-05-30,,204.6251,2013-05-16
737,2011-05-31,2012-05-29,176.1997,2012-05-29
737,2012-05-30,2013-05-29,170.1428,2013-05-29
737,2013-05-30,,204.6251,2013-05-16
738,2011-05-31,2012-05-29,176.1997,2012-05-29
738,2012-05-30,2013-05-29,170.1428,2013-05-29
738,2013-05-30,,204.6251,2013-05-16
739,2011-05-31,2012-05-29,623.8403,2012-05-29
739,2012-05-30,2013-05-29,660.9142,2013-05-29
739,2013-05-30,,747.2002,2013-05-16
740,2011-05-31,2012-05-29,706.811,2012-05-29
741,2011-05-31,2012-05-29,706.811,2012-05-29
742,2011-05-31,2012-05-29,623.8403,2012-05-29
742,2012-05-30,2013-05-29,660.9142,2013-05-29
742,2013-05-30,,747.2002,2013-05-16
743,2011-05-31,2012-05-29,617.0281,2012-05-29
743,2012-05-30,2013-05-29,653.6971,2013-05-29
743,2013-05-30,,739.041,2013-05-16
744,2011-05-31,2012-05-29,699.0928,2012-05-29
745,2011-05-31,2012-05-29,699.0928,2012-05-29
746,2011-05-31,2012-05-29,617.0281,2012-05-29
746,2012-05-30,2013-05-29,653.6971,2013-05-29
746,2013-05-30,,739.041,2013-05-16
747,2011-05-31,2012-05-29,617.0281,2012-05-29
747,2012-05-30,2013-05-29,653.6971,2013-05-29
747,2013-05-30,,739.041,2013-05-16
748,2011-05-31,2012-05-29,623.8403,2012-05-29
748,2012-05-30,2013-05-29,660.9142,2013-05-29
748,2013-05-30,,747.2002,2013-05-16
749,2011-05-31,2012-05-29,2171.2942,2012-05-29
750,2011-05-31,2012-05-29,2171.2942,2012-05-29
751,2011-05-31,2012-05-29,2171.2942,2012-05-29
752,2011-05-31,2012-05-29,2171.2942,2012-05-29
753,2011-05-31,2012-05-29,2171.2942,2012-05-29
754,2011-05-31,2012-05-29,884.7083,2012-05-29
755,2011-05-31,2012-05-29,884.7083,2012-05-29
756,2011-05-31,2012-05-29,884.7083,2012-05-29
757,2011-05-31,2012-05-29,884.7083,2012-05-29
758,2011-05-31,2012-05-29,884.7083,2012-05-29
759,2011-05-31,2012-05-29,413.1463,2012-05-29
759,2012-05-30,2013-05-29,486.7066,2013-05-29
760,2011-05-31,2012-05-29,413.1463,2012-05-29
760,2012-05-30,2013-05-29,486.7066,2013-05-29
761,2011-05-31,2012-05-29,413.1463,2012-05-29
761,2012-05-30,2013-05-29,486.7066,2013-05-29
762,2011-05-31,2012-05-29,413.1463,2012-05-29
762,2012-05-30,2013-05-29,486.7066,2013-05-29
763,2011-05-31,2012-05-29,413.1463,2012-05-29
763,2012-05-30,2013-05-29,486.7066,2013-05-29
764,2011-05-31,2012-05-29,413.1463,2012-05-29
764,2012-05-30,2013-05-29,486.7066,2013-05-29
765,2011-05-31,2012-05-29,413.1463,2012-05-29
765,2012-05-30,2013-05-29,486.7066,2013-05-29
766,2011-05-31,2012-05-29,413.1463,2012-05-29
766,2012-05-30,2013-05-29,486.7066,2013-05-29
767,2011-05-31,2012-05-29,413.1463,2012-05-29
767,2012-05-30,2013-05-29,486.7066,2013-05-29
768,2011-05-31,2012-05-29,413.1463,2012-05-29
768,2012-05-30,2013-05-29,486.7066,2013-05-29
769,2011-05-31,2012-05-29,413.1463,2012-05-29
769,2012-05-30,2013-05-29,486.7066,2013-05-29
770,2011-05-31,2012-05-29,413.1463,2012-05-29
770,2012-05-30,2013-05-29,486.7066,2013-05-29
771,2011-05-31,2012-05-29,1912.1544,2012-05-29
772,2011-05-31,2012-05-29,1912.1544,2012-05-29
773,2011-05-31,2012-05-29,1912.1544,2012-05-29
774,2011-05-31,2012-05-29,1912.1544,2012-05-29
775,2011-05-31,2012-05-29,1898.0944,2012-05-29
