ProductID,StartDate,EndDate,ListPrice,ModifiedDate
707,2011-05-31,2012-05-29,33.6442,2012-05-29
707,2012-05-30,2013-05-29,33.6442,2013-05-29
707,2013-05-30,,34.99,2013-05-09
708,2011-05-31,2012-05-29,33.6442,2012-05-29
708,2012-05-30,2013-05-29,33.6442,2013-05-29
708,2013-05-30,,34.99,2013-05-09
709,2011-05-31,2012-05-29,9.5,2012-05-29
710,2011-05-31,2012-05-29,9.5,2012-05-29
711,2011-05-31,2012-05-29,33.6442,2012-05-29
711,2012-05-30,2013-05-29,33.6442,2013-05-29
711,2013-05-30,,34.99,2013-05-09
712,2011-05-31,2012-05-29,8.6442,2012-05-29
712,2012-05-30,2013-05-29,8.6442,2013-05-29
712,2013-05-30,,8.99,2013-05-09
713,2011-05-31,2012-05-29,48.0673,2012-05-29
713,2012-05-30,2013-05-29,48.0673,2013-05-29
713,2013-05-30,,49.99,2013-05-09
714,2011-05-31,2012-05-29,48.0673,2012-05-29
714,2012-05-30,2013-05-29,48.0673,2013-05-29
714,2013-05-30,,49.99,2013-05-09
715,2011-05-31,2012-05-29,48.0673,2012-05-29
715,2012-05-30,2013-05-29,48.0673,2013-05-29
715,2013-05-30,,49.99,2013-05-09
716,2011-05-31,2012-05-29,48.0673,2012-05-29
716,2012-05-30,2013-05-29,48.0673,2013-05-29
716,2013-05-30,,49.99,2013-05-09
717,2011-05-31,2012-05-29,1263.4598,2012-05-29
717,2012-05-30,2013-05-29,1301.3636,2013-05-29
717,2013-05-30,,1431.5,2013-05-09
718,2011-05-31,2012-05-29,1263.4598,2012-05-29
718,2012-05-30,2013-05-29,1301.3636,2013-05-29
718,2013-05-30,,1431.5,2013-05-09
719,2011-05-31,2012-05-29,1263.4598,2012-05-29
719,2012-05-30,2013-05-29,1301.3636,2013-05-29
719,2013-05-30,,1431.5,2013-05-09
720,2011-05-31,2012-05-29,1263.4598,2012-05-29
720,2012-05-30,2013-05-29,1301.3636,2013-05-29
720,2013-05-30,,1431.5,2013-05-09
721,2011-05-31,2012-05-29,1263.4598,2012-05-29
721,2012-05-30,2013-05-29,1301.3636,2013-05-29
721,2013-05-30,,1431.5,2013-05-09
722,2011-05-31,2012-05-29,297.6346,2012-05-29
722,2012-05-30,2013-05-29,306.5636,2013-05-29
722,2013-05-30,,337.22,2013-05-09
723,2011-05-31,2012-05-29,297.6346,2012-05-29
723,2012-05-30,2013-05-29,306.5636,2013-05-29
