UnitMeasureCode,Name,ModifiedDate
BOX,Boxes,2008-04-30
BTL,Bottle,2008-04-30
C  ,Celsius,2008-04-30
CAN,Canister,2008-04-30
CAR,Carton,2008-04-30
CBM,Cubic meters,2008-04-30
CCM,Cubic centimeter,2008-04-30
CDM,Cubic decimeter,2008-04-30
CM ,Centimeter,2008-04-30
CM2,Square centimeter,2008-04-30
CR ,Crate,2008-04-30
CS ,Case,2008-04-30
CTN,Container,2008-04-30
DM ,Decimeter,2008-04-30
DZ ,Dozen,2008-04-30
EA ,Each,2008-04-30
FT3,Cubic foot,2008-04-30
G  ,Gram,2008-04-30
GAL,Gallon,2008-04-30
IN ,Inch,2008-04-30
KG ,Kilogram,2008-04-30
KGV,Kilogram/cubic meter,2008-04-30
KM ,Kilometer,2008-04-30
KT ,Kiloton,2008-04-30
L  ,Liter,2008-04-30
LB ,US pound,2008-04-30
M  ,Meter,2008-04-30
M2 ,Square meter,2008-04-30
M3 ,Cubic meter,2008-04-30
MG ,Milligram,2008-04-30
ML ,Milliliter,2008-04-30
MM ,Millimeter,2008-04-30
OZ ,Ounces,2008-04-30
PAK,Pack,2008-04-30
PAL,Pallet,2008-04-30
PC ,Piece,2008-04-30
PCT,Percentage,2008-04-30
PT ,"Pint, US liquid",2008-04-30
