CurrencyCode,Name,ModifiedDate
AED,Emirati Dirham,2008-04-30
AFA,Afghani,2008-04-30
ALL,Lek,2008-04-30
AMD,Armenian Dram,2008-04-30
ANG,Netherlands Antillian Guilder,2008-04-30
AOA,Kwanza,2008-04-30
ARS,Argentine Peso,2008-04-30
ATS,Shilling,2008-04-30
AUD,Australian Dollar,2008-04-30
AWG,Aruban Guilder,2008-04-30
AZM,Azerbaijanian Manat,2008-04-30
BBD,Barbados Dollar,2008-04-30
BDT,Taka,2008-04-30
BEF,Belgian Franc,2008-04-30
BGN,Bulgarian Lev,2008-04-30
BHD,Bahraini Dinar,2008-04-30
BND,Brunei Dollar,2008-04-30
BOB,Boliviano,2008-04-30
BRL,Brazilian Real,2008-04-30
BSD,Bahamian Dollar,2008-04-30
BTN,Ngultrum,2008-04-30
CAD,Canadian Dollar,2008-04-30
CHF,Swiss Franc,2008-04-30
CLP,Chilean Peso,2008-04-30
CNY,Yuan Renminbi,2008-04-30
COP,Colombian Peso,2008-04-30
CRC,Costa Rican Colon,2008-04-30
CYP,Cyprus Pound,2008-04-30
CZK,Czech Koruna,2008-04-30
DEM,Deutsche Mark,2008-04-30
DKK,Danish Krone,2008-04-30
DOP,Dominican Peso,2008-04-30
DZD,Algerian Dinar,2008-04-30
EEK,Kroon,2008-04-30
EGP,Egyptian Pound,2008-04-30
ESP,Spanish Peseta,2008-04-30
EUR,EURO,2008-04-30
FIM,Markka,2008-04-30
FJD,Fiji Dollar,2008-04-30
FRF,French Franc,2008-04-30
GBP,United Kingdom Pound,2008-04-30
GHC,Cedi,2008-04-30
GRD,Drachma,2008-04-30
GTQ,Quetzal,2008-04-30
HKD,Hong Kong Dollar,2008-04-30
HRK,Croatian Kuna,2008-04-30
HUF,Forint,2008-04-30
IDR,Rupiah,2008-04-30
IEP,Irish Pound,2008-04-30
ILS,New Israeli Shekel,2008-04-30
INR,Indian Rupee,2008-04-30
ISK,Iceland Krona,2008-04-30
ITL,Italian Lira,2008-04-30
JMD,Jamaican Dollar,2008-04-30
JOD,Jordanian Dinar,2008-04-30
JPY,Yen,2008-04-30
KES,Kenyan Shilling,2008-04-30
KRW,Won,2008-04-30
KWD,Kuwaiti Dinar,2008-04-30
LBP,Lebanese Pound,2008-04-30
LKR,Sri Lankan Rupee,2008-04-30
LTL,Lithuanian Litas,2008-04-30
LVL,Latvian Lats,2008-04-30
MAD,Moroccan Dirham,2008-04-30
MTL,Maltese Lira,2008-04-30
MUR,Mauritius Rupee,2008-04-30
MVR,Rufiyaa,2008-04-30
MXN,Mexican Peso,2008-04-30
MYR,Malaysian Ringgit,2008-04-30
NAD,Namibia Dollar,2008-04-30
NGN,Naira,2008-04-30
NLG,Netherlands Guilder,2008-04-30
NOK,Norwegian Krone,2008-04-30
NPR,Nepalese Rupee,2008-04-30
NZD,New Zealand Dollar,2008-04-30
OMR,Omani Rial,2008-04-30
PAB,Balboa,2008-04-30
PEN,Nuevo Sol,2008-04-30
PHP,Philippine Peso,2008-04-30
PKR,Pakistan Rupee,2008-04-30
PLN,Zloty,2008-04-30
PLZ,Polish Zloty(old),2008-04-30
PTE,Portuguese Escudo,2008-04-30
PYG,Guarani,2008-04-30
ROL,Leu,2008-04-30
RUB,Russian Ruble,2008-04-30
RUR,Russian Ruble(old),2008-04-30
SAR,Saudi Riyal,2008-04-30
SEK,Swedish Krona,2008-04-30
SGD,Singapore Dollar,2008-04-30
SIT,Tolar,2008-04-30
SKK,Slovak Koruna,2008-04-30
SVC,El Salvador Colon,2008-04-30
THB,Baht,2008-04-30
TND,Tunisian Dinar,2008-04-30
TRL,Turkish Lira,2008-04-30
TTD,Trinidad and Tobago Dollar,2008-04-30
TWD,New Taiwan Dollar,2008-04-30
USD,US Dollar,2008-04-30
UYU,Uruguayan Peso,2008-04-30
VEB,Bolivar,2008-04-30
VND,Dong,2008-04-30
XOF,CFA Franc BCEAO,2008-04-30
ZAR,Rand,2008-04-30
ZWD,Zimbabwe Dollar,2008-04-30
