BusinessEntityID,CreditCardID,ModifiedDate
293,17038,2013-07-31
295,15369,2011-08-01
297,8010,2011-08-01
299,5316,2013-07-31
301,6653,2011-05-31
303,9010,2012-07-31
305,8937,2011-05-31
307,16124,2012-10-30
309,9478,2011-07-01
311,17600,2011-08-01
313,1970,2013-06-30
315,8274,2013-07-31
317,13045,2011-05-31
319,13601,2011-08-01
323,5958,2012-07-31
325,10709,2012-05-30
327,126,2013-07-31
329,6626,2013-05-30
331,14963,2012-06-30
333,18100,2011-08-01
335,12823,2013-03-30
337,11434,2013-06-30
339,13160,2011-07-01
341,3787,2011-10-31
343,8979,2011-07-01
345,14729,2011-07-01
347,6264,2011-07-01
349,2273,2013-07-31
351,18154,2012-06-30
353,18257,2013-07-31
355,14184,2011-07-01
357,11472,2013-06-30
359,10785,2013-06-30
361,4215,2011-08-01
363,2396,2013-06-30
365,4983,2012-05-30
367,1660,2011-07-01
369,17861,2011-07-01
371,15321,2011-07-01
373,3756,2013-06-30
375,14486,2011-08-01
377,16441,2013-06-30
379,10338,2013-07-31
381,4173,2012-07-31
383,18570,2013-07-31
385,9102,2012-07-31
387,626,2011-10-31
389,5409,2012-08-30
391,2337,2011-05-31
393,5262,2013-07-31
397,6272,2012-07-31
405,11945,2012-10-30
407,14938,2013-07-31
409,6306,2013-06-30
411,181,2011-07-01
413,17315,2012-06-30
417,13667,2011-10-01
419,12491,2013-06-30
421,18295,2012-06-30
427,12189,2012-06-30
429,16173,2013-02-28
431,10057,2012-07-31
435,10187,2013-06-30
437,5528,2011-07-01
439,7083,2011-05-31
441,12492,2013-07-31
443,7657,2013-07-31
445,1977,2013-07-31
449,9647,2013-07-31
451,1684,2011-10-01
453,1163,2011-10-01
455,11087,2013-06-30
463,3513,2013-07-31
465,11282,2011-07-01
471,14489,2012-07-31
473,9772,2012-06-30
475,7777,2013-06-30
477,7293,2011-08-01
479,14814,2013-07-31
481,10832,2013-06-30
483,4322,2011-05-31
487,18017,2011-05-31
489,7527,2013-06-30
491,9458,2012-07-31
493,13917,2011-07-01
495,242,2011-05-31
497,14363,2011-07-01
501,17699,2013-07-31
503,8394,2012-07-31
505,3490,2012-07-31
507,12316,2013-06-30
509,6442,2012-07-31
511,319,2011-08-01
513,6920,2013-08-30
515,12857,2012-07-31
517,15232,2011-05-31
519,4524,2011-08-01
521,1359,2011-07-01
523,4789,2011-10-01
525,1803,2012-07-31
527,972,2011-10-01
531,16467,2013-06-30
533,1906,2012-05-30
535,15842,2011-10-01
537,17164,2013-05-30
539,1308,2012-06-30
541,3392,2013-05-30
543,17368,2011-08-01
545,8522,2012-06-30
547,6340,2012-05-30
549,16065,2013-05-30
551,19204,2011-05-31
553,15195,2013-06-30
555,15487,2012-06-30
557,4052,2012-05-30
559,2741,2012-07-31
561,3318,2012-06-30
563,11110,2013-05-30
565,17281,2013-07-31
567,18868,2012-05-30
569,16021,2012-05-30
573,14612,2011-05-31
577,4727,2013-07-31
579,15924,2013-06-30
581,17540,2013-06-30
583,3235,2011-05-31
585,5758,2011-10-01
587,13536,2013-07-31
589,18717,2012-05-30
591,1566,2011-05-31
595,12715,2013-06-30
597,17277,2012-06-30
599,10270,2011-07-01
601,17923,2012-06-30
603,553,2012-06-30
607,5577,2011-07-01
609,5514,2012-09-30
611,7829,2011-08-01
613,17308,2013-05-30
615,204,2011-07-01
617,2602,2013-07-31
619,6863,2012-09-30
621,15954,2012-06-30
623,10502,2013-07-31
625,11580,2013-07-31
627,5589,2012-06-30
629,3764,2013-05-30
631,13278,2011-08-01
633,13923,2012-06-30
635,2847,2013-05-30
637,2270,2012-07-31
639,2604,2012-05-30
641,5164,2011-08-01
643,18460,2013-07-31
647,4357,2011-08-01
649,5751,2012-06-30
651,4830,2013-05-30
653,7600,2011-08-01
655,16192,2013-06-30
657,6468,2012-07-31
659,9961,2013-07-31
661,13054,2011-05-31
663,17774,2012-05-30
665,16805,2013-05-30
667,778,2011-08-01
669,14842,2013-05-30
671,19154,2011-08-01
675,230,2013-07-31
681,12529,2013-07-31
683,14497,2012-05-30
685,14064,2011-08-01
687,8342,2013-05-30
689,15364,2013-06-30
691,1912,2012-05-30
