SalesOrderID,SalesReasonID,ModifiedDate
43697,5,2011-05-31
43697,9,2011-05-31
43702,5,2011-06-01
43702,9,2011-06-01
43703,5,2011-06-01
43703,9,2011-06-01
43706,5,2011-06-02
43706,9,2011-06-02
43707,5,2011-06-02
43707,9,2011-06-02
43709,5,2011-06-02
43709,9,2011-06-02
43710,5,2011-06-02
43710,9,2011-06-02
43711,5,2011-06-03
43711,9,2011-06-03
43712,5,2011-06-03
43712,9,2011-06-03
43713,5,2011-06-04
43713,9,2011-06-04
43714,5,2011-06-04
43714,9,2011-06-04
43715,5,2011-06-04
43715,9,2011-06-04
43716,5,2011-06-04
43716,9,2011-06-04
43718,5,2011-06-05
43718,9,2011-06-05
43719,5,2011-06-05
43719,9,2011-06-05
43720,5,2011-06-05
43720,9,2011-06-05
43721,5,2011-06-05
43721,9,2011-06-05
43722,5,2011-06-06
43722,9,2011-06-06
43724,5,2011-06-06
43724,9,2011-06-06
43725,5,2011-06-07
43725,9,2011-06-07
43727,5,2011-06-07
43727,9,2011-06-07
43728,5,2011-06-08
43728,9,2011-06-08
43731,5,2011-06-08
43731,9,2011-06-08
43733,5,2011-06-08
43733,9,2011-06-08
43734,5,2011-06-09
43734,9,2011-06-09
43735,5,2011-06-09
43735,9,2011-06-09
43737,5,2011-06-10
43737,9,2011-06-10
43738,5,2011-06-10
43738,9,2011-06-10
43739,5,2011-06-10
43739,9,2011-06-10
43740,5,2011-06-10
43740,9,2011-06-10
43741,5,2011-06-11
43741,9,2011-06-11
43742,5,2011-06-11
43742,9,2011-06-11
43744,5,2011-06-11
43744,9,2011-06-11
43745,5,2011-06-12
43745,9,2011-06-12
43746,5,2011-06-12
43746,9,2011-06-12
43747,5,2011-06-13
43747,9,2011-06-13
43748,5,2011-06-13
43748,9,2011-06-13
43749,5,2011-06-13
43749,9,2011-06-13
43750,5,2011-06-13
43750,9,2011-06-13
43751,5,2011-06-13
43751,9,2011-06-13
43752,5,2011-06-13
43752,9,2011-06-13
43753,5,2011-06-13
43753,9,2011-06-13
43754,5,2011-06-14
43754,9,2011-06-14
43755,5,2011-06-14
43755,9,2011-06-14
43758,5,2011-06-15
43758,9,2011-06-15
43759,5,2011-06-15
43759,9,2011-06-15
