Dataset,Column,Label,Reference,Domain,Sample
homeseekers.csv,house_description,description_21,,,"['This 2 level detached single family home built in 1999 has 4\r\nbedroom(s), 3 bath(s) , 3 car garage and approximately 2463 square\r\nfeet of living area. Rooms include dining room, family room, living\r\nroom, bonus room, master bedroom. Features include fireplace, air\r\nconditioning.', 'This 1 level attached single family home built in 1925 has 3\r\nbedroom(s), 1 bath(s) , 2 car detached garage and approximately 768\r\nsquare feet of living area. Rooms include living room.', 'New carpet! Just painted inside and out!! New dishwasher!! New floor\r\nin kitchen and entry foyer!! New sliding glass doors!! Storage shed.\r\nConvenient to everything', 'Very nice home, four bedroom, 1.5 bathroom, large living room, 2 car\r\nattached garage. Property will get new paint in & out. New gate in\r\nfront.', 'This single family home built in 1986 has 3 bedroom(s), 2 bath(s) , 2\r\ncar garage. Rooms include master bedroom. Features include private\r\npool, patio, fireplace, skylights.']"
homeseekers.csv,agent_name,agent_name_19,,PersonName,"['Barbara Murray', 'Helen Jolley', 'Robin Dibuono', 'Al Christner', 'Kimberly Bemis']"
homeseekers.csv,office,agent_phone_office,,PhoneNumber,"['305-758-5600', '305-354-7355', '301-949-2100', '602-264-0605', '516-427-9100']"
homeseekers.csv,firm_name,firm_name_107,,,"['West Usa Realty West Usa Realty', 'Majestic Propertie\r\nLic. Real Estate Broker', 'William E. Wood & Associates', 'RE/MAX Excalibur Realty\r\nRE/MAX Excalibur Realty', 'West Usa Realty']"
homeseekers.csv,phone,firm_phone_109,,PhoneNumber,"['202-232-0950', '602-954-6888', '305-672-1300', '757-490-7300', '602-866-0990']"
homeseekers.csv,list_price,price_15,,,"['$101,500', '$450,000', '$78,900', '$140,000', '$378,900']"
homeseekers.csv,location,house_address_3,,Address,"['Washington, DC 20036', 'Washington, DC 20017', '1925 Washington Av #20', '900 16 St #305', 'Intracoastal, Water front']"
homeseekers.csv,mls,mls_34,,,"['P159046', '9922150', '1464971', 'P162324', '9931236']"
homeseekers.csv,status,status_33,,,"['Active', 'Active', 'Active', 'Active', 'Active']"
homeseekers.csv,bedrooms,beds_19,,,"[2.0, 2.0, 3.0, 3.0, 4.0]"
homeseekers.csv,baths,baths_11,,,"['2', '3', '2', '1', '2']"
homeseekers.csv,levels,number_of_stories_15,,,"['1', '2', '2', '1', '1']"
homeseekers.csv,type,home_style_7,,,"['Townhouse', 'Townhouse', 'Townhouse/Condo', 'Condominium', 'Single Family']"
homeseekers.csv,square_feet,sqft_28,,,"['2342 (approx)', '2099 (approx)', '450 (approx)', '2115 (approx)', '4000 (approx)']"
homeseekers.csv,year_built,year_built_14,,,"[1912.0, 1999.0, 1989.0, 1977.0, 1935.0]"
homeseekers.csv,cooling,cooling_58,,,"['Air Conditioning', 'Air Conditioning, Heat Pump', 'Air Conditioning, Electric', 'Air Conditioning, Central', 'Air Conditioning, Zoned']"
homeseekers.csv,heating,heating_57,,,"['Central', 'Forced Air, Natural Gas', 'Forced Air', 'Central', 'Central, Electric']"
homeseekers.csv,fireplace,fireplace_27,,,"['Yes', 'No', 'Family Room, Living Room, Master Bedroom', 'Yes', 'Family Room']"
homeseekers.csv,patio,patio_50,,,"['Covered', 'Deck, Open Porch', 'Yes', 'Covered', 'Covered']"
homeseekers.csv,pool,swimming_pool_49,,,"['In-ground', 'Yes', 'Yes', 'No', 'Community Pool']"
