listing_id,City,County_Or_Parish,Elementary_School,High_School,High_School_District,Middle_Or_Junior_School,Subdivision_Name
1670330,Seattle,King,,,Seattle,,Downtown
1670807,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Downtown
1670668,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Magnolia
1669062,Seattle,King,Green Lake,Roosevelt High,Seattle,Hamilton Mid,Green Lake
1670420,Seattle,King,,,Seattle,,Leschi
1670448,Seattle,King,John Rogers,Nathan Hale High,Seattle,Jane Addams,Meadowbrook
1669083,Seattle,King,Arbor Heights,Sealth High,Seattle,Denny Mid,Arbor Heights
1670725,Seattle,King,Greenwood,Ingraham High,Seattle,Robert Eagle Staff Middle School,Phinney Ridge
1670866,Seattle,King,,,Seattle,,Magnolia
1670339,Seattle,King,Leschi,Garfield High,Seattle,Meany Mid,Leschi
1670866,Seattle,King,,,Seattle,,Magnolia
1671280,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Shorewood
1670408,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,First Hill
1669023,Seattle,King,Alki,West Seattle High,Seattle,Madison Mid,Alki
1668723,Seattle,King,View Ridge,Roosevelt High,Seattle,Eckstein Mid,Sand Point
1652024,Seattle,King,,,Seattle,,Downtown
1671051,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Queen Anne
1670807,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Downtown
1675193,Seattle,King,Lowell,Garfield High,Seattle,Buyer To Verify,First Hill
1670668,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Magnolia
1669984,Seattle,King,Buyer To Verify,Buyer To Verify,Seattle,Buyer To Verify,Rainier Valley
1669252,Seattle,King,,,Seattle,,Beacon Hill
1668401,Seattle,King,Beacon Hill,Franklin High,Seattle,Mercer Mid,N Beacon Hill
1668438,Seattle,King,Bryant,Roosevelt High,Seattle,Eckstein Mid,Bryant
