listing_id,Building_Name,Property_Sub_Type,Property_Type,Year_Built
1670330,Fifth Avenue Court,Condominium,Residential,1922
1670807,Meridian,Condominium,Residential,2002
1670668,,Townhouse,Residential,2003
1669062,Woods South Shore Div,Single Family Residence,Residential,1900
1670420,,Single Family Residence,Residential,1966
1670448,,Single Family Residence,Residential,1965
1669083,,Single Family Residence,Residential,1958
1670725,,Single Family Residence,Residential,1987
1670866,3420 25th,Condominium,Residential,1968
1670339,Harbour House,Condominium,Residential,1986
1670866,3420 25th,Condominium,Residential,1968
1671280,,Single Family Residence,Residential,1962
1670408,Bolero,Condominium,Residential,2001
1669023,,Single Family Residence,Residential,1945
1668723,Seventy-o-one,Condominium,Residential,1970
1652024,Olive 8,Condominium,Residential,2009
1671051,Toscano,Townhouse,Residential,1999
1670807,Meridian,Condominium,Residential,2002
1675193,The Meridian,Condominium,Residential,2002
1670668,,Townhouse,Residential,2003
1669984,,Single Family Residence,Residential,1912
1669252,,Single Family Residence,Residential,1917
1668401,Valentine Add,Townhouse,Residential,2007
1668438,,Single Family Residence,Residential,2001
1669352,Bellora Condominiums,Condominium,Residential,2003
1670003,,Single Family Residence,Residential,1941
1670725,,Single Family Residence,Residential,1987
1671384,Cedar Grove Add,Condominium,Residential,2008
1663117,Burke&farrars Col,Single Family Residence,Residential,1909
1671280,,Single Family Residence,Residential,1962
1670608,,Single Family Residence,Residential,1962
1669759,,Single Family Residence,Residential,1957
1647122,Harrison Heights,Single Family Residence,Residential,1919
1670219,,Townhouse,Residential,2020
1669599,,Townhouse,Residential,1999
1670595,Cedar Grove Add,Townhouse,Residential,2008
1671051,Toscano,Townhouse,Residential,1999
1660777,Insignia,Condominium,Residential,2015
1669674,,Land,Land,
1663117,Burke&farrars Col,Single Family Residence,Residential,1909
1653981,,Single Family Residence,Residential,2001
1659998,,Townhouse,Residential,2005
1671493,,Single Family Residence,Residential,1920
1670552,Queen Anne Park Add,Single Family Residence,Residential,1940
1670934,,Condominium,Residential,1945
1667539,Fifteen Twenty-one,Condominium,Residential,2008
1669869,,Townhouse,Residential,2020
1665232,Hillmans Lake Front Addition,Single Family Residence,Residential,1906
1667025,Yeslers 3rd Add,Single Family Residence,Residential,1971
1667889,,Single Family Residence,Residential,1938
1665188,Magnolia Heights,Condominium,Residential,1968
1665667,,Single Family Residence,Residential,1990
1667745,,Townhouse,Residential,1978
1666990,,Single Family Residence,Residential,2015
1665045,Capitol Hill,Single Family Residence,Residential,1905
1669986,Forest View Tracts,Single Family Residence,Residential,1952
1667739,Novell Condo,Condominium,Residential,1926
1670931,,Single Family Residence,Residential,1953
1670538,,Single Family Residence,Residential,1959
1671330,Wassome Addition Ravenna,Townhouse,Residential,2002
1667022,5th And Madison,Condominium,Residential,2008
1659750,Findlay Townhomes,Condominium,Residential,2003
1660777,Insignia,Condominium,Residential,2015
1669661,,Single Family Residence,Residential,1937
1670042,Waterfront Landings,Condominium,Residential,1997
1671480,Ocean View Condominiums,Condominium,Residential,1990
1669367,,Single Family Residence,Residential,1961
1668998,Euclid Addition To West Seattle,Single Family Residence,Residential,1941
1661070,Magnolia View Tracts,Single Family Residence,Residential,2020
1670942,,Townhouse,Residential,2019
1670553,Georgetown,Single Family Residence,Residential,1904
1669867,Avenue One,Condominium,Residential,2004
1667468,,Townhouse,Residential,2018
1666467,Moses Add Moses Add Moses Add,Townhouse,Residential,2009
1667149,Ellington,Condominium,Residential,2001
1667160,Youngs E S Lincoln Beach Heights,Single Family Residence,Residential,1941
1667225,Forrest Hills,Land,Land,
1669860,Medallion Condominium,Condominium,Residential,2005
1670563,,Single Family Residence,Residential,2011
1670961,,Single Family Residence,Residential,1925
1660195,Point Nautica Condominium,Condominium,Residential,1998
1668735,Armour's Addition,Single Family Residence,Residential,1998
1669640,,Single Family Residence,Residential,1950
1655048,State Add To Seattle 04,Single Family Residence,Residential,1951
1670105,Montreux,Condominium,Residential,1999
1665864,,Townhouse,Residential,2018
1669191,,Single Family Residence,Residential,1949
1669768,,Single Family Residence,Residential,2020
1669205,Hjarta,Condominium,Residential,2008
1669557,,Townhouse,Residential,2020
1670926,Harbour Heights,Condominium,Residential,1980
1670720,Kelleys Add,Single Family Residence,Residential,2013
1669498,Epic Condominium,Condominium,Residential,2002
1667978,Westholme Addition,Single Family Residence,Residential,1941
1667646,,Townhouse,Residential,2004
1667349,Cove Add,Single Family Residence,Residential,1901
1667334,West Olympic View,Condominium,Residential,1978
1667619,,Single Family Residence,Residential,2020
1668004,,Townhouse,Residential,2017
1669653,,Single Family Residence,Residential,1913
1670641,,Townhouse,Residential,1996
1670895,Harrison Heights Add,Single Family Residence,Residential,1911
1669618,Wallingford 45,Condominium,Residential,2018
1669404,,Single Family Residence,Residential,1936
1669727,Nexus,Condominium,Residential,2020
