listing_id,Appliances,Bedrooms_Total,Bathrooms_Total,Bathrooms_Full,Bathrooms_Half,Living_Area,Flooring,Bathrooms_Three_Quarter
1670330,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",,1,1,,411 SqFt.,,
1670807,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,751 SqFt.,"Ceramic Tile, Carpet",
1670668,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,3,2,1,"1,770 SqFt.","Laminate, Carpet",
1669062,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,2,1,,"1,950 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",1
1670420,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,4,1,1,"2,620 SqFt.","Bamboo/Cork, Ceramic Tile, Hardwood, Laminate",2
1670448,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",4,3,1,,"2,748 SqFt.","Ceramic Tile, Hardwood, Slate, Vinyl, Carpet",2
1669083,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer
            ",3,4,2,1,"3,399 SqFt.","Bamboo/Cork, Hardwood, Slate, Stone, Carpet",1
1670725,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,3,2,,"2,410 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1670866,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,941 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1670339,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,644 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1670866,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,,"1,941 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1671280,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",4,2,1,,"2,960 SqFt.","Hardwood, Vinyl, Carpet",1
1670408,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",,1,1,,375 SqFt.,"Ceramic Tile, Engineered Hardwood",
1669023,"Dishwasher, Double Oven, Dryer, Disposal, Range/Oven, Refrigerator, Trash Compactor, Washer
            ",3,3,2,1,"2,100 SqFt.","Hardwood, Carpet",
1668723,"Dishwasher, Disposal, Range/Oven, Refrigerator",2,2,1,,985 SqFt.,"Vinyl, Carpet",1
1652024,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,2,,"1,534 SqFt.",,
1671051,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,1,"1,948 SqFt.","Hardwood, Slate, Vinyl, Carpet",1
1670807,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,751 SqFt.,"Ceramic Tile, Carpet",
1675193,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",2,2,2,,"1,310 SqFt.","Ceramic Tile, Hardwood, Carpet",
1670668,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,3,2,1,"1,770 SqFt.","Laminate, Carpet",
1669984,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",2,2,2,,"1,150 SqFt.","Softwood, Slate, Vinyl, Carpet",
1669252,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",2,1,1,,"1,060 SqFt.","Ceramic Tile, Softwood, Hardwood",
1668401,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,2,2,,"1,830 SqFt.","Bamboo/Cork, Ceramic Tile, Carpet",
1668438,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,3,1,1,"1,827 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",1
1669352,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,516 SqFt.,Hardwood,
1670003,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,3,1,,"3,360 SqFt.","Ceramic Tile, Hardwood, Carpet",2
1670725,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,3,2,,"2,410 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1671384,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,1,"1,280 SqFt.","Hardwood, Carpet",
1663117,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",1,1,,,680 SqFt.,"Ceramic Tile, Softwood, Laminate",1
1671280,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",4,2,1,,"2,960 SqFt.","Hardwood, Vinyl, Carpet",1
1670608,"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator",4,2,1,,"2,960 SqFt.","Hardwood, Vinyl, Carpet",1
1669759,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",3,3,1,1,"2,100 SqFt.","Vinyl, Carpet",1
1647122,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",3,2,2,,"2,370 SqFt.","Ceramic Tile, Concrete, Hardwood, Carpet",
1670219,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,3,2,,"1,829 SqFt.","Ceramic Tile, Engineered Hardwood",1
1669599,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,1,"1,600 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",1
1670595,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,1,"1,280 SqFt.","Hardwood, Carpet",
1671051,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,1,"1,948 SqFt.","Hardwood, Slate, Vinyl, Carpet",1
1660777,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",1,1,1,,948 SqFt.,"Ceramic Tile, Hardwood, Carpet",
1669674,,,,,,,,
1663117,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",1,1,,,680 SqFt.,"Ceramic Tile, Softwood, Laminate",1
1653981,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,2,"3,100 SqFt.",,
1659998,"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer",2,2,1,1,980 SqFt.,"Hardwood, Vinyl, Carpet",
1671493,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",3,1,1,,920 SqFt.,"Engineered Hardwood, Vinyl, Carpet",
1670552,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,4,1,,"3,110 SqFt.","Ceramic Tile, Hardwood, Vinyl, Carpet",3
1670934,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",2,2,,,892 SqFt.,"Ceramic Tile, Engineered Hardwood",2
1667539,"Dishwasher, Dryer, Disposal, Microwave",2,2,1,,"1,723 SqFt.","Engineered Hardwood, Stone",1
1669869,"Dishwasher, Disposal, Range/Oven, Refrigerator",2,3,1,1,"1,070 SqFt.","Engineered Hardwood, Carpet",1
1665232,"Dishwasher, Dryer, Range/Oven, Washer",3,3,2,,"1,830 SqFt.","Ceramic Tile, Softwood, Hardwood, Stone, Carpet",1
1667025,"Dishwasher, Dryer, Range/Oven, Refrigerator, Washer",2,3,2,1,"1,900 SqFt.",Bamboo/Cork,
1667889,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",4,3,2,,"2,340 SqFt.","Hardwood, Carpet",1
1665188,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer
            ",3,2,1,,"1,548 SqFt.","Ceramic Tile, Engineered Hardwood, Carpet",1
1665667,"Dishwasher, Double Oven, Disposal, Microwave, Range/Oven, Refrigerator",4,4,2,1,"2,950 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1667745,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",2,2,1,1,"1,300 SqFt.","Hardwood, Laminate, Carpet",
1666990,"Dishwasher, Double Oven, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",5,5,2,1,"4,636 SqFt.","Ceramic Tile, Concrete",2
1665045,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Washer",3,3,2,,"2,740 SqFt.","Softwood, Stone",1
1669986,"Dishwasher, Dryer, Disposal, Range/Oven, Refrigerator, Trash Compactor, Washer",3,2,1,,"3,040 SqFt.","Ceramic Tile, Hardwood, Carpet",1
1667739,"Dishwasher, Microwave, Range/Oven, Refrigerator",1,1,1,,495 SqFt.,"Ceramic Tile, Hardwood, Vinyl",
1670931,"Range/Oven, Refrigerator",2,1,1,,830 SqFt.,"Ceramic Tile, Vinyl, Carpet",
1670538,"Dishwasher, Range/Oven, Refrigerator",4,3,1,1,"2,280 SqFt.","Ceramic Tile, Concrete, Hardwood, Carpet",1
1671330,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator, Washer",3,4,2,1,"1,970 SqFt.","Engineered Hardwood, Hardwood, Vinyl, Carpet",1
1667022,"Dishwasher, Dryer, Disposal, Microwave, Range/Oven, Refrigerator",1,2,1,1,"1,208 SqFt.",Hardwood,
