listing_id,listing_detail,price,bedrooms,total_baths,full_baths,square_feet,acres,year_built,status,MLS
1670330,"Well maintained studio with a great downtown location in a secure building. Condo comes fully
        furnished, with all appliances included. Building offers a courtyard to enjoy sunny days. A great investment
        property or a place to call home with low maintenance living. Gross rents for 2018 & 2019 = ~ 40k each year.
        Short term rental rate at 2k+ a month. No rental cap and seller to payoff special assessment.
    ","$323,000",—,,1,411,—,,Active,1670330
1670807,"Amazing location where First Hill, Capitol Hill & Downtown meet! Close to light rail &
        freeway. Sunny Southeast corner unit with huge floor-to-ceiling windows, den and gas fireplace. Cook's kitchen
        with granite slab counters, maple cabinetry, tile backsplash and stainless steel appliances. Private view deck,
        AC, garage parking and storage. Excellent amenities: guest suite, 24-hr concierge, fitness/spa, hot tub,
        billiards lounge & theater.
    ","$499,950",1,,1,751,—,,Active,1670807
1670668,"Welcome to Magnolia large sunny end unit townhouse, new laminate flooring on main and new carpet on
        upper level, all windows resealed, upstairs find two bedrms + bedroom or Den, bath& laundry. main level
        features living room w/gas fireplace, ½ bath, kitchen & dining. The kitchen features granite counters,
        gas stove, island with bar seating, & ss appliances, walk outside to patio perfect for easy entertaining.
        lower level with third room, office, or rec rm on w/new carpet, spacious 2 car garage.
    ","$755,000",3,,2,"1,770",0.04,,Active,1670668
1669062,"A 1900 vintage craftsman w/ an impeccable blend of modern updates & old world charm in
        Tangletown. Sundrenched w/ ample windows, soaring ceiling heights, original well maintained wood floors, doors
        and millwork, all systems updated including plumbing, heat/AC, electrical, roof and much more. Generous sized LR
        & DR rooms, modernized kitchen w/sunroom, 3 spacious BR's upstairs & main BA, views of lake, storage
        & built-in throughout, private deck/yard, 2 blocks from the coveted Green Lake Loop
    ","$1,075,000",4,,1,"1,950",0.10,,Pending,1669062
1670420,"Bridge to bridge views from this beautiful home set in a secluded, peaceful setting-all within
        minutes of downtown! Lake and mountain views are different and uniquely beautiful every day. Even with such
        expansive views there is a great feeling of privacy, inside and out. Bald eagles perched in Madrona trees, full
        moon rising over the lake, sunrises and schools of sailboats on Tuesdays. Architectural marvel with large wooden
        beams throughout the house giving a feeling of warmth and beauty.
    ","$1,545,000",3,,1,"2,620",0.17,,Pending,1670420
1670448,"Craving a permanent vacation? This Matthews Beach Mid Century has resort type amenities:
        Entertainment size deck, fabulous swimming pool & sport court. Upper level consists of great room
        w/fireplace, ensuite main bedroom and 2nd & 3rd bedrooms. Lower level features family/media room w/pool
        views, 4th bed, workout room, huge laundry room & 3/4 bath - perfectly placed to shower off after a dip in
        the pool! Relax in a hammock, swim laps or enjoy a game of pickle ball - a vacation lifestyle awaits!
    ","$1,185,200",4,,1,"2,748",0.21,,Active,1670448
1669083,"A stunning Bumgardner mid-century modern view home, re-imagined by Trogdon w/award winning results.
        Meticulously maintained and updated w/seamless style & attention to detail. Million dollar views- lovely AND
        protected w/partial ownership of 10 acre preserve. Stunning grounds, NW Asian gardens, detached studio, ultimate
        privacy. Situated on a premium lot w/home at the furthest point forward. The home has pedigree, multiple press,
        awards. A special & unique opportunity for a discerning buyer.
    ","$3,100,000",3,,2,"3,399",0.43,,Active,1669083
1670725,"Incredible sun filled home in sought after location w/show stopping views of Mt. Rainier &
        Cascades. Spacious guest suite, large family rm, & laundry are on the entry level. 2nd level open floor plan
        living, dining, & kitchen w/grand entertaining view deck. Pantry, 2 bdrms & a bath complete this floor.
        Top floor sanctuary Master suite w/walk in closet, spa bath & private view deck. AC, Oak & Maple floors,
        tons of off-street parking, & large storage shed. Home/Sewer Inspections available.
    ","$1,188,000",4,,2,"2,410",0.07,,Pending,1670725
1670866,"Welcome to this beautiful home in the heart of Magnolia! Enjoy sipping morning coffee from the
        private patio surrounded by lush greenery. With 1,941 square feet it feels like a spacious home! The chef's
        kitchen awaits with cherry cabinets, slab granite, adjoining family room, glass-walled formal dining room, huge
        living room with fireplace, master with amazing dressing room, custom tile, utility room & tons of storage.
        Updated appliances, hardwood floors & windows. 4 parking spaces is a bonus!
    ","$749,950",2,,1,"1,941",—,,Active,1670866
1670339,"Upscale and sophisticated Lake Washington waterfront condo with deeded boat slip. Extraordinary lake
        views from Mt Baker to Mt Rainier and all points between. This 2 bedroom, 2 bath masterpiece has it all - Master
        BR suite, walk-in closets, gourmet kitchen with high end appliances and spacious view deck. Deeded boat slip, 2
        car garage, large storage and a short stroll to all of the Leschi village shops, restaurants, parks and grocery.
        A lifestyle to be envied!
    ","$1,850,000",2,,1,"1,644",—,,Active,1670339
