listing_id,street_address,locality,region,postal_code
173094201,1367 N Alta Vista Blvd #201 ,"Los Angeles, ",CA,90046
31224403,8045 Chalk Knoll Dr ,"Austin, ",TX,78735
160720410,1153 N Formosa Ave #103 ,"West Hollywood, ",CA,90046
27863873,2025 W JEFFERSON St ,"Phoenix, ",AZ,85009
30924885,8740 Odom Dr ,"Dallas, ",TX,75217
28938758,300 Berry St #409 ,"San Francisco, ",CA,94158
7103544,725 N Spaulding Ave ,"Los Angeles, ",CA,90046
89947362,100 Wisconsin Ave #805 ,"Madison, ",WI,53703
25723212,1220 N Orange Grove Ave #12 ,"West Hollywood, ",CA,90046
1992034,22 Beideman St ,"San Francisco, ",CA,94115
12531377,4301 Military Rd NW #611 ,"Washington, ",DC,20015
57864809,1111 E Gorham St ,"Madison, ",WI,53703
40625920,380 14th St #406 ,"San Francisco, ",CA,94103
89903440,1106 E Johnson St ,"Madison, ",WI,53703
57870920,310 N Ingersoll St ,"Madison, ",WI,53703
1405312,36 Camp St ,"San Francisco, ",CA,94110
89945603,123 N Blount St #504 ,"Madison, ",WI,53703
57812419,155 E Wilson St #101 ,"Madison, ",WI,53703
21967151,83 Mcallister St #212 ,"San Francisco, ",CA,94102
145641690,1410 N Stanley ,"Los Angeles, ",CA,90046
57851284,333 W Mifflin St #4040 ,"Madison, ",WI,53703
7122428,8524 Appian Way ,"Los Angeles, ",CA,90046
30924270,8742 Wadlington Ave ,"Dallas, ",TX,75217
173342239,280 Spear St Unit 6C ,"San Francisco, ",CA,94105
876268,140 S Van Ness Ave #717 ,"San Francisco, ",CA,94103
7105726,936 N Harper Ave ,"West Hollywood, ",CA,90046
7125233,2664 Zorada Dr ,"Los Angeles, ",CA,90046
57877690,1403-1405 Williamson St ,"Madison, ",WI,53703
144063812,3669 17th St ,"San Francisco, ",CA,94114
7115455,1636 N Curson Ave ,"Los Angeles, ",CA,90046
7126262,7670 Woodrow Wilson Dr ,"Los Angeles, ",CA,90046
7124449,8418 Lookout Mountain Ave ,"Los Angeles, ",CA,90046
100045813,8205 Laurelmont Dr ,"Los Angeles, ",CA,90068
172764724,7275 W Hazel Ct ,"Los Angeles, ",CA,90046
7102465,828 N Sierra Bonita Ave ,"Los Angeles, ",CA,90046
7115643,1601 N Fuller Ave #604 ,"Los Angeles, ",CA,90046
57844925,1023 Williamson St #2 ,"Madison, ",WI,53703
51680016,95 Hancock St ,"San Francisco, ",CA,94114
30942295,10435 Springhaven Dr ,"Dallas, ",TX,75217
7124477,2226 Stanley Hills Dr ,"Los Angeles, ",CA,90046
2026643,3047 California St ,"San Francisco, ",CA,94115
30744028,9827 Brierhill Dr ,"Dallas, ",TX,75217
1139582,1 Capp St ,"San Francisco, ",CA,94103
22889685,350 Broderick St #204 ,"San Francisco, ",CA,94117
1650753,2250 Bush St ,"San Francisco, ",CA,94115
12531406,4301 Military Rd NW #412 ,"Washington, ",DC,20015
170362281,2608 W VAN BUREN St #4 ,"Phoenix, ",AZ,85009
31202612,3856 Sendero Dr ,"Austin, ",TX,78735
1667074,2660 Scott St ,"San Francisco, ",CA,94123
7103427,842 N Orange Grove Ave ,"Los Angeles, ",CA,90046
2035763,1998 Broadway #902 ,"San Francisco, ",CA,94109
707920,1330 Stevenson St Unit C102 ,"San Francisco, ",CA,94103
7125351,2501 Apollo Dr ,"Los Angeles, ",CA,90046
7125379,2263 Apollo Dr ,"Los Angeles, ",CA,90046
31228372,8101 Chalk Knoll Dr ,"Austin, ",TX,78735
7117136,1400 N Hayworth Ave #27 ,"West Hollywood, ",CA,90046
7117877,1255 N Harper Ave #3 ,"West Hollywood, ",CA,90046
89925122,125 N Hamilton St #1002 ,"Madison, ",WI,53703
1537361,1026 Folsom St #3 ,"San Francisco, ",CA,94103
148027969,211 S Henry St #302 ,"Madison, ",WI,53703
