listing_id,property_type,hoa_dues,style,year_built,community,MLS#
173094201,"Condominium, Residential Condo/Co-Op",$452/month,Contemporary,2020,Hollywood,$779
31224403,"Residential, Single Family Residence",$158/month,,2003,Barton Creek Sec G Ph 02,$422
160720410,"Townhouse, Residential Condo/Co-Op",$375/month,Contemporary,2005,West Hollywood Vicinity,$738
27863873,Single Family Detached,,Ranch,1961,CAPITOL ADDITION BLOCKS 43 & 44 35-38 29 & 30,$192
30924885,"Residential, Single Family",,"Single Detached, Ranch, Traditional",1958,Crawford Park Terrace Rev,$114
28938758,Condominium,$592/month,Modern/High Tech,2009,Mission Bay,"$1,226"
7103544,"Single Family, Residential Single-Family",,Spanish,1923,West Hollywood Vicinity,"$1,039"
89947362,Condo,$507/month,,2005,Madison,$391
25723212,"Townhouse, Residential Condo/Co-Op",$360/month,Modern,2009,West Hollywood Vicinity,$659
1992034,"Semi-Attached, End Unit, Condominium",$420/month,Contemporary,1989,Western Addition,"$1,245"
12531377,,$894/month,Contemporary,2007,CHEVY CHASE,$742
57864809,Multi-Family,,,1904,Madison,
40625920,"Mid-Rise (4-8), Condominium",$718/month,Contemporary,2012,Inner Mission,"$1,173"
89903440,Single-Family,,Ranch,1955,N/a,$215
57870920,Multi-Family,,,1900,Madison,
1405312,"2 Level, Tenancy In Common",,"Contemporary, Modern/High Tech",1922,Mission Dolores,$996
89945603,Condo,$436/month,,1910,Madison,$369
57812419,Condo,$755/month,,1999,Madison,$393
21967151,,$428/month,,2007,San Francisco,"$1,755"
145641690,"Single Family, Residential Single-Family",$197/month,Contemporary,2017,Hollywood,$794
57851284,Condo,$313/month,,2007,Madison,$308
7122428,"Single Family, Residential Single-Family",,Traditional,1952,Sunset Strip - Hollywood Hills West,$927
30924270,"Residential, Single Family",,"Single Detached, Traditional",1954,Pleasant Grove Estates,$145
173342239,"Hi-Rise (9+), Condominium","$1,181/month",Modern/High Tech,2020,South Beach,"$1,213"
876268,Condominium,$533/month,,2002,Van Ness/Civic Center,$873
7105726,Residential Income,,New Project,1947,West Hollywood Vicinity,"$1,182"
7125233,"Single Family, Residential Single-Family",,Contemporary,1971,Sunset Strip - Hollywood Hills West,$728
57877690,Multi-Family,,,1909,Madison,
144063812,"Flat, Condominium",$425/month,Victorian,1911,Mission Dolores,$968
7115455,"Single Family, Residential Single-Family",,Craftsman,1916,Hollywood,$923
7126262,Single Family Residence,,Modern,1961,C03 - Sunset Strip - Hollywood Hills West,$728
7124449,"Single Family, Residential Single-Family",,Ranch,1974,Sunset Strip - Hollywood Hills West,$970
100045813,Residential Land,,,,Sunset Strip - Hollywood Hills West,
172764724,Residential Single-Family,$290/month,Modern,2020,West Hollywood Vicinity,$883
7102465,"Single Family, Residential Single-Family",,High Tech,2020,West Hollywood Vicinity,$769
7115643,"Condominium, Residential Condo/Co-Op",$475/month,Contemporary,1985,Hollywood,$718
57844925,Condo,$125/month,,1895,Madison,$211
51680016,"Low-Rise (1-3), Condominium",$300/month,,1905,Eureka Valley/Dolore,"$1,085"
30942295,"Residential, Single Family",,Single Detached,1965,Lake June Terrace,$97
7124477,"Single Family, Residential Single-Family",,Bungalow,1923,Sunset Strip - Hollywood Hills West,"$1,120"
2026643,"Low-Rise (1-3), Unit Above, 1 Level, Condominium",$347/month,Victorian,1895,Pacific Heights,"$1,143"
30744028,"Residential, Single Family",,Single Detached,2005,Brierwood Heights Ph 02,$107
1139582,"Low-Rise (1-3), Condominium",$398/month,,1921,Inner Mission,"$1,024"
22889685,"1 Level, Condominium",$540/month,Contemporary,2007,North Panhandle,"$1,158"
1650753,"3 Story, Single-Family Home",,Victorian,1900,Lower Pacific Height,"$1,016"
12531406,,"$1,363/month",Contemporary,2007,CHEVY CHASE,$879
170362281,,,,,CASA BELLA,
31202612,"Residential, Single Family Residence",$47/month,,1997,Lost Creek At Gaines Ranch Rep,$248
1667074,"4+ Story, Single-Family Home",,Traditional,1908,Pacific Heights,"$2,089"
7103427,"Single Family, Residential Single-Family",,Modern,2020,West Hollywood Vicinity,$776
2035763,Condominium,"$1,151/month",,1964,Pacific Heights,"$1,284"
707920,Condominium,$496/month,,1997,South of Market,"$1,101"
7125351,"Single Family, Residential Single-Family",,Contemporary,1977,Sunset Strip - Hollywood Hills West,$897
7125379,"Single Family, Residential Single-Family",,Cape Cod,1974,Sunset Strip - Hollywood Hills West,$809
31228372,"Residential, Single Family Residence",$158/month,,1999,Barton Creek Sec G Ph 02,$380
7117136,"Condominium, Residential Condo/Co-Op",$461/month,Mid-Century,1954,West Hollywood Vicinity,$878
7117877,Condominium,$311/month,Mid Century Modern,1960,C10 - West Hollywood Vicinity,$793
89925122,Condo,$579/month,,2002,Madison,$337
1537361,"Live/Work, 2 Level, Loft Condominium",$448/month,,2001,South of Market,$920
148027969,Condo,$342/month,,2019,Madison,$415
173379051,,$904/month,Contemporary,2010,CHEVY CHASE,$531
57825506,Condo,$675/month,,2008,Madison,$463
31228373,"Residential, Single Family Residence",$792/month,,2002,Barton Creek Sec G Ph 2,$771
7119495,"Single Family, Residential Single-Family",,Contemporary,1977,Sunset Strip - Hollywood Hills West,$594
8137847,Condominium,$463/month,,2003,C10 - West Hollywood Vicinity,$802
89936412,Condo,$579/month,,2008,Madison,$357
57834635,Condo,$361/month,,2007,Madison,$298
27573392,Single Family Detached,,Ranch,1956,WEST PHOENIX ADDITION,$212
7125387,"Single Family, Residential Single-Family",$21/month,Modern,1969,Sunset Strip - Hollywood Hills West,"$1,189"
9970875,,$528/month,Traditional,1956,CHEVY CHASE,$486
9980006,,,Cape Cod,1936,CHEVY CHASE,$482
7101609,Residential Income,,Contemporary,2020,West Hollywood Vicinity,$357
27508330,Duplex,,,1965,WASHINGTON PARK PLAT A,
173378575,Tenancy In Common,$450/month,Contemporary,,Russian Hill,"$1,008"
8174403,"Single Family, Residential Single-Family",,Mediterranean,2013,Sunset Strip - Hollywood Hills West,$742
1918860,Condominium,$300,,2002,SAN FRANCISCO,"$1,206"
7101625,Residential Single-Family,$290/month,Modern,2020,West Hollywood Vicinity,$898
12277396,Condominium,$172,Art Deco,1938,SAN FRANCISCO,"$1,153"
30939636,"Lots & Acreage, Residential Land",,,,Belvedere Estates,
7102648,"Single Family, Residential Single-Family",,Spanish,1924,West Hollywood Vicinity,$942
7119446,"Single Family, Residential Single-Family",,French Normandy,1956,Sunset Strip - Hollywood Hills West,"$1,562"
7103422,Residential Single-Family,,Farm House,2020,West Hollywood Vicinity,$792
21925166,"Condominium, Residential Condo/Co-Op",$600/month,Traditional,1992,West Hollywood Vicinity,$553
89936402,Condo,$410/month,,2008,Madison,$327
7115297,Condominium,$395/month,,1973,C03 - Sunset Strip - Hollywood Hills West,$622
171439709,,,,,Phoenix,
27504485,Single Family Detached,,Ranch,1946,RAINBOW VISTA,$123
170476492,"Mixed Use, 2 Stories, Mixed Use, 5-15 Units",,,1906,Van Ness/Civic Center,$391
1225261,"Flat, Attached, Ground Floor, 2 Level, Condominium",$400/month,"Contemporary, Victorian",1885,North Panhandle,$765
12400542,Stock Cooperative,"$3,186/month",Traditional,1927,Pacific Heights,"$2,043"
148027993,Condo,$342/month,,2019,Madison,$421
168955847,"Hi-Rise (9+), Luxury, New Construction, Condominium","$1,836/month",Modern/High Tech,2019,South Beach,"$1,573"
89950989,Condo,$287/month,,2008,Madison,$334
7119335,Single Family Residence,,"Contemporary, Modern",1960,C03 - Sunset Strip - Hollywood Hills West,"$1,215"
89915543,Single-Family,,Bungalow,1884,Farwells,$296
1009337,"1 Level, Condominium",,Contemporary,2000,Yerba Buena,$434
110238976,"Single Family, Residential Single-Family",$125/month,Contemporary,2015,West Hollywood Vicinity,$756
89927446,Condo,$337/month,,1910,Madison,$334
31691262,"Residential, Single Family Residence",$260/month,,2000,Courtyard At Gaines Ranch,$289
57830278,Condo,$308/month,,2008,Madison,$306
57800620,Condo,$379/month,,2002,Madison,$286
7117046,"Single Family, Residential Single-Family",,Mediterranean,1923,Sunset Strip - Hollywood Hills West,"$1,002"
1565595,Condominium,$878/month,,1978,Potrero Hill,$817
31224374,"Residential, Single Family Residence",$63/month,,1987,The Estates of Barton Creek,$332
7116372,"Single Family, Residential Single-Family",,Mid-Century,1964,Sunset Strip - Hollywood Hills West,$736
591334,"3 Story, Single-Family Home",,Contemporary,1953,North Panhandle,$941
1900976,Loft Condominium,$659/month,,1995,South of Market,$810
7122799,"Single Family, Residential Single-Family",,Contemporary,1987,Sunset Strip - Hollywood Hills West,$443
89903082,Multi-Family,,,1898,Old Market Place,
6834645,"Single Family, Residential Single-Family",,Hacienda,1991,Beverly Hills Post Office,$788
27508690,Single Family Detached,,,1956,ENCANTO ESTATES AMD,$251
1188165,"Flat, Low-Rise (1-3), Condominium",$350/month,Edwardian,1900,Cow Hollow,"$1,398"
17304758,"Luxury, Condominium",$250/month,"Contemporary, Traditional",2007,Potrero Hill,"$1,095"
7122558,Single Family Residence,,Cottage,1956,C03 - Sunset Strip - Hollywood Hills West,"$1,027"
7116776,"Single Family, Residential Single-Family",,Tudor,1925,Sunset Strip - Hollywood Hills West,$777
7106565,Residential Income,,,1961,West Hollywood Vicinity,$478
9993492,,,,2020,CHEVY CHASE,$348
1810387,"Low-Rise (1-3), Condominium",$325/month,Edwardian,1900,Alamo Square,"$1,130"
89934969,Condo,$505/month,,2002,Madison,$353
7117130,"Condominium, Residential Condo/Co-Op",$669/month,Mid-Century,1954,West Hollywood Vicinity,$844
173000511,"Single Family, Residential Single-Family",$99/month,Modern,2020,Hollywood,$906
89925119,Condo,$825/month,,2002,Madison,$398
173000510,Residential Single-Family,$99/month,Modern,2020,Hollywood,$956
7114362,"Condominium, Residential Condo/Co-Op",$777/month,High or Mid-Rise Condo,1964,Sunset Strip - Hollywood Hills West,$658
2023304,Condominium,"$1,151/month",,1964,Pacific Heights,"$1,193"
89915568,Single-Family,,Other,1915,Marquette Neighborhood,$259
173372328,Single-Family Home,,,1900,Lower Pacific Height,$733
27230784,"Other (See Remarks), 5-12 Units",,,1969,DEL MONTE VILLAGE 2,
17493124,Residential Land,,,,Sunset Strip - Hollywood Hills West,
7125791,"Single Family, Residential Single-Family",,Architectural,1986,Sunset Strip - Hollywood Hills West,$609
57838425,Condo,$404/month,,2009,Madison,$275
145803108,,,,,BUCKEYE ROAD ACRES BLOCKS 3 & 4,
57857974,Condo,$345/month,,2004,Madison,$306
144004456,"Residential, Condominium",$563/month,,2015,Escondera Condo Amd,$251
173219840,"Condominium, Residential Condo/Co-Op",$500/month,Contemporary,2020,West Hollywood Vicinity,"$1,141"
160664594,,,,,C03 - Sunset Strip - Hollywood Hills West,
169571402,Condominium,$666,,2018,SAN FRANCISCO,"$1,164"
28134743,,,,,"CAPITOL BLK 43, 44, 35-38, 29, 30",
31165692,"Residential, Condo",$213/month,Condo/Townhome,1984,Canterbury Crossing Ph 01-08,$66
591805,Condominium,$350,,1981,SAN FRANCISCO,"$1,091"
