listing_id,listing_price,est._mo._payment,redfin_estimate,price_per_Sq_ft
173094201,"$1,010,000","$4,657","$1,003,169",$779
31224403,"$5,290,000","$28,577",,$422
160720410,"$1,395,000","$6,432","$1,381,653",$738
27863873,"$248,000",$982,,$192
30924885,"$159,900","$1,021",,$114
28938758,"$950,000","$4,340","$948,648","$1,226"
7103544,"$1,799,000","$8,294","$1,785,165","$1,039"
89947362,"$524,900","$2,672","$507,302",$391
25723212,"$1,390,000","$6,408","$1,387,692",$659
1992034,"$1,195,000","$5,461","$1,197,139","$1,245"
12531377,"$724,500","$2,990","$715,509",$742
57864809,"$385,000","$1,981","$364,797",
40625920,"$999,000","$4,566","$1,026,742","$1,173"
89903440,"$209,900","$1,227","$205,381",$215
57870920,"$689,000","$3,588","$681,253",
1405312,"$2,290,000","$10,465","$2,301,768",$996
89945603,"$394,900","$2,183","$381,950",$369
57812419,"$985,000","$5,155","$949,849",$393
21967151,"$458,000","$2,093","$460,869","$1,755"
145641690,"$1,495,000","$6,894","$1,491,311",$794
57851284,"$219,900","$1,222","$218,993",$308
7122428,"$1,599,000","$7,374","$1,594,903",$927
30924270,"$145,000",$847,"$146,455",$145
173342239,"$1,325,000","$6,054","$1,322,427","$1,213"
876268,"$725,000","$3,313","$748,555",$873
7105726,"$3,250,000","$14,986","$3,180,286","$1,182"
7125233,"$1,629,000","$7,512","$1,613,236",$728
57877690,"$538,640","$2,838","$514,402",
144063812,"$1,195,000","$5,460","$1,313,156",$968
7115455,"$1,799,000","$8,295","$1,797,877",$923
7126262,"$2,250,000","$10,373","$2,199,399",$728
7124449,"$1,280,000","$5,902","$1,288,469",$970
100045813,"$895,000","$4,127","$887,438",
172764724,"$1,249,000","$5,760","$1,244,521",$883
7102465,"$3,999,000","$18,440","$3,965,484",$769
7115643,"$1,495,000","$6,895","$1,474,231",$718
57844925,"$325,500","$1,772","$319,295",$211
51680016,"$1,195,000","$5,460",,"$1,085"
30942295,"$185,000","$1,117",,$97
7124477,"$959,000","$4,423","$971,865","$1,120"
2026643,"$1,895,000","$8,659","$1,894,194","$1,143"
30744028,"$220,000","$1,323","$213,829",$107
1139582,"$950,000","$4,342","$950,678","$1,024"
22889685,"$1,395,000","$6,375","$1,397,392","$1,158"
1650753,"$3,499,000","$15,990","$3,537,901","$1,016"
12531406,"$1,375,000","$5,686","$1,349,964",$879
170362281,"$200,000",$789,"$188,581",
31202612,"$789,000","$4,330","$790,691",$248
1667074,"$19,200,000","$87,732","$19,154,295","$2,089"
7103427,"$4,195,000","$19,343","$4,058,307",$776
2035763,"$899,000","$4,108","$901,253","$1,284"
707920,"$798,000","$3,647","$799,594","$1,101"
7125351,"$3,375,000","$15,559","$3,228,447",$897
7125379,"$2,200,000","$10,145","$2,198,165",$809
31228372,"$2,600,000","$14,320","$2,452,268",$380
7117136,"$539,000","$2,485","$538,567",$878
7117877,"$338,000","$1,559","$340,698",$793
89925122,"$594,900","$3,329","$577,718",$337
1537361,"$775,000","$3,542","$803,920",$920
