listing_id,beds,baths,finished_sq_ft,unfinished_sq_ft,total_sq.ft,stories,lot_size,style,year_built,year_renovated,county,APN
173094201,—,—,—,—,—,—,—,Condo/Co-op,—,—,Los Angeles County,UNAVAILABLE
31224403,—,6,"12,550",—,"12,550",2,1.59 Acres,Single Family Residential,2003,—,Travis County,422443
160720410,—,—,—,—,—,—,—,Townhouse,—,—,Los Angeles County,5531-007-030
27863873,—,2,"1,289",—,"1,289",1,"7,000 Sq. Ft.",Single Family Residential,1961,—,Maricopa County,10949079
30924885,3,1.5,"1,401",—,"1,401",1,"7,296 Sq. Ft.",Single Family Residential,1958,1958,Dallas County,00000571594000000
28938758,2,1,—,—,775,—,—,Condo/Co-op,2009,—,San Francisco County,8704 039
7103544,4,2,"1,732",—,"1,732",1,"6,500 Sq. Ft.",Single Family Residential,1923,1943,Los Angeles County,5527008017
89947362,1,1.5,"1,344",—,"1,344",1,—,Condo/Co-op,2004,2005,Dane County,070914436287
25723212,2,3,"2,110",—,"2,110",—,—,Townhouse,2009,2009,Los Angeles County,5530002066
1992034,2,2,—,—,960,—,—,Condo/Co-op,1989,—,San Francisco County,1100 110
12531377,1,2,—,—,898,—,—,Condo/Co-op,2007,—,District of Columbia,1663    2081
57864809,5,3,"2,748",—,"2,748",2.5,—,Condo/Co-op,1904,1960,Dane County,070913111088
40625920,2,2,—,—,852,5,—,Condo/Co-op,2012,—,San Francisco County,3532 127
89903440,3,1.5,"1,275",—,"1,275",1,"4,900 Sq. Ft.",Single Family Residential,1955,1965,Dane County,070913111179
57870920,9,4,"3,552",—,"3,552",3,—,Condo/Co-op,1900,1973,Dane County,070913113167
1405312,—,5,—,—,"3,310",2,"2,979 Sq. Ft.",Multi-Family (2-4 Unit),1922,—,San Francisco County,3568 054
89945603,2,2,"1,070",—,"1,070",1,—,Condo/Co-op,1910,2007,Dane County,070913348334
57812419,2,2.5,"2,506",—,"2,506",1,—,Condo/Co-op,1999,2003,Dane County,070924214053
21967151,—,1,—,—,261,2,—,Condo/Co-op,2007,—,San Francisco County,0351 073
145641690,3,4,"1,884",—,"1,884",—,"1,830 Sq. Ft.",Single Family Residential,2017,2017,Los Angeles County,5550029052
57851284,1,1,713,—,713,1,—,Condo/Co-op,2007,2008,Dane County,070923163384
7122428,3,2,"1,725",—,"1,725",1,"7,415 Sq. Ft.",Single Family Residential,1952,1980,Los Angeles County,5562013013
30924270,3,1,998,—,998,1,"7,109 Sq. Ft.",Single Family Residential,1954,1954,Dallas County,00000570823000000
173342239,—,—,—,—,—,—,—,Condo/Co-op,—,—,San Francisco County,NEW OR UNDER CONSTRUCTION
876268,—,—,—,—,830,—,—,Condo/Co-op,2002,—,San Francisco County,3514 151
7105726,1,1,400,—,400,—,"6,157 Sq. Ft.",Multi-Family (2-4 Unit),1947,—,Los Angeles County,5529011031
7125233,2,3,"2,102",—,"2,102",2,0.42 Acres,Single Family Residential,1971,1976,Los Angeles County,5569020007
57877690,6,3,"3,772",—,"3,772",3,—,Condo/Co-op,1909,1962,Dane County,071007215182
144063812,2,1,—,—,"1,213",1,—,Condo/Co-op,1911,—,San Francisco County,3579 047
7115455,3,1,"1,736",—,"1,736",2,"6,975 Sq. Ft.",Single Family Residential,1916,1920,Los Angeles County,5550008006
7126262,4,4,"3,091",—,"3,091",2,"7,966 Sq. Ft.",Single Family Residential,1961,1980,Los Angeles County,5570031026
7124449,2,2,"1,319",—,"1,319",1,"5,028 Sq. Ft.",Single Family Residential,1974,1974,Los Angeles County,5567004045
100045813,—,—,—,—,—,—,—,Vacant Land,—,—,Los Angeles County,—
172764724,—,—,—,—,—,—,—,Single Family Residential,—,—,Los Angeles County,5525-001-063
7102465,2,2,"1,972",—,"1,972",—,"6,614 Sq. Ft.",Multi-Family (2-4 Unit),1923,1923,Los Angeles County,5526003020
7115643,2,3,"2,083",—,"2,083",—,—,Condo/Co-op,1985,1985,Los Angeles County,5550016049
57844925,2,2,"1,544",—,"1,544",2,—,Condo/Co-op,1895,1981,Dane County,070913432020
51680016,3,2,—,—,"1,058",1,—,Condo/Co-op,1905,—,San Francisco County,3585 160
30942295,3,2,"1,899",—,"1,899",1,"8,024 Sq. Ft.",Single Family Residential,1965,1965,Dallas County,00000627466000000
7124477,2,1,856,—,856,1,"7,519 Sq. Ft.",Single Family Residential,1923,1928,Los Angeles County,5567006014
2026643,3,1,—,—,"1,368",—,—,Condo/Co-op,1895,—,San Francisco County,1030 054
30744028,3,2,"2,065",—,"2,065",1,"7,627 Sq. Ft.",Single Family Residential,2005,2005,Dallas County,00848300060140000
1139582,8,4,—,—,"4,220",2,—,Condo/Co-op,1921,—,San Francisco County,3553 048
22889685,2,2,—,—,"1,102",—,—,Condo/Co-op,2007,—,San Francisco County,1215 023
1650753,4,3,—,—,"2,890",2,"3,438 Sq. Ft.",Single Family Residential,1900,—,San Francisco County,0659 036
