house_id,mls_id
55397269,1890666
448478,DCDC461330
43691309,1072159
55397043,1893105
15151214,507817
104460216,1890676
245677620,10880290
89921434,10897074
439323,DCDC482378
20690565,20641438
3874726,10889946
295357473,PTP2000167
27323931,14450061
29333056,7362318
43708313,1071408
7512091,6133814
121073218,10857823
102959965,1894343
26819039,14430407
15072751,507467
26818496,14441154
36730425,MDCH218220
60136219,4454399
19607297,ML81811635
2077554927,1076203
7515311,6136314
29331251,1274759
17112435,
20788262,20544070
81944512,1891740
449003,DCDC481542
101377273,10855882
83813569,56291562
15078068,507249
82785788,507689
110721756,1710741
64778753,5445840
19600868,ML81807093
15080658,504228
7514179,6111518
15077575,507841
7515266,6131064
19579447,ML81813425
20690599,DW20213031
2119576321,MDCH217174
61618491,DCDC470710
110721151,1713643
110711045,1708962
89913137,10896600
20795967,20635604
62629095,1076935
63790467,AR20178043
26994444,14438889
26943888,14449336
19608428,ML81811158
104456605,1891127
20788517,20641112
122064192,502705
153249692,ML81809930
89237737,507818
54535555,10889307
26907572,14436131
108871045,1711368
40472965,1709142
65557381,10750754
110749564,1708532
20643510,PW20201495
87717960,10896783
20797557,SR20208991
125234157,14447733
20800583,20642478
70753128,1077410
26794313,14441840
36743778,MDCH217900
84640400,1072923
104454639,1891031
19580018,ML81813772
19594284,ML81813978
96794859,1711266
29333050,3321727
43695222,1075156
19556933,ML81804919
19557393,ML81814155
7505448,6136437
246025291,1072407
284859871,6130958
70465543,10880732
26951537,14447538
7519505,6141898
448457,DCDC488602
29334463,9034996
29331269,5560226
29334477,7293744
459564,DCDC484172
95632851,20642644
20788058,20639124
3592202,10891766
121066995,10882562
81921171,1894827
87724167,10888747
29333052,
19594537,ML81809360
448535,DCDC479074
2078389959,4310242
306645920,5211672
26860844,14437784
61962938,10881364
20797583,20641384
19607696,ML81814471
158778443,10896122
27290268,14450190
458486,
36744362,MDCH217120
55396371,1893668
27263280,14444602
55397047,1893060
15181623,507317
17112626,200047597
19599402,ML81811361
7506397,6131528
2077871631,10856287
20802252,20639896
26817089,14443760
