house_id,overview
55397269,"Live in the heart of all that Willy St has to offer! You'll fall in love with the tall ceilings, maple hardwood floors, double sided fireplace, and modern updates in this gorgeous condo.   A large bedroom and bathroom give you plenty of personal space while the kitchen and living area give you room to entertain. In unit laundry and underground, heated parking give you easy day to day living. A large storage space with light + electricity is a great added bonus for a small workshop or space to keep your things! Fresh paint, updated appliances, and a new A/C and roof leave you with peace of mind. You'll be able to move in and make this condo home right away!Read more"
448478,"Welcome to the Stylish 1 BR/ 1 BA Condo in the Well Managed & Maintained 166-unit Mid Century Modern  Garfield Condominium. Condo Fee Includes All Utilities:  Gas, Electricity, Water & Sewer, Trash/Recycling and Snow Removal; as well as the Many Building Amenities:  24/7 Front Desk/Concierge, On -Site Manager, Amazing Roof Deck,  Gym, Meeting Room,  Laundry Room and  2 Elevators. Fully Renovated Large 867 Sq foot Unit, this Unit has an Abundance of  Windows & Closets as well as Wall Space and Built-Ins Ideal for Displaying Artwork. Appealing Floor Plan and Define Spaces in the Living and Dinning Areas. **Newly Updated Kitchen**Stainless Steel Appliances**Premium Fully Renovated Bathroom **Gleaming  Engineered Hardwood Floors**Tons of Storage Space** Located in the Premium Tier on the quiet side of the building with Large Windows throughout filling the Home with Natural Light. Super convenient Location Just Blocks From the Many Shopping, Dining, & Community Amenities of Chevy Chase DC -- Over 50 Opportunities to ""Shop Local"" along Connecticut Ave. And, the Friendship Heights Metro and the Surrounding Shops and Restaurants are Only 5 blocks away. The Garfield has a No Pet Policy.  Call  Showing Contact for Combo Code.Read more"
43691309,"Wonderful 3/2 home in the Pace Island! Ceramic plank floors in kitchen and family room.Kitchen overlooks family room. Separate formal living and dining rooms. Spacious owners suite and bathroom. Bathroom boasts two separate vanities, garden tub and separate shower stall.Two guest bedrooms and guest bath. Home is located on a large corner lot. Fenced in backyard.Enjoy your free time at the amenities Pace Island has to offer. Pool, tennis and basketball courts! 24 hr guard at gate.Close to NAS Jax. Minutes to great shopping and restaurants!Read more"
55397043,"If these walls could talk they'd say BUY ME! All of the heavy lifting has been done & character preserved in this 4 bd/1.5 ba home, located in popular Tenney Park area. Traditional layout w/~2,000 SqFt of living space over 3 stories! Fully remodeled kitchen offers a great layout, new cabinets, backsplash, granite ctrs & GE Cafe SS appliances. Add features incl original molding, trim, doors & hardware, refinished hardwoods, high ceilings, built ins, fresh landscaping, new decks (front & back), wood stove, 200 amp electric, PEX plumbing, upgraded bath, new ½ bath, main floor laundry, newer mechanicals (furnace, AC, water heater) & roof, new windows & fresh paint throughout. 1 car garage, add prkg pad & cute yard! Great urban location near E Johnson St eateries, Tenney Park & near downtown!Read more"
15151214,"Great things come in small packages! This is certainly true of this charming Mission District single family home just steps away from some of the best restaurants in San Francisco.  Flooded with natural light from multiple skylights, this jewel box house is truly the perfect condo alternative.  The centerpiece of the home is the terrific landscaped yard with a darling seating area in rear.  The main level consists of a beautiful kitchen with stainless steel appliances and marble countertop, living area, bar seating, dining area, bedroom with high ceilings, and bathroom with shower over tub.  On the lower level is an unwarranted room and full bath (staged as a bedroom) and perfect for an office, exercise room or multiple other possibilities.  Garage, storage and laundry complete this level.  It's rare to find such a complete package with so much charm in such a desirable location. This house is truly special.Read more"
104460216,"Beautiful 11th floor 1-bedroom + study with Lake Monona views offers the best in city living 3 blocks from the Square! Located close to the University, both lakes, the public library and all downtown restaurants and events, this attractive condo offers maple hardwood floors, cherry cabinets, granite counters, SS appliances with gas stove, walk-in closet, private deck + separate storage. New carpet in master bedroom and freshly painted living room+kitchen. Exceptional building amenities too: onsite property management, fitness center, 1-acre park, guest parking + dog run. Parking space #2048 located on level P2 - parking condo fee $40.93. Storage Unit #347 located on the 3rd floor.Read more"
245677620,"This 1578 square foot single family home has 3 bedrooms and 3.0 bathrooms. This home is located at 2665 W Maypole Ave, Chicago, IL 60612.Read more"
89921434,"SPECTACULAR CORNER PENTHOUSE UNIT!! OFFERING NORTH & EAST VIEWS!! STUNNING AND MOVE IN READY 2 BEDROOM/2 BATHROOM SECURE (GATED) ASSIGNED PARKING SPOT INCLUDED IN THE PRICE!    THIS IS ONE OF THE BEST UNITS IN THE BUILDING! TOP FLOOR, CORNER UNIT BRINGS IN SO MUCH NATURAL LIGHT AND SOME OF THE BEST VIEWS!! THE SUN DRENCHED LIVING ROOM & DINING ROOM HAS AIRY AND ASCENDING CATHEDRAL CEILINGS, JULIET BALCONY AND A BEAUTIFUL FIREPLACE! HARDWOOD FLOORS & FRESH TRENDY PAINT THROUGH OUT THE ENTIRE UNIT. KITCHEN OFFERS 42"" MAPLE CABINETS, GRANITE COUNTERTOPS, WATER FILTRATION SYSTEM IN THE KITCHEN SINK AND SO MUCH PREP SPACE! WAKE UP IN THE MASTER BEDROOM WITH A VIEW OF THE SEARS TOWER EVERY MORNING!! AWESOME WALK IN CLOSET AND EN SUITE MASTER BEDROOM BATH WITH DOUBLE VANITY SINKS AND JACUZZI TUB! FULL BALCONY ACCESS OFF THE MASTER BEDROOM WITH BEAUTIFUL SKYLINE VIEWS. BEDROOM 2 OFFERS SO MUCH SPACE AND NATURAL LIGHT. IN UNIT FULL SIZE WASHER AND DRYER IN THE LAUNDRY ROOM!! NEST THERMOSTAT! WELL MAINTAINED BUILDING GREAT FOR INVESTORS OR HOME OWNERS! TRI-TAYLOR AREA IS ONE OF THE HOTTEST NEIGHBORHOODS IN THE CITY! ENCOMPASSED BY NEW CONSTRUCTION ON JUST ABOUT EVERY BLOCK! CLOSE TO EXPRESSWAYS 90/94, 290 & 55, BLUE LINE, PINK LINE BUS STOPS, DOWNTOWN CHICAGO, UIC, RUSH/ILLINOIS MEDICAL DISTRICT, UNITED CENTER, UNIVERSITY VILLAGE, TAYLOR STREET & LITTLE ITALY. EASY ACCESS TO THE LOOP, WEST TOWN,  SOUTH LOOP, PILSEN, SEVERAL LOCAL HOSPITALS, RESTAURANTS, ROOSEVELT COLLECTION, COSTCO, WHOLE FOODS & SO MUCH MORE!! IMMEDIATE CLOSE POSSIBLE!!Read more"
439323,"Wonderful opportunity to live in Friendship Heights! This gorgeous fully renovated four-story semi-detached home has it all! The open contemporary floor plan grants enough space for dining, living, and a beautiful chef's kitchen with wrap-around windows and french doors that opens up to an expansive deck suited for all of your entertaining. The soaring 9-foot ceilings, lovely hardwood throughout, and the abundance of windows really provides a light and airy feel! Attention to detail was not overlooked in any aspect of this renovation you'll notice it through the custom stair railing and, stunning tiling! The lower level boasts 8.5-foot ceilings, custom wet bar, guest suite, a ton of extra storage, and access to additional private outdoor space. The sizable yard and off-street parking complete your new home!Read more"
20690565,"Probate Sale! Single Family Residence featuring 2 bedrooms and 1 bathroom +/- 576 SF of living on a +/- 7,083 SF corner lot! APN: 5307-018-025.  THIS PROPERTY IS BOARDED UP/ THERE WILL BE NO INTERIOR ACCESS, LAND VALUE ONLY. This property is offered together with improvements thereon as is, where is, with no warranty expressed or implied. This is an ""All Cash Sale"" , subject to court confirmation and overbid. (Timing of hearing is subject to the courts calendar- approximately 4-6 months)  Submit all offers on the Seller's Offer to Purchase Contract with proof of funds by October 17th 2020. ALL VISISTORS must sign a PEAD form prior to entering the property. Everyone must follow LA City CDC guidelines  Please review private remarks.Read more"
