house_id,parking_features,garage_spaces,total_spaces,covered_spaces,stories,exterior_features,on_waterfront,lot_size,parcel_number
55397269,Covered,1,1,,,,,,070913128075
448478,,,,,1,,,0.01 acres,18572088
43691309,"Garage, Garage - Attached, Covered",2,2,2,1,,,0.25 Acres,28042601315300291
55397043,"Garage - Detached, Covered",1,1,,2,,,"3,484 sqft",070913111129
15151214,Attached Garage,1,,,2,,,0.03 acres,4148003A
104460216,Garage - Attached,0,0,,,,,,070923164457
245677620,Covered,2,2,,,,,"1,916 sqft",1612418019
89921434,"Garage - Attached, Covered",1,1,,4,,,"7,576 sqft",17183270341004
439323,"Carport, Garage - Attached, Covered",3,3,,4,,,"3,902 sqft",15800804
20690565,,0,0,,1,,,"7,082 sqft",5307018025
3874726,"Garage - Detached, Covered",1,1,,,,,"2,077 sqft",1718315036
295357473,,0,0,,1,,,"8,786 sqft",4800832000
27323931,"Garage - Attached, Covered",2,2,,1,,,"7,535 sqft",R48670
29333056,"Carport, Garage - Attached, Covered",3,3,4,2,,,3.89 Acres,01133402060000
43708313,"Carport, Garage - Attached, Covered",2,2,2,1,,,0.51 Acres,41052601520301707
7512091,Garage,0,0,,1,,,"8,507 sqft",10825019
121073218,"Garage - Attached, Covered",4,4,,3,,,,17073210481013
102959965,,0,0,,,,,,070923165702
26819039,"Garage - Attached, Covered",1,1,,2,,,"10,454 sqft",00000626487710000
15072751,,0,0,,,,,,0567072
26818496,Attached Garage,1,,,1,,,0.2 acres,00000626130010000
36730425,"Garage - Attached, Covered",2,2,2,2,,,0.29 Acres,06219519
60136219,"Garage - Attached, Covered",2,2,,2,,,"8,755 sqft",01014007270000
19607297,"Garage, Garage - Attached, Covered",2,2,,,,,"6,194 sqft",30314037
2077554927,"Garage - Attached, Covered",2,2,2,,,,,
7515311,Covered,4,4,,2,,,"6,969 sqft",10948138
29331251,Attached Garage,3,,,2,,,1.59 acres,01113402110000
17112435,"Garage, Garage - Attached, Covered",4,4,,,,,"9,583 sqft",5764410400
20788262,Carport,3,,,1,,,0.17 acres,5530001027
81944512,,0,0,,,,,,070923152634
449003,,1,,,1,,,0.02 acres,18692011
101377273,Garage - Attached,0,0,,4,,,1.44 Acres,12162040511054
83813569,Attached Garage,4,,,2,,,2.25 acres,01114401130000
15078068,"Garage - Attached, Covered",1,1,,3,,,,0774033
82785788,"On street, Attached Garage",,,,,,,,3570110
110721756,"Garage - Detached, Covered",2,2,3,1,,,"8,712 sqft",4080347000
64778753,"Garage - Attached, Covered",3,3,,2,,,0.36 Acres,01153601290000
19600868,"Garage, Garage - Attached, Covered",2,2,,2,,,"1,315 sqft",29448028
15080658,Attached Garage,,,,2,,,0.14 acres,0952014
7514179,,0,0,,1,,,"6,500 sqft",10927062
15077575,"Garage, Garage - Attached",0,0,,2,,,,0762051
7515266,,0,0,,1,,,"6,000 sqft",10947136
19579447,"Garage, Garage - Detached, Covered",1,1,,,,,"5,248 sqft",26905008
20690599,"Garage, Garage - Attached, Covered",2,2,,2,,,"7,100 sqft",5307019016
2119576321,Covered,2,2,,1,,,0.25 Acres,
61618491,On-street,0,0,,1,,,297 sqft,18732072
110721151,"Garage - Detached, Covered",1,1,2,1,,,"6,534 sqft",4110034000
110711045,"Garage - Detached, Covered",2,2,3,2,,,"7,405 sqft",3340048000
89913137,"Garage - Attached, Covered",2,2,,3,,,,17181060291023
20795967,Attached Garage,1,,,2,,,0.7 acres,5554010036
62629095,"Garage, Garage - Attached, Covered",2,2,2,2,,Pond,"10,802 sqft",06052601424700138
63790467,"Carport, Covered",1,1,,2,,,7.37 Acres,4754801347
26994444,"Garage, Garage - Attached, Covered",2,2,,1,,,"10,454 sqft",24030500050340000
26943888,"Garage - Attached, Covered",2,2,,1,,,"5,314 sqft",14027900070060000
19608428,"Garage, Garage - Attached, Covered",2,2,,,,,"2,077 sqft",30343012
104456605,Attached Garage,1,,,,,,,070923163524
