house_id,sun_score,rent_control
55397269,Candidate for a community solar programSun Number™,
448478,Great solar potentialSun Number™,
43691309,Great solar potentialSun Number™,
55397043,Good solar potentialSun Number™,
15151214,Great solar potentialSun Number™,
104460216,Great solar potentialSun Number™,
245677620,Good solar potentialSun Number™,
89921434,Great solar potentialSun Number™,
439323,Candidate for a community solar programSun Number™,
20690565,Great solar potentialSun Number™,
3874726,Great solar potentialSun Number™,
295357473,,
27323931,Great solar potentialSun Number™,
29333056,Great solar potentialSun Number™,
43708313,Great solar potentialSun Number™,
7512091,Great solar potentialSun Number™,
121073218,,
102959965,Great solar potentialSun Number™,
26819039,Great solar potentialSun Number™,
15072751,Great solar potentialSun Number™,
26818496,Great solar potentialSun Number™,
36730425,Great solar potentialSun Number™,
60136219,Great solar potentialSun Number™,
19607297,Great solar potentialSun Number™,
2077554927,,
7515311,,
29331251,Great solar potentialSun Number™,
17112435,Great solar potentialSun Number™,
20788262,Great solar potentialSun Number™,
81944512,Great solar potentialSun Number™,
449003,Great solar potentialSun Number™,
101377273,Great solar potentialSun Number™,
83813569,Great solar potentialSun Number™,
15078068,Great solar potentialSun Number™,
82785788,Great solar potentialSun Number™,
110721756,Great solar potentialSun Number™,
64778753,Great solar potentialSun Number™,
19600868,Great solar potentialSun Number™,
15080658,Great solar potentialSun Number™,
7514179,Great solar potentialSun Number™,
15077575,Great solar potentialSun Number™,
7515266,Great solar potentialSun Number™,
19579447,Great solar potentialSun Number™,
20690599,Great solar potentialSun Number™,
2119576321,,
61618491,Great solar potentialSun Number™,
110721151,Great solar potentialSun Number™,
110711045,Great solar potentialSun Number™,
89913137,,
20795967,Great solar potentialSun Number™,
62629095,Great solar potentialSun Number™,
63790467,Great solar potentialSun Number™,
26994444,Candidate for a community solar programSun Number™,
26943888,Great solar potentialSun Number™,
19608428,Great solar potentialSun Number™,
104456605,Great solar potentialSun Number™,
20788517,Great solar potentialSun Number™,
122064192,Great solar potentialSun Number™,
153249692,Great solar potentialSun Number™,
89237737,Candidate for a community solar programSun Number™,
54535555,,
26907572,Great solar potentialSun Number™,
108871045,Great solar potentialSun Number™,
40472965,Great solar potentialSun Number™,
65557381,Candidate for a community solar programSun Number™,
110749564,Great solar potentialSun Number™,
20643510,Great solar potentialSun Number™,
87717960,Great solar potentialSun Number™,
20797557,Great solar potentialSun Number™,
125234157,,
20800583,Good solar potentialSun Number™,
70753128,,
26794313,Great solar potentialSun Number™,
36743778,Good solar potentialSun Number™,
84640400,Great solar potentialSun Number™,
104454639,Great solar potentialSun Number™,
19580018,Great solar potentialSun Number™,
19594284,Great solar potentialSun Number™,
96794859,Great solar potentialSun Number™,
29333050,Great solar potentialSun Number™,
43695222,Great solar potentialSun Number™,
19556933,Great solar potentialSun Number™,
