listing_id,Lot_Size_Acres,Lot_Size_Square_Feet,Lot_Size_Units,Parking_Total
1670330,,,Square Feet,
1670807,,,Square Feet,1
1670668,0.0387,1685,Square Feet,2
1669062,0.1033,4500,Square Feet,
1670420,0.1687,7350,Square Feet,2
1670448,0.2096,9132,Square Feet,2
1669083,0.4261,18560,Square Feet,2
1670725,0.0702,3060,Square Feet,1
1670866,,,Square Feet,4
1670339,,,Square Feet,2
1670866,,,Square Feet,4
1671280,0.2498,10880,Square Feet,2
1670408,0.331,14417,Square Feet,1
1669023,0.1849,8053,Square Feet,2
1668723,,,Square Feet,1
1652024,,,Square Feet,1
1671051,0.3129,13630,Square Feet,2
1670807,,,Square Feet,1
1675193,,,Square Feet,2
1670668,0.0387,1685,Square Feet,2
1669984,0.1105,4815,Square Feet,1
1669252,0.0882,3840,Square Feet,1
1668401,0.0358,1560,Square Feet,
1668438,0.0574,2500,Square Feet,2
1669352,,,Square Feet,1
1670003,0.0943,4106,Square Feet,2
1670725,0.0702,3060,Square Feet,1
1671384,0.0413,1798,Square Feet,1
1663117,0.1561,6800,Square Feet,1
1671280,0.2498,10880,Square Feet,2
1670608,0.2498,10880,Square Feet,2
1669759,0.1377,6000,Square Feet,2
1647122,0.0769,3350,Square Feet,
1670219,0.0163,709,Square Feet,1
1669599,0.0239,1039,Square Feet,1
1670595,0.0413,1798,Square Feet,1
1671051,0.3129,13630,Square Feet,2
1660777,,,Square Feet,1
1669674,0.3452,15037,Square Feet,
1663117,0.1561,6800,Square Feet,1
1653981,0.0918,4000,Square Feet,2
1659998,0.0248,1081,Square Feet,1
1671493,0.0918,4000,Square Feet,
1670552,0.1529,6660,Square Feet,3
1670934,0.0413,1798,Square Feet,
1667539,,,Square Feet,2
1669869,0.0253,1101,Square Feet,1
1665232,0.0702,3060,Square Feet,1
1667025,0.1471,6408,Square Feet,
1667889,0.0918,4000,Square Feet,
1665188,,,Square Feet,2
1665667,0.1377,6000,Square Feet,2
1667745,0.2648,11535,Square Feet,
1666990,0.0813,3541,Square Feet,2
1665045,0.1278,5568,Square Feet,2
1669986,0.15,6536,Square Feet,
1667739,0.221,9625,Square Feet,
1670931,0.1258,5480,Square Feet,
1670538,0.219,9540,Square Feet,1
1671330,0.0242,1053,Square Feet,2
1667022,,,Square Feet,1
1659750,,,Square Feet,1
1660777,,,Square Feet,1
1669661,0.1309,5700,Square Feet,
1670042,,,Square Feet,2
1671480,0.0145,630,Square Feet,1
1669367,0.1885,8212,Square Feet,2
1668998,0.132,5750,Square Feet,
1661070,0.1412,6150,Square Feet,2
1670942,0.0167,729,Square Feet,
1670553,0.0918,4000,Square Feet,1
1669867,,,Square Feet,1
1667468,0.0219,952,Square Feet,1
1666467,0.023,1000,Square Feet,
1667149,0.6818,29700,Square Feet,2
