listing_id,address,location
1670330,2132 5TH AVE UNIT 105,"Seattle, WA 98121"
1670807,1420 TERRY AVE UNIT 905,"Seattle, WA 98101"
1670668,3037 30TH AVE W # A,"Seattle, WA 98199"
1669062,5843 MCKINLEY PL N,"Seattle, WA 98103"
1670420,3622 E TERRACE ST,"Seattle, WA 98122"
1670448,4105 NE 98TH ST,"Seattle, WA 98115"
1669083,10423 MARINE VIEW DR SW,"Seattle, WA 98146"
1670725,355 N 75TH ST,"Seattle, WA 98103"
1670866,3420 25TH AVE W APT A,"Seattle, WA 98199"
1670339,300 LAKESIDE AVE S APT 201,"Seattle, WA 98144"
1670866,3420 25TH AVE W APT A,"Seattle, WA 98199"
1671280,3025 SW 106TH ST,"Seattle, WA 98146"
1670408,1323 BOREN AVE APT 305,"Seattle, WA 98101"
1669023,6500 SW ADMIRAL WAY,"Seattle, WA 98116"
1668723,7001 SAND POINT WAY NE # A305,"Seattle, WA 98115"
1652024,737 OLIVE WAY APT 3700,"Seattle, WA 98101"
1671051,116 ALOHA ST # 116,"Seattle, WA 98109"
1670807,1420 TERRY AVE UNIT 905,"Seattle, WA 98101"
1675193,1420 TERRY AVE UNIT 2202,"Seattle, WA 98101"
1670668,3037 30TH AVE W # A,"Seattle, WA 98199"
1669984,7631 46TH AVE S,"Seattle, WA 98118"
1669252,2812 17TH AVE S,"Seattle, WA 98144"
1668401,1530 15TH AVE S,"Seattle, WA 98144"
1668438,6235 31ST AVE NE,"Seattle, WA 98115"
1669352,2716 ELLIOTT AVE APT 803,"Seattle, WA 98121"
1670003,2504 CRESTMONT PL W,"Seattle, WA 98199"
1670725,355 N 75TH ST,"Seattle, WA 98103"
1671384,4838 S CHICAGO ST UNIT F,"Seattle, WA 98118"
1663117,5132 S DAWSON ST,"Seattle, WA 98118"
1671280,3025 SW 106TH ST,"Seattle, WA 98146"
1670608,3025 SW 106TH ST,"Seattle, WA 98146"
1669759,7728 FAUNTLEROY WAY SW,"Seattle, WA 98136"
1647122,4207 THACKERAY PL NE,"Seattle, WA 98105"
1670219,305 17TH AVE E,"Seattle, WA 98112"
1669599,9038 MARY AVE NW,"Seattle, WA 98117"
1670595,4838 S CHICAGO ST UNIT F,"Seattle, WA 98118"
1671051,116 ALOHA ST # 116,"Seattle, WA 98109"
1660777,588 BELL ST UNIT 404,"Seattle, WA 98121"
1669674,4209 BEACH DR SW,"Seattle, WA 98116"
