listing_id,Tax_Annual_Amount,Tax_Year,Association_Fee
1670330,"$2,371.00",2019,397
1670807,"$5,447.00",2020,687
1670668,"$7,003.00",2020,
1669062,"$8,430.00",2020,
1670420,"$11,078.00",2020,
1670448,"$8,835.00",2020,
1669083,"$14,893.00",2020,
1670725,"$9,079.00",2020,
1670866,"$5,498.00",2020,228
1670339,"$12,921.00",2020,1204
1670866,"$5,498.00",2020,228
1671280,"$6,398.00",2020,
1670408,"$2,667.00",2020,247
1669023,"$8,251.00",2020,
1668723,"$2,980.00",2020,565
1652024,"$15,829.00",2020,1045
1671051,"$9,631.00",2020,1094
1670807,"$5,447.00",2020,687
1675193,"$8,834.00",2020,1197
1670668,"$7,003.00",2020,
1669984,"$4,455.00",2020,
1669252,"$4,954.00",2020,
1668401,"$5,932.00",2020,
1668438,"$8,751.00",2020,
1669352,"$3,576.00",2020,382
1670003,"$10,288.00",2020,
1670725,"$9,079.00",2020,
1671384,"$4,040.00",2020,
1663117,"$5,375.00",2020,
1671280,"$6,398.00",2020,
1670608,"$6,398.00",2020,
1669759,"$6,325.00",2020,
1647122,"$10,048.00",2020,
1670219,,2020,
1669599,"$5,157.00",2020,
1670595,"$4,040.00",2020,
1671051,"$9,631.00",2020,1094
1660777,"$7,723.00",2020,809
1669674,"$13,436.00",2020,
1663117,"$5,375.00",2020,
1653981,"$10,141.00",2020,
1659998,"$3,615.00",2019,
1671493,"$5,332.00",2020,
1670552,"$11,531.00",2020,
1670934,"$4,409.00",2020,
1667539,"$24,206.00",2020,900
1669869,"$2,400.00",2020,
1665232,"$7,012.00",2020,
1667025,"$10,681.00",2020,
1667889,"$6,735.00",2020,
1665188,"$4,975.00",2020,525
1665667,"$13,644.00",2020,
1667745,"$6,516.00",2020,406
1666990,"$21,765.00",2020,
1665045,"$15,425.00",2020,
1669986,"$7,673.00",2020,
1667739,"$3,056.00",2020,326
1670931,"$3,630.00",2020,
1670538,"$6,038.00",2020,
1671330,"$7,288.00",2020,
1667022,"$7,236.00",2020,1172
1659750,$911.00,2020,320
1660777,"$7,723.00",2020,809
1669661,"$6,741.00",2020,
1670042,"$7,000.00",2020,769
1671480,"$2,997.00",2020,435
1669367,"$6,315.00",2020,
1668998,"$6,851.00",2020,
1661070,"$9,334.00",2020,
1670942,"$3,913.00",2020,
1670553,"$4,981.00",2020,
1669867,"$10,000.00",2020,1317
1667468,"$8,165.00",2020,25
1666467,"$4,160.00",2020,
1667149,"$6,518.00",2020,538
1667160,"$5,166.00",2020,
1667225,"$2,657.00",,
1669860,"$3,685.00",2020,421
1670563,"$7,828.00",2020,120
1670961,"$15,115.00",2020,
1660195,"$10,022.00",2020,826
1668735,"$4,164.00",2020,
1669640,"$3,771.00",2019,
1655048,"$3,842.00",2020,
1670105,"$3,957.00",2019,532
1665864,"$7,344.00",2020,
1669191,"$5,346.00",2020,
1669768,"$7,282.00",2020,
1669205,"$5,920.00",2020,485
1669557,,2020,
1670926,"$6,684.00",2020,983
1670720,"$9,208.00",2020,
1669498,"$3,038.00",2020,315
1667978,"$8,928.00",2020,
1667646,"$8,073.00",2020,
1667349,"$13,681.00",2020,
1667334,"$3,003.00",2020,423
1667619,,2020,
1668004,"$7,150.00",2020,
1669653,"$11,027.00",2020,
1670641,"$6,278.00",2020,
1670895,"$5,175.00",2020,
1669618,,2018,309
1669404,"$21,083.00",2020,
1669727,"$7,553.00",2020,1350
1668624,"$5,506.00",2020,452
1665005,"$5,761.00",2020,
1669291,"$2,442.00",2020,462
1666343,"$6,698.00",2020,
1669507,"$5,526.00",2020,407
1669185,"$6,661.00",2020,
1670615,"$3,526.00",2020,210
1670830,"$8,000.00",2020,
1666518,"$22,367.00",2020,
1668809,"$5,218.00",2020,
1669853,"$5,314.00",2020,
1667187,"$7,879.00",2020,
1667569,"$6,214.00",2020,765
1666819,"$7,829.00",2020,
1666919,"$2,625.00",2020,307
1667573,"$5,521.00",2020,
1667208,"$5,383.00",2020,
1669843,"$14,603.00",2020,
1668664,"$6,015.00",2020,
1667195,"$6,934.00",2020,
1670888,"$4,239.00",2020,
1670617,"$6,251.00",2020,
1669022,"$9,524.00",2020,770
1669499,"$4,538.00",2020,
1666484,"$11,516.00",2020,
1669356,"$3,945.00",2019,
1669662,"$2,635.00",2019,367
1669857,"$5,590.00",2020,
1669475,"$3,653.00",2019,
1670796,"$6,621.00",2020,
1671047,"$6,015.00",2020,
1662931,"$5,584.00",2020,743
1667434,"$4,499.00",2020,
1662387,"$9,094.00",2020,
1666408,"$5,470.00",2020,
1658634,"$18,212.00",2020,
1666467,"$4,160.00",2020,
1662438,"$6,864.00",2020,
1667507,"$5,143.00",2020,
1663615,"$6,000.00",2020,
1671057,"$7,202.00",2020,
1670824,"$5,574.00",2020,
1669457,"$5,554.00",2020,
1675987,,2020,
1669711,"$5,744.00",2019,650
1667070,"$19,303.00",2020,215
1669844,"$11,922.00",2020,
1669532,"$2,728.00",2020,247
1665400,"$8,697.00",2020,
1671107,"$4,575.00",2020,
1668871,"$12,263.00",2020,1234
1666693,"$5,641.00",2020,
1662969,"$14,760.00",2020,
1661261,"$7,488.00",2020,
1661997,"$7,086.00",2020,
1662710,"$4,442.00",2020,
1666495,"$4,692.00",2020,
1669385,"$6,952.00",2020,
1671065,"$7,510.00",2020,
1664522,"$4,775.00",2020,322
1669243,"$5,784.00",2020,
1669834,"$6,528.00",2020,
1666744,"$14,271.00",2020,
1669893,"$8,605.00",2020,
1615157,"$3,134.00",2020,452
1669688,"$19,902.00",2020,
1660707,"$6,814.00",2020,
1671183,"$15,060.00",2020,
1670138,"$5,447.00",2020,687
1666068,"$7,153.00",2020,568
1664077,"$8,295.00",2020,
1665039,"$3,852.00",2020,
1665018,"$6,861.00",2020,
1664751,"$25,222.00",2020,
1666305,"$6,020.00",2020,475
1670128,"$5,235.00",2020,382
1671210,"$10,173.00",2020,
1661592,"$2,000.00",2019,
1669814,"$3,726.00",2020,
1670286,"$8,267.00",2020,
1670010,"$8,913.00",2020,
1666847,"$6,633.00",2020,
1670033,"$6,675.00",2020,
1661205,"$3,513.00",2020,388
1671148,"$3,919.00",2019,445
1653401,"$9,245.00",2020,
1670981,"$1,811.00",2020,
1664076,"$8,295.00",2020,
1665920,"$6,883.00",2020,
1664400,"$13,930.00",2020,
1664560,"$8,664.00",2020,
1665537,"$10,469.00",2020,
1663331,"$9,084.00",2020,
1670964,"$6,569.00",2020,
1671518,,2020,10
1671124,"$5,480.00",2020,
1661656,"$10,828.00",2020,
1670021,"$10,589.00",2020,1258
1656146,"$7,499.00",2020,667
1655048,"$3,842.00",2020,
1670454,"$5,617.00",2020,568
1670202,"$19,565.00",2020,
1667837,"$8,983.00",2020,
1667811,"$4,227.00",2019,
1670170,"$3,886.00",2020,498
1670423,"$5,093.00",2020,611
1671480,"$2,997.00",2020,435
1670233,"$2,300.00",2020,256
1670469,"$7,436.00",2020,577
1669763,"$3,615.00",2020,
1667631,"$4,381.00",2020,
1667642,"$5,173.00",2020,522
1669923,"$6,168.00",2020,
1670576,"$5,918.00",2020,847
1670298,"$15,739.00",2020,
1670329,"$7,000.00",2020,
1670377,"$5,941.00",2020,
1667060,"$27,553.00",2020,135
1670514,"$2,640.00",2019,275
1670473,"$6,956.00",2020,
1666481,$746.00,2020,
1670354,"$5,771.00",2020,526
1670323,"$9,631.00",2020,1094
1675193,"$8,834.00",2020,1197
1670303,"$5,421.00",2020,
1675193,"$8,834.00",2020,1197
1667144,"$5,821.00",2020,
1667466,"$8,296.00",2020,1560
1671384,"$4,040.00",2020,
1670305,"$3,939.00",2020,232
1670353,"$8,539.00",2020,
