listing_id,listed_by
1670330,"
            Keller Williams Eastside
        "
1670807,"
            Keller Williams Rlty Bellevue
        "
1670668,"
            eLink Realty
        "
1669062,"
            Coldwell Banker Bain
        "
1670420,"
            Windermere Real Estate Co.
        "
1670448,"
            Alchemy Real Estate
        "
1669083,"
            Windermere Real Estate Co.
        "
1670725,"
            Coldwell Banker Bain
        "
1670866,"
            Market Realty
        "
1670339,"
            Windermere RE/Capitol Hill,Inc
        "
1670866,"
            Market Realty
        "
1671280,"
            Berkshire Hathaway HS NW
        "
1670408,"
            Pointe3 Real Estate
        "
1669023,"
            Land Advisors Organization WA
        "
1668723,"
            Windermere Real Estate/FN
        "
1652024,"
            COMPASS
        "
1671051,"
            Redfin Corp.
        "
1670807,"
            Keller Williams Rlty Bellevue
        "
1675193,"
            Windermere Real Estate Midtown
        "
1670668,"
            eLink Realty
        "
1669984,"
            Lake & Company
        "
1669252,"
            Unlock Seattle Real Estate LLC
        "
1668401,"
            Windermere Real Estate Co.
        "
1668438,"
            Coldwell Banker Bain
        "
1669352,"
            Redfin Corp.
        "
1670003,"
            Windermere Real Estate Co.
        "
1670725,"
            Coldwell Banker Bain
        "
1671384,"
            COMPASS
        "
1663117,"
            Windermere RE/Capitol Hill,Inc
        "
1671280,"
            Berkshire Hathaway HS NW
        "
1670608,"
            Berkshire Hathaway HS NW
        "
1669759,"
            Windermere R.E. Wall St. Inc.
        "
1647122,"
            RE/MAX Northwest Realtors
        "
1670219,"
            Alchemy Real Estate
        "
1669599,"
            Windermere RE Greenwood
        "
1670595,"
            COMPASS
        "
1671051,"
            Redfin Corp.
        "
1660777,"
            Windermere R.E. Northeast, Inc
        "
1669674,"
            Berkshire Hathaway HS NW
        "
1663117,"
            Windermere RE/Capitol Hill,Inc
        "
1653981,"
            Windermere Real Estate Midtown
        "
1659998,"
            Berkshire Hathaway HS NW
        "
1671493,"
            RE/MAX Northwest Realtors
        "
1670552,"
            Windermere Real Estate Co.
        "
1670934,"
            Windermere Real Estate Co.
        "
1667539,"
            COMPASS
        "
1669869,"
            Executive Real Estate, Inc.
        "
1665232,"
    Real Living Northwest Realtors
  "
1667025,"
    Hardy Realty, LLC
  "
1667889,"
    Engel & Voelkers Mercer Island
  "
1665188,"
            Redfin Corp.
        "
1665667,"
            Windermere R.E. Shoreline
        "
1667745,"
    Lake & Company
  "
1666990,"
    Windermere RE Greenwood
  "
1665045,"
    Realogics Sotheby's Int'l Rlty
  "
1669986,"
            Redfin Corp.
        "
1667739,"
            Blue Pacific Real Estate
        "
1670931,"
            John L. Scott, Inc.
        "
1670538,"
            John L. Scott, Inc
        "
1671330,"
            Buck Real Estate
        "
1667022,"
            Windermere Real Estate Midtown
        "
1659750,"
            John L. Scott, Inc.
        "
1660777,"
            Windermere R.E. Northeast, Inc
        "
1669661,"
            Windermere Real Estate Co.
        "
1670042,"
            Coldwell Banker Bain
        "
1671480,"
            Pointe3 Real Estate
        "
1669367,"
            Redfin Corp.
        "
1668998,"
            COMPASS
        "
1661070,"
            Windermere Real Estate Midtown
        "
1670942,"
            Skyline Properties, Inc.
        "
1670553,"
            Windermere R E Mount Baker
        "
1669867,"
            Coldwell Banker Bain
        "
1667468,"
            Windermere Real Estate Midtown
        "
1666467,"
    Redfin Corp.
  "
1667149,"
    Windermere Real Estate Midtown
  "
1667160,"
    METROPOLIST
  "
1667225,"
            John L. Scott Westwood
        "
1669860,"
            Coldwell Banker Bain
        "
1670563,"
            Windermere RE/Capitol Hill,Inc
        "
1670961,"
            Windermere RE Greenwood
        "
1660195,"
            Windermere Real Estate Co.
        "
1668735,"
            RSVP Real Estate
        "
1669640,"
            Windermere RE/Capitol Hill,Inc
        "
1655048,"
            Coldwell Banker Danforth
        "
1670105,"
            Inspire Properties LLC
        "
1665864,"
            Berkshire Hathaway HS NW
        "
1669191,"
            RE/MAX Northwest Realtors
        "
1669768,"
            North Pacific Properties
        "
1669205,"
            Windermere Real Estate Co.
        "
1669557,"
            RE/MAX Metro Realty, Inc.
        "
1670926,"
            Coldwell Banker Bain
        "
1670720,"
            Redfin Corp.
        "
1669498,"
            Best Choice Realty LLC
        "
1667978,"
            Windermere Real Estate Co.
        "
1667646,"
    ShopProp Inc.
  "
1667349,"
    Windermere Real Estate Midtown
  "
1667334,"
    Windermere Real Estate Co.
  "
1667619,"
    Windermere R.E. Northeast, Inc
  "
1668004,"
            RE/MAX Metro Realty, Inc.
        "
1669653,"
            Keller Williams Greater Sea
        "
1670641,"
            Windermere Real Estate Midtown
        "
1670895,"
            Realogics Sotheby's Int'l Rlty
        "
1669618,"
            COMPASS
        "
1669404,"
            Coldwell Banker Bain
        "
1669727,"
            Realogics Sotheby's Int'l Rlty
        "
1668624,"
            COMPASS
        "
1665005,"
            Coldwell Banker Bain
        "
1669291,"
            RE/MAX Northwest Realtors
        "
1666343,"
            COMPASS
        "
1669507,"
            Windermere Real Estate Co.
        "
1669185,"
            Windermere Real Estate Midtown
        "
1670615,"
            The Preview Group
        "
1670830,"
            John L. Scott Westwood
        "
1666518,"
            Infiniti Real Estate & Dev
        "
1668809,"
            Windermere RE Mercer Island
        "
1669853,"
            METROPOLIST
        "
1667187,"
    RE/MAX Northwest Realtors
  "
1667569,"
    Best Choice Realty LLC
  "
1666819,"
    Coldwell Banker Danforth
  "
1666919,"
    Windermere Real Estate Co.
  "
1667573,"
    Windermere Real Estate Co.
  "
1667208,"
    Oasis Properties
  "
1669843,"
            Windermere Real Estate Co.
        "
1668664,"
            Windermere Real Estate Co.
        "
1667195,"
            John L. Scott Westwood
        "
1670888,"
            John L. Scott Mill Creek
        "
1670617,"
            Keller Williams Greater Sea
        "
1669022,"
            Windermere Real Estate Midtown
        "
1669499,"
            Windermere RE/Capitol Hill,Inc
        "
1666484,"
            Horizon Real Estate
        "
1669356,"
            COMPASS
        "
1669662,"
            YourSeattleHomeTeam.com, Inc.
        "
1669857,"
            HomeSmart Real Estate Assoc
        "
1669475,"
            HomeSmart Real Estate Assoc
        "
1670796,"
            COMPASS
        "
1671047,"
            COMPASS
        "
1662931,"
            Windermere Real Estate Midtown
        "
1667434,"
    Redfin Corp.
  "
1662387,"
            Windermere Real Estate Midtown
        "
1666408,"
    Berkshire Hathaway HS NW
  "
1658634,"
            Windermere Real Estate Midtown
        "
1666467,"
    Redfin Corp.
  "
1662438,"
            Windermere RE Greenwood
        "
1667507,"
    Keller Williams Seattle Metro
  "
1663615,"
            John L. Scott Westwood
        "
1671057,"
            Windermere Real Estate Midtown
        "
1670824,"
            Wilson Realty Exchange
        "
1669457,"
            Berkshire Hathaway HS NW
        "
1675987,"
            COMPASS
        "
1669711,"
            COMPASS
        "
1667070,"
            Ewing & Clark, Inc.
        "
1669844,"
            Windermere Real Estate Midtown
        "
1669532,"
            Windermere Real Estate Co.
        "
1665400,"
            Windermere RE Magnolia
        "
1671107,"
            Windermere Real Estate Midtown
        "
1668871,"
            John L. Scott, Inc
        "
1666693,"
    Keller Williams Realty PS
  "
1662969,"
    Heritage Residential, LLC
  "
1661261,"
            Windermere Real Estate Co.
        "
1661997,"
            Windermere Real Estate Midtown
        "
1662710,"
    COMPASS
  "
1666495,"
    Redfin Corp.
  "
1669385,"
            Redfin Corp.
        "
1671065,"
            RE/MAX Metro Realty, Inc.
        "
1664522,"
            Windermere RE/Capitol Hill,Inc
        "
1669243,"
            RSVP Real Estate
        "
1669834,"
            Lake & Company
        "
1666744,"
            Lamb Real Estate
        "
1669893,"
            Lakeshore Realty West LLC
        "
1615157,"
            Ewing & Clark, Inc.
        "
1669688,"
            COMPASS
        "
1660707,"
            John L. Scott, Inc
        "
