branding_agent_name,branding_office_name,agent_id,property_id
LIZ LAUER,"Lauer Realty Group, Inc.",1,1
Ken Brenner,STARK COMPANY REALTORS,2,2
Kelly Voigt,STARK COMPANY REALTORS,3,3
Elissa Zollin,"eXp Realty, LLC - S Central Wisconsin",4,4
Wendy Grunewald,Century 21 Affiliated,5,5
"Wanda Roche, Broker Associate",First Weber Group,6,6
HIAM GARNER,First Weber Group,7,7
LIZ LAUER,"Lauer Realty Group, Inc.",8,8
Neil Mathweg,"eXp Realty, LLC - S Central Wisconsin",9,9
Brooke Keeling - Keeling Homes,"eXp Realty, LLC - S Central Wisconsin",10,10
Matt Winzenried,"Realty Executives Cooper Spransy, Inc",11,11
Katie Jo Schmitz,The Hub Realty,12,12
Thomas Frydenlund,Metro Real Estate,13,13
Morgan Dohm,Jmp Properties,14,14
Tonya Nye,STARK COMPANY REALTORS,15,15
Jonathon Maasch,"Stark Company, Realtors",16,16
PAUL SPELLMAN,"Gannon Company, Realtors",17,17
Erin Swenson,"Realty Executives Cooper Spransy, Inc",18,18
Rick Martin,"Realty Executives Cooper Spransy, Inc",19,19
Luke Bruckner,BUNBURY & ASSOCIATES REALTORS,20,20
,First Weber Group,21,21
Luke Lestikow,First Weber Group,22,22
LIZ LAUER,"Lauer Realty Group, Inc.",23,23
Sue Romens,First Weber Group,24,24
Sue Romens,First Weber Group,25,25
Jon Vanden Brook,Keller Williams Realty,26,26
LIZ LAUER,"Lauer Realty Group, Inc.",27,27
Paul Anderson,"Madison Buyer Agency, Llc",28,28
Susan Stoehr,"eXp Realty, LLC - S Central Wisconsin",29,29
Josh Lavik,"eXp Realty, LLC - S Central Wisconsin",30,30
Ken Brenner,STARK COMPANY REALTORS,31,31
LIZ LAUER,"Lauer Realty Group, Inc.",32,32
Andy Crooks,T R Mckenzie Inc.,33,33
Sue Romens,First Weber Group,34,34
LIZ LAUER,"Lauer Realty Group, Inc.",35,35
LIZ LAUER,"Lauer Realty Group, Inc.",36,36
Matt Kornstedt,"Stark Company, REALTORS",37,37
Laurie Homan,First Weber Group,38,38
