price_per_sqft,property_type,property_year,home_style,description,beds,bath,sqft,lotsize,property_id
$340,Single Family Home,1925,1925,"Adorable Marquette bungalow perfectly situated on a quiet street just blocks from Lake
            Monona and Jenifer St Market! Interior boasts original hardwood floors throughout, spacious living/dining
            combo providing a very open-concept feel, updated windows, and newer water heater. Huge attic space with
            lots of potential, as well as lower level could be finished to add a rec room, with plenty of space for
            storage. Basement has easy access with stairs leading to the backyard where you'll find beautiful low
            maintenance landscaping with a limestone patio. Sit out on the lemonade-sipping front porch and enjoy the
            community. Sweet property in a premiere location!
        ",2,1,852,"3,920",1
$122,Condo/Townhome/Row Home/Co-Op,1988,1988,"This is the epitome of why rent when you can own! At this price and low condo fees you're
            saving money while building equity. This clean and well maintained loft style condo has stainless steel
            appliances, brand new carpet and a great wooded park like view. Enjoy a morning coffee on your private
            balcony while listening to the birds. A five minute drive to downtown or a ten minute bike ride as you are
            adjacent to the Capital City Bike trail and Baxter Park. Don't have a car? The bus line is 2 blocks away!
            Don't forget to see the enormous walk in closet and the vaulted ceilings.
        ",1,1,736,,2
$130,Condo/Townhome/Row Home/Co-Op,1992,1992,"Showings start 9/26. Conveniently located and affordable! This 2 bedroom end unit townhouse
            is a pet friendly association and is the perfect place for you to call home. This unit features hardwood
            laminate floors on both levels, new upper level bathroom vanity and a new furnace. The back patio is a
            perfect area for a container garden.
        ",2,1.5,"1,234",,3
$121,Condo/Townhome/Row Home/Co-Op,1999,1999,"Spacious three bedroom, two bath, two car garage condo located on Madison's far east side
            with Sun Prairie schools. Cozy up to the fireplace or sit out on the balcony that looks to the trees with a
            no neighbor view. Main level laundry, nice sized kitchen with a breakfast bar. Master suite located on the
            opposite end of the condo away from the other bedrooms giving you plenty of privacy. No yard work or
            shoveling snow! Basic UHP home warranty included.
        ",3,2,"1,910",,4
$98,Single Family Home,1965,1965,"Amazing west side location & floorplan ready for your personal touches! Super spacious
            rooms w/storage galore! Curved open 2-story staircase w/ massive master BR & BA suite, three other
            bedrooms (w/dbl closets) & full bath on 2nd lvl. Main flr offers formal dining w/built-ins, swinging
            door to kitchen & chandelier, formal living w/gas fireplace, large den off dinette w/another gas
            fireplace/oven/bookshelves, kitchen allows for many options to remodel, large mud room w/main fl laundry off
            garage, small BR/office for whatever else you need AND 26x13 sun room w/multiple patio doors & sky
            lights. Unfinished basement w/sauna & open space for all your storage needs. Fenced yard, mature yard,
            update furnace/air conditioner & roof. Home is dated and in need of updating, priced accordingly.
        ",4,3,"3,567",0.29,5
$168,Single Family Home,1953,1953,"Can you say ADORABLE! This home is filled with sunshine and pride of ownership! Walk in and
            fall in love with the wood floors and new large windows! 2 bedrooms 1 bath and a nice sized 1 car garage!
            Kitchen with plenty of counter space, gas stove and pantry! Built in china cabinet with all arched doorways!
            Lower Level has a wonderful work shop but can be converted back to a family room if you so desire. Great
            location for walkability to shops, restaurants, parks and bike trails nearby! Ultimate UHP home warranty
            included!
        ",2,1,"1,133","8,276",6
$182,Condo/Townhome/Row Home/Co-Op,1928,1928,"Talk about location! This charming two-story home in the Vilas neighborhood is within walk
            or biking distance to Traders Joe's, UW, hospitals, Zoo, Lake Wingra. Main level has a 3-season porch,
            living and dining area, bedroom, kitchen & walk-in pantry. An enchanting fenced-in private backyard
            that's not part of the condo's common areas. Upstairs has 3 bedrooms with large walk-in closets (18x6 &
            11x3). Newly renovated private balcony overlooking the backyard. The basement is partially finished with a
            1/2 bathroom and shower stall, laundry, plenty of storage, and never had mold problems. The entire house was
            recently re-wired with 200 amp service, new AC unit, 2019. Beautifully maintained wooden floors throughout.
            A stand-alone house in a 5-unit Condo Assoc.
        ",4,1.5,"1,513",,7
$176,Single Family Home,1956,1956,"Gorgeous, totally updated ranch home in Hill Farms & Van Hise school district! Enjoy
            spacious, open concept living w/expansive updated windows & hardwood flooring. Large open kitchen
            w/sparkling quartz countertops, Schrock Cabinetry, crown molding, island with stovetop, stainless steel
            appliances and vented hood. Off the kitchen, step right outside the French doors to a large deck with
            wrap-around bench and private fenced in backyard. Extensive owner's suite boasts private bathroom w/
            gorgeous tiled shower and seat, and attached laundry. Huge basement with rec room, 4th bedroom, full bath,
            and space for a home gym. 3rd or 4th bedroom could easily be a great home office. New water softener, and
            newer furnace, water heater, and roof! See VR tour and list for all updates/features!
        ",4,3,"2,446",0.27,8
$153,Single Family Home,1989,1989,"Don't miss this sprawling tri-level on Madison's east side! Floorplan opens to a large
            eat-in kitchen with oak hardwood floors and high ceilings open to the upper level. Spacious cedar-paneled
            sunroom off living room even has a cathedral ceiling and charming gas-burning stove. Lower level includes a
            family room with surround sound & cozy wood-burning fireplace that's surrounded by custom oak cabinetry
            and additional bedroom & full bath. Outside, you'll enjoy the views of the professionally landscaped
            fenced yard from your 2-tiered deck. There's even a cute color-matched playhouse for the kids! New carpet as
            well. This is a must see!
        ",3,2,"1,894","9,148",9
$139,Single Family Home,1980,1980,"This move-in ready 3BR ranch with new flooring, fresh paint, nice landscaping, and a great
            location. Large open kitchen with door to deck, living room with Fireplace, 3 bedrooms & 1 bath on the
            main floor. Tons of add'l living space in LL, incl. huge rec. room, workout room or office, bathroom, and
            laundry. LL also has a walkout patio & beautifully landscaped, fenced backyard. 2+ car att garage
            w/overhead storage.
        ",3,2,"1,804","9,583",10
