code,title,credits,comments,section_num,days,start_time,end_time,building,room,instructor
ACCO 305,INTRODUCTION TO ACCOUNTING,3.00,"* DISTRIBUTION COURSE: GROUP II
Survey of basic accounting theory and practice with emphasis on
the primary problems of asset valuation and income determination.
In addition to preregistration, students must sign a reservation list in
250 Herring Hall.
Enrollment for each section is 60. First year students (freshmen) will
not be eligible for enrollment.",,,,,,,
ANTH 201,INTRO SOCIAL/CULTURAL ANTH,3.00,"* RESTRICTED DISTRIBUTION COURSE: GROUP II
An introduction to the history, methods, and concepts of the discipline
devoted to the systematic description and understanding of cultural
diversity in human societies.
A FOUNDATION COURSE.",001,TTH,09:25AM,10:40AM,SS,106,"Sutherland, Anne"
ARCH 648,LATE 20TH CENT ARCH AND URBANISM,3.00,"See Arch 448.
Permission of instructor required.
Enrollment is limited to 20.",,,,,,,
MUSI 397,CONCENTRATION DOUBLE BASS,2.00,,,,,,,,
MUSI 398,CONCENTR DOUBLE BASS INTENSIVE,3.00,"001 TBA TBA Ellison, Paul *CURRENT ENR: 0",001,,,,,,"Pitts, Timothy"
MUSI 401,COMPOSITION FOR MAJORS,3.00,"001 TBA TBA Gottschalk, Arthur *CURRENT ENR: 0",,,,,,,
MUSI 406,CLASSICAL CONCERTO PERFORMANCE CLASS,1.00,"Study of concerto repertoire for a chosen instrument with emphasis on
stylisically informed performace.
Prereq-Approval of major teacher and instructor.
Enrollment limited to 15.",,,,,,,
MUSI 407,CHAMBER MUSIC IN THE CLASSIC PERIOD,3.00,"Performance styles and rhetoric are examined and directed toward
performance approaches to the music of Haydn, Mozart, and early
Beethoven. The course involves practical application of dances,
textures, and popular topics of the time as well as an understanding of
harmonic and formal implications.
Prereq- String quartet majors only. Auditors welcomed (music majors)",,,,,,,
MUSI 408,UNACCOMP BACH PERFORM CLASS,1.00,"Performance with commentary about stylistic and historic aspects of the
works for one unaccompanied instrument of J. S. Bach. Students will
perform versions in original form or transcribed for their instrument
when applicable.
Prereq- permission of instructor.",,,,,,,
MUSI 412,THEORETICAL STUDIES VI,3.00,"Advanced analytical techniques. Practical applications of principal
analytical systems.",001,MWF,10:00AM,10:50AM,APB,1402,"Applebaum, E."
MUSI 415,BAND ARRANGING,1.00,"Creative band arranging for marching, jazz, and concert bands. Study of
contemporary harmony, musical style, and scoring supported by practical
performance and analysis of student projects.",001,,,,,,"Cesario, Robert"
MUSI 417,MUSIC FOR FILM,3.00,Permission of instructor.,001,MWF,09:00AM,09:50AM,APB,1133,"Gottschalk, Arthur"
MUSI 422,RENAISSANCE MUSIC,3.00,,001,MWF,10:00AM,10:50AM,APB,1131,"Meconi, Honey"
ARCH 650,"URBAN IDENTITY, UTOPIA AND REFUSAL",3.00,For class description see ARCH 350.,,,,,,,
MUSI 425,ORGAN LITERATURE II,3.00,,,,,,,,
MUSI 428,ORGAN LITERATURE IV,3.00,,,,,,,,
MUSI 432,SCORE READING,3.00,"Permission of instructor.
Enrollment limited to 6.",001,MWF,11:00AM,11:50AM,APB,1402,"Jalbert, Pierre"
MUSI 435,CONTEMPORARY MUSIC ENSEMBLE,1.00,Permission of instructor is required.,,,,,,,
MUSI 436,COLLEGIUM,1.00,Prereq- permission of instructor.,,,,,,,
MUSI 440,CHORAL CONDUCTING II,3.00,"Advanced techniques of choral conducting with emphasis on expressive
gestures and phrasal conducting, interpretation and chironomy of chant,
recitative conducting, repertoire selection, score preparation, and
conducting of choral-instrumental works.",,,,,,,
MUSI 441,SENIOR RECITAL,0.00,,,,,,,,
MUSI 442,RECITAL ACCOMPANYING,1.00,"Accompanying a single student recital, including the preview, dress
rehearsal, performance, three lessons with the soloist's teacher, and
practice times mutually agreeable to soloist and accompanist.
Prereq- permission of instructor.",,,,,,,
MUSI 443,STUDIO ACCOMPANYING,1.00,"Accompanying private lessons in studios as assigned for a total of four
hours per week.
Prereq- permission of instructor.",,,,,,,
MUSI 446,KEYBOARD SKILLS II,2.00,,,,,,,,
ARCH 652,BUILDING WORKSHOP,3.00,See Arch 452.,,,,,,,
MUSI 449,UNDERGRAD INDEPENDENT STUDY,1.00,001 TBA TBA TBA *CURRENT ENR: 0,,,,,,,
MUSI 451,FLUTE FOR MAJORS,3.00,,,,,,,,
MUSI 453,OBOE FOR MAJORS,3.00,,,,,,,,
MUSI 455,CLARINET FOR MAJORS,3.00,"001 TBA TBA Peck, David *CURRENT ENR: 0",001,,,,,,"Webster, Michael"
MUSI 457,BASSOON FOR MAJORS,3.00,,,,,,,,
MUSI 461,HORN FOR MAJORS,3.00,,,,,,,,
MUSI 463,TRUMPET FOR MAJORS,3.00,,,,,,,,
MUSI 465,TROMBONE FOR MAJORS,3.00,,,,,,,,
MUSI 467,TUBA FOR MAJORS,3.00,,,,,,,,
MUSI 471,PERCUSSION FOR MAJORS,3.00,,,,,,,,
ARCH 654,20TH CENTURY NORTH AMER ARCH,3.00,See Arch 654.,,,,,,,
MUSI 472,GENERAL PERCUSSION STUDIES,1.00,"A class that will address other issues of percussion playing to prepare
for a job that is not related to regular classical studies, i.e.
drumset, jazz kits, rudimental drumming, instrument building, playing
shows, sight-reading, etc. The emphasis of the class will vary each
semester. Enrollment is limited to 10.",,,,,,,
MUSI 473,VOICE FOR MAJORS,3.00,"001 TBA TBA Murray, William *CURRENT ENR: 0",,,,,,,
MUSI 474,OPERA THEATER WORKSHOP,1.00,"Operatic techniques for the singer/actor: the cultivation, through
study and performance, of free, expressive and significant movement on
stage, and the development of musical, dramatic and muscular sensitivity
as the basis of good opera theater. Participation, according to
ability, in scenes recitals and major productions.",001,TTH,02:30PM,05:30PM,,,"Dickinson, Debra"
MUSI 481,PIANO FOR MAJORS,3.00,"001 TBA TBA Perry, John *CURRENT ENR: 0",,,,,,,
MUSI 483,ORGAN FOR MAJORS,3.00,,,,,,,,
MUSI 487,HARP FOR MAJORS,3.00,,,,,,,,
MUSI 491,VIOLIN FOR MAJORS,3.00,"001 TBA TBA Luca, Sergiu *CURRENT ENR: 0",,,,,,,
MUSI 493,VIOLA FOR MAJORS,3.00,"001 TBA TBA Brooks, Wayne *CURRENT ENR: 0",,,,,,,
MUSI 495,VIOLONCELLO FOR MAJORS,3.00,"001 TBA TBA Fischer, Norman *CURRENT ENR: 0",,,,,,,
MUSI 497,DOUBLE BASS FOR MAJORS,3.00,"001 TBA TBA Ellison, Paul *CURRENT ENR: 0",001,,,,,,"Pitts, Timothy"
ARCH 656,NEW MODELS OF SPACE AND FORM II,3.00,See Arch 356.,001,,,,,,"Kwinter, Sanford"
MUSI 504,INTRO TO COMPUTERS AND MUSIC,3.00,Prereq- MUSI 503.,001,MWF,01:00PM,01:50PM,APB,1709,"Gottschalk, Arthur"
MUSI 516,ADVANCED ORCHESTRATION II,3.00,"Permission of instructor.
Prereq- Musi 515.",001,MWF,01:00PM,01:50PM,APB,1402,"Soley, David"
MUSI 522,GRAD REVIEW OF MUSIC HIST II,3.00,"Survey of Classical, Romantic and 20th century music for graduate
students.",,,,,,,
MUSI 523,BIBLIOGRAPHY AND RESEARCH METH,3.00,"Techniques in research methodology, studies in bibliography.",001,TTH,10:50AM,12:05PM,APB,1705,"Schnoebelen, Anne"
MUSI 525,PERF PRACTICES SEMINAR,3.00,Enrollment limited to 12.,001,TTH,01:00PM,02:20PM,APB,1705,"Schnoebelen, Anne"
MUSI 528,MUSICAL MEANING IN THE CLASSICAL STYLE,3.00,Prereq- Musi 411 and 421.,,,,,,,
MUSI 529,VERDI AND WAGNER,3.00,"Prereq- Musi 411 and 421.
Enrollment to 15.",001,MWF,10:00AM,10:50AM,APB,1705,"Citron, Marcia"
MUSI 531,ORCH REPERTOIRE: VIOLIN,1.00,"001 T 01:00PM-02:20PM Fliegel, Raphael *CURRENT ENR: 0",,,,,,,
MUSI 533,GRADUATE CONDUCTING SEMINAR,1.00,,001,T,02:30PM,04:30PM,,,"Rachleff, Larry"
MUSI 546,SERVICE SKILLS II,2.00,,001,,,,,,"Kloeckner, Phillip"
