note,course,title,credits,level,restrictions,section_note,section,days,start,end,bldg,rm,instructor,comments,text
#,216-088,NEW STUDENT ORIENTATION,0,U,; ; REQUIRED OF ALL NEW STUDENTS. PREREQ: NONE,,,,,,,,,,
#,216-293,BUSINESS ETHICS,3,U,; ; PREREQ: NONE,,Se 001,R,2:30pm,5:10pm,BUS,S230,Silberg,,
#,216-782,OPERATIONS MODELING AND SIMULATION,2,G,; ; PREREQ: GRAD ST; BUS ADM 780(P),e,Se 001,T,5:30pm,7:10pm,BUS,N110,Liu,,
,360-960,SEMINAR: ADMINISTRATION/SUPERVISION OF PROGRAMS FOR EXCEPTIONAL INDIVIDUALS,3,G,; ; PREREQ: GRAD ST; EXCEDUC 300 OR 600,e,Se 001,W,6:30pm,9:10pm,MER,G32,Luebke,,
#,367-101,INTRODUCTION TO EXPERIMENTAL FILM AND VIDEO,3,U,; ; PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-605,,,,,,,,,,
#,367-203,MEDIA WORKSHOP,3-Jan,U,; ; MAY BE RETAKEN WITH CHANGE IN CONTENT TO 9 CR MAX. PREREQ: CONS INSTR,,,,,,,,,,
#,367-220,BASIC ELEMENTS OF FILMMAKING I,3,U,; ; PREREQ: SOPH ST; FILM MAJORS: FILM 101(P) OR 102(P) OR CONS INSTR; ARTHIST 205(C) OR ENGLISH 290(C). FILM STUDIES MAJORS: ARTHIST 205(C) OR ENGLISH 290(C). ART MAJORS: ART 101(P) OR 108(P) ; ; STUDENTS MUST ATTEND 1 OF 3 SCREENINGS LISTED. FIRST TIME STUDENTS WILL BE GIVEN REGISTRATION PRIORITY; REPEAT STUDENTS WILL BE ADMITTED BASED ON PRIOR GPA IN THIS COURSE,,,,,,,,,,
#,367-221,BASIC ELEMENTS OF FILMMAKING II,6,U,"; ; PREREQ: FILM MAJORS: GRADE B OR ABOVE IN FILM 101(P) OR 102(P) & FILM 220(P); ARTHIST 205(C) OR ENGLISH 290(C) OR CONS INSTR. FILM STUDIES MAJORS: B OR ABOVE IN FILM 220(P), ARTHIST 205(C) OR ENGLISH 290(C). ART MAJORS: B OR BETTER IN FILM 220(P) ; ; MUST ATTEND 1 OF 3 SCREENINGS. ENROL IN SE 001 & LA 801. 1ST TIME STUDENTS GIVEN REGISTRATION PRIORITY; REPEATS ADMITTED BASED ON PRIOR ENROLLMENT. DURING 'ADVANCE REGISTRATION,' PLACE AN 'X' INALL FRIDAY 'RESERVE TIME' BLOCKS ON REGIS FORM",,,,,,,,,,
#,367-222,BASIC ELEMENTS OF VIDEO,3,U,; (202) PREREQ: FILM MAJORS: GRADE B OR ABOVE IN FILM 101(P) OR 102(P) & FILM 220(P); ARTHIST 205(C) & ENGLISH 290(C) OR CONS INSTR. ART MAJORS: ART 101(P) OR 108(P). FILM STUDIES MAJORS: B OR ABOVE IN FILM 220(P) ; ; STUDENTS MUS ATTEND 1 OF 3 SCREENINGS LISTED. FIRST TIME STUDENTS WILL BE GIVEN REGISTRATION PRIORITY; REPEAT STUDENTS WILL BE ADMITTED BASED ON PRIOR GPA IN THIS COURSE,,,,,,,,,,
#,367-380,FILM/VIDEO MODULE:,3,U,"; ; MAY BE RETAKEN WITH CHANGE IN TOPIC TO MAX OF 9 CR. PREREQ: ADMIS TO UPPER LEVEL COURSE PER PORTFOLIO REVIEW OR CONS INSTR. IN CASE OF OVER-ENROLLMENT, ADMISSION BASED ON GRADE POINT AVERAGE IN MAJOR ; ; ENROL IN DESIRED SECTION(S) & LAB(S) WITH THE SAME LAST DIGIT. IGNORE SASI TIME CONFLICT MESSAGES FOR LABS. ENROLLMENT DURING ADVANCE REGISTRATION REQUIRES THAT YOU PLACE AN 'X' IN ALL FRI 'RESERVE TIME' BLOCKS (ABOVE PREF'D CRSE REQ'S) ON REG FORM",,,,,,,,,,
