code,title,schedule_line,section_code,credits,days,start_time,end_time,building,room,instructor,restrictions
ARCH 150,APPREC OF ARCH I,1266,A,2,TTh,930,1020,KNE,120,"MERLINO,K",
ARCH 352,HIST MDRN ARCH,1279,A,3,MWF,930,1020,KNE,110,"OCHSNER,J",NO FRESHMEN
AFRAM 403,INTERMED SWAHILI,1160,A,5,MTWThF,1130,1220,EEB,216,"MAULANA,S",
HSTEU 303,CNTP EUR H SNC 1815,4097,A,5,MTWThF,830,920,SMI,211,"CURP,T",
HSTEU 305,EUROPE WITCH TRIALS,,,,,,,,,,
HSTEU 445,TWENTIETH-CENT RUSS,4102,A,5,MWF,130,250,CMU,326,"YOUNG,G","OFFERED JOINTLY WITH SISRE 448 A 
 MEETS WRITING COURSE REQUIREMENT 
 OPT'L LINK RESEARCH COURSE: 
 SEE IMT 220"
HSTEU 452,E EUROPE SINCE 1918,4103,YA,5,MW,700,920P,SMI,305,"FREEZE,K",EVE DEG STUDENTS ONLY (PD.1)
HSTEU 469,EMANCIPATN/ANTISEM,4104,A,5,MTTh,130,250,THO,134,"STEIN,S",OFFERED JOINTLY WITH SISJE 469 A
HSTEU 470,ENGLAND 1580-1630,8525,A,5,,,,,,,
HSTEU 472,ENGLAND 17TH CENTRY,4105,A,5,MTWThF,1130,1220,SMI,305,"LEVY,F",
HSTEU 475,ENGLAND 20TH CENTRY,4106,A,5,MTWThF,1030,1120,SMI,305,"BEHLMER,G",
HSTEU 505,EARLY MOD EUROPE,4107,A,3-6,Th,130,320,BLM,415,"SCHMIDT,B",EC SMI 206C
HSTEU 512,HST MOD EU CORE SEM,4108,A,3,T,130,320,SMI,203E,"JONAS,R",EC SMI 206C
AFRAM 490,RES BLK COMMUNITY,,,,,,,,,,
HSTEU 515,MOD EUR INTELL HIST,4109,A,3-6,T,330,520,SMI,203E,"TOEWS,J",OFFERED JOINTLY WITH HSTEU 590 A
HSTEU 548,FIELD COURSE SOVHST,8395,A,3-6,Th,130,320,BAG,331A,"YOUNG,G",
HSTEU 590,TOPICS IN EURO HIST,8406,A,3,T,330,520,SAV,132,"TOEWS,J",OFFERED JOINTLY WITH HSTEU 515 A
H A&S 222,HONORS SCIENCE 3,,,,,,,,,,
H A&S 253,H-WESTERN CIV III,,,,,,,,,,
H A&S 263,H-WORLD CIV III,,,,,,,,,,
H A&S 350,HONORS SEMINAR,,,,,,,,,,
H A&S 397,H-SPEC TPCS SOC SCI,7973,A,1,W,130,220,PAR,106,"BARASH,D",CREDIT/NO CREDIT ONLY
H A&S 398,H-SPEC TOPICS HUM,3913,A,3,T,1230,320,CHB,439,"NORMAN,J",CREDIT/NO CREDIT ONLY
EURO 360,CONTEMPORARY SPAIN,8311,B,5,TTh,130,320,SAV,249,RAVEDA-CUART,OFFERED JOINTLY WITH SPAN 360 B
AES 150,AMER ETHNIC HISTORY,1145,A,5,,,,,,,
EURO 425,EURO MEDIA SYSTEMS,3449,A,5,MW,930,1120,CMU,104,"GIFFARD,C","OFFERED JOINTLY WITH CMU 425 A 
 EURO MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
EURO 491,SENIOR SEMINAR II,3450,A,5,M,330,550,MEB,102,"CLOWES,J","MEETS WRITING COURSE REQUIREMENT 
 SENIORS ONLY 
 EURO MAJORS ONLY 
 EC THO 111"
EURO 498,SPECIAL TOPICS,3451,YA,5,TTh,430,620P,THO,202,"LAGOS,K","EVE DEG STUDENTS ONLY (PD.1) 
 HISTORY OF MODERN GREECE"
EURO 499,UNDERGRAD RESEARCH,3452,A,1-5,,,,,,,
SIS 202,CULTURAL INTERACTNS,,,,,,,,,,
SIS 302,INTERCULT RELATIONS,6743,A,5,MW,130,320,SAV,311,"WARREN,J",
SIS 342,SOC THEORY INTL CTX,6745,A,5,MW,130,320,GLD,322,"RAMET,S",CLASSICAL LIBERAL THOUGHT
SIS 397,JR HONORS SEMINAR,6746,A,5,T,230,520,THO,217,"MIGDAL,J","HR 
 EC THO 111; HONOR STUDENTS ONLY"
SIS 423,AMER FOREIGN POLICY,6747,A,5,MW,1130,120,BAG,106,"WOODS,R",SIS MAJORS ONLY (PD.1)
SIS 449,SOC CHANGE E ASIA,6748,A,5,,,,,,,"OFFERED JOINTLY WITH ANTH 449 A 
 NO ANTH MAJORS (PD.1)"
AES 322,"RACE, CLASS, GENDER",1146,YA,5,TTh,600,820P,SAV,315,"SUNINDYO,S","OFFERED JOINTLY WITH WOMEN 322 YA 
 EVE DEG STUDENTS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.1&2)"
SIS 456,3RD WORLD STATE SOC,6749,A,5,TTh,1130,120,GWN,201,"CALLAHAN,M","OFFERED JOINTLY WITH POL S 450 A 
 MEETS WRITING COURSE REQUIREMENT 
 NO POL S MAJORS (PD.1)"
SIS 490,SPECIAL TOPICS,,,,,,,,,,
SIS 498,READINGS IN INTL ST,,,,,,,,,,
SIS 499,UNDERGRAD RESEARCH,6755,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SIS 502,CHANGE IN INTL AFFS,6756,A,3,W,330,620,THO,202,"JONES,C",EC THO 111
SIS 512,TASK FORCE INTL AFF,6757,A,3,Th,1030,120,GLD,442,"PEMPEL,T",EC THO 111
SIS 522,ETHNICITY & NATLISM,6758,A,3,,,,,,,"OFFERED JOINTLY WITH GEOG 501 A 
 GRADS ONLY 
 REQ'D SUPPLEMENTAL LECTURE FRI 
 BORDERLANDS OF GLOBALITY: 
 TRANSNATIONAL SPACES & STRUGGLES"
SIS 542,SEM STATE & SOCIETY,6759,A,5,Th,230,420,THO,334,"MIGDAL,J","OFFERED JOINTLY WITH POL S 542 A 
 GRADS ONLY"
SIS 575,ADV POLITICAL GEOG,6760,A,5,,,,,,,"OFFERED JOINTLY WITH HUM 596 E 
 GRADS ONLY 
 COSMOPOLITICS IN QUESTION: THE 
 BORDERS OF CULTURE AND THE CULTURE 
 OF BORDERS 
 REQUIRED SUPPLEMENTAL LECTURE FRI"
SIS 590,SPECIAL TOPICS,,,,,,,,,,
AES 494,COMMUNITY INTERN,1147,A,3-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 JUNIORS,SENIORS ONLY 
 AES MAJORS ONLY 
 INSTRUCTOR I.D. FROM INSTR"
SIS 593,COLLOQUIUM INTL ST,6763,A,1,F,1230,120,THO,235,"MIGDAL,J","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 SIS MAJORS ONLY 
 EC THO 111"
SIS 600,INDEPNDNT STDY/RSCH,6764,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISAF 444,AFRICAN SEMINAR,6765,A,5,TTh,130,320,DEN,206,"HERMER,C",MOVING IMAGES OF AFRICA
SISAF 499,UNDERGRAD RESEARCH,6766,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISCA 341,CANADA GOVT & POLIT,6767,A,5,MW,130,320,SMI,304,"JACKSON,W","OFFERED JOINTLY WITH POL S 341 A 
 NO POL S MAJORS (PD.1)"
SISCA 490,SPECIAL TOPICS,,,,,,,,,,
SISCA 499,UNDERGRAD RESEARCH,6771,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISCA 600,INDEPENDENT STUDY,6772,A,VAR,,,,,,,
RELIG 201,RELIGIONS.WESTERN,,,,,,,,,,
RELIG 210,INTRO JUDAISM,6655,A,5,MTWThF,130,220,THO,125,"JAFFEE,M",
AES 495,SENIOR THESIS,,,,,,,,,,
RELIG 320,COMPAR STUDY DEATH,6656,YA,5,TTh,430,650P,SMI,205,"GREEN,J","OFFERED JOINTLY WITH ANTH 322 YA 
 MEETS WRITING COURSE REQUIREMENT 
 JUNIORS,SENIORS ONLY 
 EVE DEG STUDENTS ONLY (PD.1)"
RELIG 421,AGE OF AUGUSTINE,6657,A,5,TTh,130,320,SAV,132,"VANCE,E","OFFERED JOINTLY WITH C LIT 410 A 
 RELIG MAJORS ONLY (PD.1)"
RELIG 442,ART/RELIG/POL:4-8 C,8249,A,3,TTh,1000,1120,ART,317,"KARTSONIS,A",OFFERED JOINTLY WITH ART H 452 A
RELIG 498,HONORS THESIS,6658,A,5,,,,,,,HR
RELIG 499,UNDERGRAD RESEARCH,6659,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
RELIG 570,RELIG & LITERATURE,6660,A,5,MW,1230,220,SMI,109,"WEBB,E","OFFERED JOINTLY WITH C LIT 502 A 
 GRADS ONLY"
RELIG 590,SPECIAL TOPICS,6661,A,5,Th,130,320,THO,211,"WILLIAMS,M","OFFERED JOINTLY WITH HSTAM 590 A 
 GRADS ONLY 
 ORTHODOXY, HERESY & RELIGIOUS 
 COERCION IN EARLY CHURCH"
RELIG 600,INDEPNDNT STDY/RSCH,6662,A,1-10,,,,,,,INSTRUCTOR I.D. THO 111
SISEA 370,HAN CHIN SOC CLTR,6773,A,5,MWF,1030,1150,DEN,211,"WANG,D","OFFERED JOINTLY WITH ANTH 370 A 
 NO ANTH MAJORS (PD.1)"
SISEA 440,POSTWAR JAPAN,6774,A,5,TTh,130,320,GWN,201,"PYLE,K","OFFERED JOINTLY WITH HSTAS 424 A 
 MEETS WRITING COURSE REQUIREMENT"
AES 498,AES SPECIAL TOPICS,,,,,,,,,,
SISEA 442,POL ECON JAPAN,6775,A,5,MW,1130,120,SAV,343,"HATCH,W",
SISEA 454,HIST MDRN CHINA,6776,A,5,MWF,130,250,PAR,108,"BARTELS,M","OFFERED JOINTLY WITH HSTAS 454 A 
 NO FRESHMEN,SOPHMRS 
 NO HIST MAJORS (PD.1)"
SISEA 482,JAPAN BUSINESS/TECH,6778,A,5,MW,230,420,BLM,203,"ANCHORDOGUY,M","OFFERED JOINTLY WITH SISEA 582 A 
 NO GRADS"
SISEA 499,UNDERGRAD RESEARCH,6779,A,1-5,,,,,,,INSTRUCTOR I.D. THO 111
SISEA 517,TRADE LAW/PRC,7952,A,3,MWTh,230,320,CDH,*,"CLARKE,D","OFFERED JOINTLY WITH LAW E 517 A 
 GRADS ONLY"
SISEA 522,SM-INTRDSP ST CHINA,6780,A,5,Th,130,320,PAR,212,"DONG,Y","GRADS ONLY 
 SISCH MAJORS ONLY 
 PREREQ: SISEA 521"
SISEA 530,SMNR ON CHINA,6781,A,3,W,320,520,THO,234,"BARTELS,M","GRADS ONLY 
 STATE/SOCIETY RELATIONS IN CHINA"
SISEA 551,INTL RELAT NE ASIA,6782,A,5,F,130,420,SAV,132,"HELLMANN,D",EC THO 111
