house_location,price,rooms,bedrooms,baths,levels,basement,garage,suburb,school_dist,mls,house_type,firm,firm_phone,agent,agent_phone,house_description,construction,heating,cooling,fireplace,gas,water,sewer,lot_dimensions,condo_level,hoa_fee,semiannual_taxes,bath_1_dimension,bath_1_level,bath_2_dimension,bath_2_level,bedroom_2_dimension,bedroom_2_level,bedroom_3_dimension,bedroom_3_level,dining_dimension,dining_level,family_dimension,family_level,kitchen_dimension,kitchen_level,laundry_dimension,laundry_level,living_dimension,living_level,master_dimension,master_level,directions,breakfast_dimension,breakfast_level,bath_3_dimension,bath_3_level,study_dimension,study_level,bedroom_4_dimension,bedroom_4_level,bedroom_5_dimension,bedroom_5_level,bath_4_dimension,bath_4_level,recreation_room_dimension,recreation_room_level
301 BRACKEN,"$159,000 ",6,3,Feb-00,2 Story,Crawl,None,AUGUSTA,AUGUSTA,247630,Single Family,RE/MAX RESULTS,(606) 824-9800,D KEN PERRY,(606) 824-9800,"HISTORIC VICTORIAN HOME. UPDATED PLUMB/WIRING, BA/KIT, & HVAC '97,
DINING RM/FAMILY RM COMBINATION W/WBFP, MSTR ULTRA BA, OFF STREET
PARKING, STORAGE SHED, DECK, LG FRONT PORCH. GREAT SMALL TOWN LIVING.
A MUST SEE!",Wood,"Gas,Forced Air",Central Air,"Wood,Gas,Inoperable",Natural,Public,Public,95x127,,0,$0 ,FULL,1,FULL,2,17 X 15,2,17 X 15,2,8 X 15,1,8 X 15,1,28 X 15,1,8 X 8,1,28 X 17,1,17 X 14,1,"AA HWY S, L HWY 1159, R HWY 8, L MAIN, R 4TH, L
BRACKEN",,,,,,,,,,,,,,
111 E WOODWARD AV,"$85,900 ",8,3,Feb-00,1.5 Story,Part,None,BROOKSVILLE,BRACKEN COU,245712,Single Family,HUFF REALTY,(606) 781-5100,JOYCE P ANDERSON,(606) 781-5100,"TOTALLY RENOVATED! 3-4 BDRMS, 2 FULL BATHS, ACCENTED WITH BEAUTIFUL
WOODWRK FRENCH DOORS FIREPLACES. HOME HAS 2 NEW FURNACES, NEW CHERRY
CABINETS. LOTS OF ADDED FEATURES. IDEAL HOME FOR THE WORKING FAMILY.
CLOSE & CONVENIENT!",Wood,"Gas,Forced Air",None,"Wood,Inoperable",Natural,Public,Public,65 X 80,,0,"$9,999 ",FULL,1,FULL,2,,1,,2,,1,,,,1,,,,1,,2,"AA HWY TO R ON 1159 TO BROOKSVILLE R ON 19 S
TURN L AT FIREHOUSE WOODWARD L",,1,,,,,,,,,,,,
485 SADDLEBROOK LN,"$78,625 ",5,2,Feb-00,1 Story,None,None,FLORENCE,BOONE COUNT,248552,Condominium,HMS REAL ESTATE,(513) 469-2424,AL HENCHECK,(513) 469-2424,"TOWNE DEVELOPMENT GROUP,LTD.NEW CONSTRUCTION IN THE RESERVE AT
SADDLEBROOK.","Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,CONDO,1,94,$NOT ASD,FULL,1,FULL,1,14 X 12,1,,,12 X 9,1,,,9 X 8,1,6 X 5,1,21 X 14,1,15 X 12,1,"I-75;W.US 42;L.WEAVER RD;L.SADDLEBROOK;
STRAIGHT TO THE RESERVE AT SADDLEBROOK.",,,,,,,,,,,,,,
3648 PONDSIDE CT,"$116,900 ",6,3,Feb-00,1 Story,Full,2 Cars (Builtin),ELSMERE,ERLANGER,246872,Single Family,COLDWELL BANKER WEST SHELL,(606) 525-7000,FRED BURCH,(606) 525-7000,UNDER CONSTRUCTION ESTIMATE COMPLETION 11/15/99,"Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,IRREGULAR,,0,$0 ,FULL,1,FULL,1,10 X 11,1,10 X 11,1,,,,,11 X 11,1,,,12 X 15,1,12 X 11,1,"DIXIE HWY EAST ON GARVEY L GALVIN R ON CAPITAL L
PONDSIDE",,,,,,,,,,,,,,
1096 KIMS,"$107,900 ",6,3,1-Feb,Bi-Level,Part,"2 Cars (Builtin,Front)",ELSMERE,ERLANGER,250244,Single Family,COLDWELL BANKER WEST SHELL,(606) 341-9000,STEVE TUCKER,(606) 341-9000,"SLIGHTLY DIFFERENT FLOOR PLAN WITH KITCHEN IN FRONT OF HOUSE, LR TO
THE REAR. VAULTED CEILING, BREAKFAST BAR. GAS FIREPLACE, WALKOUT LOWER
LEVEL. BEAUTIFUL WOODED LOT WITH A CREEK. CUL DE SAC LOT.","Brick,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,IRREG,,0,$0 ,FULL,1,FULL,1,12 X 10,1,10 X 9,1,,,25 X 11,L,12 X 12,1,,,17 X 15,1,14 X 12,1,"GARVEY TO PLATEAU, RIGHT ON KIMS TO CUL DE SAC.",,,PART,L,,,,,,,,,,
1036 CAPITAL,"$91,500 ",5,2,Jan-00,Bi-Level,Full,1 Car (Builtin),ELSMERE,ERLANGER,247521,Single Family,PREFERRED PROPERTIES,(606) 371-4777,JOAN DIXON,(606) 371-4777,"LOWER LEVEL READY TO FINISH INTO 3RD BDRM & FAMILY ROOM - ROUGH IN FOR
BATH AND WIRING ALREADY IN.CATH CEILINGS, RANGE, REFRID, DISHWASHER,
WASHER & DRY STAY. FREEMORTGAGE PRE-APPROVAL 1-513-736-3171","Brick,Vinyl","Electric,Heat Pump",Central Air,None,None,Public,Public,50 X 168,,0,$*,FULL,1,,,12 X 12,1,,,13 X 9,1,,,13 X 9,1,,L,16 X 15,1,16 X 13,1,"STEVENSON TO KIMBERLY TO R ON DEBBIE TO R ON
MITTEN TO R ON CAPITOL",,,,,,,,,,,,,,
436 DELL,"$68,900 ",4,2,Jan-00,1 Story,Crawl,None,ELSMERE,ERLANGER,249218,Single Family,RE/MAX AFFILIATES INC,(606) 372-6000,PATRICIA VALENTINE,(606) 372-6000,"AFFORDABLE & ADORABLE*EVERYTHING NEW*PLUMB/WIRE/ROOF/SIDING/WINDOWS*2
BR NEW ADD 1999*NEW KIT/BA/CARPET/FURNCE/AC*JUST MOVE IN & ENJOY",Vinyl,"Gas,Forced Air",Central Air,None,Natural,Public,Public,IRREG,,0,$#,FULL,1,,,16 X 10,1,,,,,,,10 X 7,1,,,16 X 12,1,20 X 12,1,DIXIE*GARVEY*DELL*NOTHING TO DO BUT MOVE IN,,,,,,,,,,,,,,
104 CARLISLE,"$59,900 ",6,3,Feb-00,1.5 Story,Part,None,ELSMERE,ERLANGER,242569,Single Family,HUFF REALTY,(606) 341-7400,DAVE WHALEN,(606) 341-7400,"NEWER MECHANICS PLUMBING & ELECTRIC * NEW PAINT INSIDE & OUT * FENCED
YARD STORAGE SHED * 2 BATHS * FRONT AND BACK PORCH * 1/2 BLOCK TO BUS",Alum,"Gas,Forced Air",Central Air,None,None,Public,Public,37X106,,0,$N/A,,,,,13 X 13,1,15 X 11,2,,,,,13 X 9,1,11 X 10,1,16 X 12,1,14 X 13,1,DIXIE TO LEFT ON CARLISLE AT CVS DRUG STORE,,,,,11 X 8,2,,,,,,,,
1231 CENTRAL ROW,"$53,900 ",6,3,Jan-00,1 Story,Full,None,ELSMERE,ERLANGER,250329,Single Family,HUFF REALTY,(606) 341-7400,DAVE WHALEN,(606) 341-7400,"* MAIN ST. CENTRAL ROW TO SIGN * REHABBER NEEDED FOR THIS 3 BEDROOM
HOME * * CONVENIENT TO SCHOOL & VACANT * EASY TO SHOW *",Alum,"Gas,Forced Air",Central Air,None,Natural,Public,Public,40X100,,0,$N/A,,,,,12 X 12,1,12 X 9,1,13 X 13,1,,,18 X 8,1,,,18 X 13,1,18 X 9,1,MAIN STREET TO CENTRAL ROW TO SIGN,,,,,,,,,,,,,,
108 STEVENSON,"$199,900 ",10,5,Feb-00,1.5 Story,Part,None,ERLANGER,ERL/ELSMERE,250026,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,ROD FUSSINGER,(606) 341-0500,"BUILT IN 1826.9FT CEILLINGS ON 1ST FLOOR.10 ROOMS.NEARLY 4000 SQ FT.4
FIRE- PLACES.1ST FL LAUNDRY.LARGE CENTRAL HALL.ROOF 2 YRS OLD.",Brick,,Central Air,"Wood,Brick,Marble",Natural,Public,Public,150 x 150,,0,$0 ,FULL,1,FULL,2,,,13 X 13,2,16 X 15,1,14 X 13,2,15 X 13,1,11 X 7,,,,16 X 16,1,DIXIE HWY TO STEVENSON RD 4TH HOUSE ON LEFT,,,,,16 X 16,1,13 X 13,2,13 X 13,2,,,,
