listing_id,price,beds,baths,area,cost_per_squre_feet
173094201,"$1,010,000",2,2,"1,296",$779 / Sq. Ft.
31224403,"$5,290,000",5,8,"12,550",$422 / Sq. Ft.
160720410,"$1,395,000",3,3,"1,890",$738 / Sq. Ft.
27863873,"$248,000",4,2,"1,289",$192 / Sq. Ft.
30924885,"$159,900",3,1.5,"1,401",$114 / Sq. Ft.
28938758,"$950,000",2,1,775,$1226 / Sq. Ft.
7103544,"$1,799,000",3,2,"1,732",$1039 / Sq. Ft.
89947362,"$524,900",1,2,"1,344",$391 / Sq. Ft.
25723212,"$1,390,000",2,3,"2,110",$659 / Sq. Ft.
1992034,"$1,195,000",2,1.5,960,$1245 / Sq. Ft.
12531377,"$724,500",2,2,977,$742 / Sq. Ft.
57864809,"$385,000",5,3,,
40625920,"$999,000",2,2,852,$1173 / Sq. Ft.
89903440,"$209,900",3,1.5,975,$215 / Sq. Ft.
57870920,"$689,000",9,2,,
1405312,"$2,290,000",4,3,"2,300",$996 / Sq. Ft.
89945603,"$394,900",2,2,"1,070",$369 / Sq. Ft.
57812419,"$985,000",3,3,"2,506",$393 / Sq. Ft.
21967151,"$458,000",1,1,261,$1755 / Sq. Ft.
145641690,"$1,495,000",3,3.5,"1,884",$794 / Sq. Ft.
57851284,"$219,900",1,1,713,$308 / Sq. Ft.
7122428,"$1,599,000",3,2,"1,725",$927 / Sq. Ft.
30924270,"$145,000",3,2,998,$145 / Sq. Ft.
173342239,"$1,325,000",2,2,"1,092",$1213 / Sq. Ft.
876268,"$725,000",1,1.5,830,$873 / Sq. Ft.
7105726,"$3,250,000",5,4,"2,750",$1182 / Sq. Ft.
7125233,"$1,629,000",2,3,"2,239",$728 / Sq. Ft.
57877690,"$538,640",6,2,,
144063812,"$1,195,000",2,1,"1,235",$968 / Sq. Ft.
7115455,"$1,799,000",3,2,"1,949",$923 / Sq. Ft.
7126262,"$2,250,000",3,3.5,"3,091",$728 / Sq. Ft.
7124449,"$1,280,000",2,2,"1,319",$970 / Sq. Ft.
100045813,"$895,000",—,—,,
172764724,"$1,249,000",2,2,"1,415",$883 / Sq. Ft.
7102465,"$3,999,000",5,5.5,"5,200",$769 / Sq. Ft.
7115643,"$1,495,000",3,3.5,"2,083",$718 / Sq. Ft.
57844925,"$325,500",2,2,"1,544",$211 / Sq. Ft.
51680016,"$1,195,000",2,2,"1,101",$1085 / Sq. Ft.
30942295,"$185,000",3,2,"1,899",$97 / Sq. Ft.
7124477,"$959,000",2,1.75,856,$1120 / Sq. Ft.
2026643,"$1,895,000",3,2,"1,658",$1143 / Sq. Ft.
30744028,"$220,000",3,2,"2,065",$107 / Sq. Ft.
1139582,"$950,000",2,1,928,$1024 / Sq. Ft.
22889685,"$1,395,000",2,2,"1,205",$1158 / Sq. Ft.
1650753,"$3,499,000",4,3.5,"3,445",$1016 / Sq. Ft.
12531406,"$1,375,000",2,2,"1,565",$879 / Sq. Ft.
170362281,"$200,000",—,—,,
31202612,"$789,000",5,3,"3,185",$248 / Sq. Ft.
1667074,"$19,200,000",7,6.5,"9,190",$2089 / Sq. Ft.
7103427,"$4,195,000",5,5.5,"5,403",$776 / Sq. Ft.
2035763,"$899,000",1,1,700,$1284 / Sq. Ft.
707920,"$798,000",2,1,725,$1101 / Sq. Ft.
7125351,"$3,375,000",4,3.5,"3,761",$897 / Sq. Ft.
7125379,"$2,200,000",3,3,"2,720",$809 / Sq. Ft.
31228372,"$2,600,000",4,6.5,"6,840",$380 / Sq. Ft.
7117136,"$539,000",1,1,614,$878 / Sq. Ft.
7117877,"$338,000",—,1,426,$793 / Sq. Ft.
89925122,"$594,900",2,2,"1,763",$337 / Sq. Ft.
1537361,"$775,000",1,1.5,842,$920 / Sq. Ft.
148027969,"$660,000",2,2,"1,591",$415 / Sq. Ft.
173379051,"$629,000",2,2,"1,185",$531 / Sq. Ft.
57825506,"$799,000",3,2,"1,725",$463 / Sq. Ft.
31228373,"$12,900,000",7,11,"16,722",$771 / Sq. Ft.
7119495,"$1,399,000",2,2.5,"2,355",$594 / Sq. Ft.
8137847,"$950,000",2,3,"1,185",$802 / Sq. Ft.
89936412,"$559,000",2,2,"1,565",$357 / Sq. Ft.
57834635,"$239,000",1,1,801,$298 / Sq. Ft.
27573392,"$175,000",2,1,824,$212 / Sq. Ft.
7125387,"$4,995,000",5,6,"4,201",$1189 / Sq. Ft.
9970875,"$399,000",2,1,821,$486 / Sq. Ft.
9980006,"$895,000",4,3,"1,855",$482 / Sq. Ft.
7101609,"$2,895,000",16,14,"8,100",$357 / Sq. Ft.
27508330,"$199,000",4,2,,
173378575,"$1,495,000",3,2,"1,483",$1008 / Sq. Ft.
