house_id,street_address,city,state,zipcode
55397269,1150 Williamson St APT 204,Madison,WI,53703
448478,5410 Connecticut Ave NW APT 517,Washington,DC,20015
43691309,1771 Cord Grass Ln,Fleming Island,FL,32003
55397043,315 N Ingersoll St,Madison,WI,53703
15151214,1012 Alabama St,San Francisco,CA,94110
104460216,333 W Mifflin St UNIT 1157,Madison,WI,53703
245677620,2665 W Maypole Ave,Chicago,IL,60612
89921434,1015 S Western Ave APT 4,Chicago,IL,60612
439323,4425 Harrison St NW,Washington,DC,20015
20690565,4104 Van Horne Ave,Los Angeles,CA,90032
3874726,812 S Oakley Blvd,Chicago,IL,60612
295357473,7404-10 Daytona St,Lemon Grove,CA,91945
27323931,2203 Roundrock Dr,Carrollton,TX,75007
29333056,8106 Chalk Knoll Dr,Austin,TX,78735
43708313,178 Riverwood Dr,Fleming Island,FL,32003
7512091,3332 W Granada Rd,Phoenix,AZ,85009
121073218,1752 W Maypole Ave APT 202,Chicago,IL,60612
102959965,309 W Washington Ave UNIT 515,Madison,WI,53703
26819039,9702 Glengreen Dr,Dallas,TX,75217
15072751,1998 Broadway APT 902,San Francisco,CA,94109
26818496,1626 Bending Oaks Trl,Dallas,TX,75217
36730425,11642 Cygnet Dr,Waldorf,MD,20601
60136219,5813 Medicine Creek Dr,Austin,TX,78735
19607297,3354 Londonderry Pl,Santa Clara,CA,95050
2077554927,2311 Southbrook Dr,Fleming Island,FL,32003
7515311,16 S 22nd Ave,Phoenix,AZ,85009
29331251,8045 Chalk Knoll Dr,Austin,TX,78735
17112435,1686 Larwood Rd,Lemon Grove,CA,91945
20788262,1205 N Orange Grove Ave,West Hollywood,CA,90046
81944512,331 W Wilson St,Madison,WI,53703
449003,5431 Connecticut Ave NW APT 204,Washington,DC,20015
101377273,9864 Leland Ave UNIT 414,Schiller Park,IL,60176
83813569,3600 Verano Dr,Austin,TX,78735
15078068,1288 Mcallister St APT 302,San Francisco,CA,94115
82785788,566 S Van Ness Ave APT 12,San Francisco,CA,94110
110721756,185 N 85th St,Milwaukee,WI,53226
64778753,2007 Shallow Stream Cv,Austin,TX,78735
19600868,550 Los Olivos Dr,Santa Clara,CA,95050
15080658,2574 Green St,San Francisco,CA,94123
7514179,2822 W Polk St,Phoenix,AZ,85009
15077575,601 Van Ness Ave APT 51,San Francisco,CA,94102
7515266,2418 W Madison St,Phoenix,AZ,85009
19579447,1411 Jackson St,Santa Clara,CA,95050
20690599,4106 Portola Ave,Los Angeles,CA,90032
2119576321,2656 Schult Pl,Waldorf,MD,20601
61618491,5315 Connecticut Ave NW APT 108,Washington,DC,20015
110721151,10929 W Wisconsin Ave,Milwaukee,WI,53226
110711045,2636 N 96th St,Milwaukee,WI,53226
89913137,2320 W Adams St UNIT 23,Chicago,IL,60612
20795967,1233 N Laurel Ave APT 104,West Hollywood,CA,90046
62629095,2194 Blue Heron Cove Dr,Fleming Island,FL,32003
63790467,3575 Grove St UNIT 245,Lemon Grove,CA,91945
26994444,14404 Cyprus Point Dr,Farmers Branch,TX,75234
26943888,2707 Heather Glen Ct,Carrollton,TX,75006
19608428,173 Saratoga Ave,Santa Clara,CA,95050
104456605,333 W Mifflin St UNIT 5030,Madison,WI,53703
20788517,951 N Gardner St UNIT 7,West Hollywood,CA,90046
122064192,870 Chestnut St,San Francisco,CA,94133
153249692,875 Madison St,Santa Clara,CA,95050
89237737,451 Kansas St UNIT 468,San Francisco,CA,94107
54535555,2409 W Flournoy St #B,Chicago,IL,60612
26907572,10302 Brockton Dr,Dallas,TX,75217
108871045,2553 N 93rd St,Milwaukee,WI,53226
40472965,185 N 91st Pl,Milwaukee,WI,53226
65557381,4600 River Rd APT C5,Schiller Park,IL,60176
110749564,2625 N Harding Blvd,Milwaukee,WI,53226
20643510,2915 Warwick Ave,Los Angeles,CA,90032
87717960,2861 W Warren Blvd #1,Chicago,IL,60612
20797557,8121 Gould Ave,Los Angeles,CA,90046
125234157,1100 W Trinity Mills Rd APT 1017,Carrollton,TX,75006
20800583,8700 Hollywood Hills Rd,Los Angeles,CA,90046
70753128,1855 Copper Stone Dr APT F,Fleming Island,FL,32003
26794313,2027 Joan Dr,Dallas,TX,75217
36743778,4525 Clayton Rd,Waldorf,MD,20601
84640400,2020 Cypress Bluff Ct,Fleming Island,FL,32003
104454639,333 W Mifflin St UNIT 1057,Madison,WI,53703
19580018,880 N Winchester Blvd APT 204,Santa Clara,CA,95050
19594284,1424 Maryann Dr,Santa Clara,CA,95050
96794859,8424 W Clarke St,Milwaukee,WI,53226
29333050,8224 Chalk Knoll Dr,Austin,TX,78735
43695222,1667 Highland View Ct,Fleming Island,FL,32003
19556933,977 Warburton Ave APT 104,Santa Clara,CA,95050
19557393,1700 Civic Center Dr APT 203,Santa Clara,CA,95050
7505448,3605 W Latham St,Phoenix,AZ,85009
246025291,2134 Hawkeye Pl,Fleming Island,FL,32003
284859871,609 N 29th Ave,Phoenix,AZ,85009
70465543,2158 W Grand Ave UNIT 505,Chicago,IL,60612
26951537,2626 Via Los Altos,Carrollton,TX,75006
7519505,2035 W Virginia Ave,Phoenix,AZ,85009
448457,5410 Connecticut Ave NW APT 415,Washington,DC,20015
29334463,8309 Club Ridge Dr,Austin,TX,78735
29331269,8408 Hickory Creek Dr,Austin,TX,78735
29334477,8207 Scenic Ridge Cv,Austin,TX,78735
459564,2749 Unicorn Ln NW,Washington,DC,20015
95632851,1220 N Orange Grove Ave APT 12,West Hollywood,CA,90046
20788058,953 N Edinburgh Ave,Los Angeles,CA,90046
3592202,4107 Ruby St,Schiller Park,IL,60176
121066995,2220 W Maypole Ave UNIT 301,Chicago,IL,60612
81921171,137 E Wilson St UNIT 413,Madison,WI,53703
87724167,2145 W Warren Blvd #3,Chicago,IL,60612
29333052,2300 Portofino Ridge Dr,Austin,TX,78735
19594537,1142 Maryann Dr,Santa Clara,CA,95050
448535,5410 Connecticut Ave NW APT 817,Washington,DC,20015
2078389959,7919 Yellow Thistle Trl #8,Austin,TX,78735
306645920,8417 Valerio Ln,Austin,TX,78735
26860844,801 Wixom Ln,Dallas,TX,75217
61962938,1629 W Warren Blvd APT 3,Chicago,IL,60612
20797583,8270 Kirkwood Dr,Los Angeles,CA,90046
19607696,221 Tyler Ave,Santa Clara,CA,95050
158778443,2331 W Warren Blvd,Chicago,IL,60612
27290268,3461 Lark Meadow Way,Dallas,TX,75287
458486,3112 Legation St NW,Washington,DC,20015
36744362,12817 Leman Ln,Waldorf,MD,20601
55396371,453 N Baldwin St,Madison,WI,53703
27263280,2902 Palisades Dr,Carrollton,TX,75007
55397047,1106 E Johnson St,Madison,WI,53703
15181623,1129 Douglass St,San Francisco,CA,94131
17112626,1481 San Altos Pl,Lemon Grove,CA,91945
19599402,2495 Ramke Pl,Santa Clara,CA,95050
7506397,3512 W Maricopa St,Phoenix,AZ,85009
2077871631,9445 W Kelvin Ln #2992,Schiller Park,IL,60176
20802252,2263 Apollo Dr,Los Angeles,CA,90046
26817089,740 Sunburst Dr,Dallas,TX,75217
20802736,8056 Mulholland Dr,Los Angeles,CA,90046
20690665,4400 Portola Ave,Los Angeles,CA,90032
125235199,1100 W Trinity Mills Rd APT 2024,Carrollton,TX,75006
19599061,644 Scott Blvd,Santa Clara,CA,95050
110717469,116 N 86th St,Milwaukee,WI,53226
3591619,9844 Montrose Ave,Schiller Park,IL,60176
61122245,125 N Hamilton St UNIT 506,Madison,WI,53703
26816793,8908 Briley Rd,Dallas,TX,75217
83239335,625 E Mifflin St UNIT 307,Madison,WI,53703
17044002,8235 Adams St,Lemon Grove,CA,91945
36721173,2388 Ironwood Dr,Waldorf,MD,20601
61122536,360 W Washington Ave UNIT 1214,Madison,WI,53703
27263190,1611 Kingspoint Dr,Carrollton,TX,75007
