house_id,home_type,roof_material,new_construction,major_remodel_year
55397269,Condo,Other,No,2003
448478,Condo,,No,1978
43691309,Single Family,Composition,No,1993
55397043,Single Family,Asphalt,No,1970
15151214,Single Family,Composition,No,
104460216,Condo,,No,2009
245677620,Single Family,,Yes,
89921434,Condo,Other,No,
439323,Single Family,Slate,No,
20690565,Single Family,,No,1920
3874726,Multiple Occupancy,Built-up,No,
295357473,Multiple Occupancy,,No,
27323931,Single Family,Composition,No,2008
29333056,Single Family,Tile,No,1999
43708313,Single Family,Composition,No,1990
7512091,Single Family,Other,No,
121073218,Condo,,No,
102959965,Condo,,No,2008
26819039,Single Family,Composition,No,1972
15072751,Condo,,No,
26818496,Single Family,Composition,No,1971
36730425,Single Family,Shake / Shingle,No,
60136219,Single Family,Composition,No,
19607297,Single Family,Composition,No,1971
2077554927,Single Family,,No,
7515311,Single Family,Other,No,
29331251,Single Family,Tile,No,
17112435,Single Family,Shake / Shingle,No,2014
20788262,Multiple Occupancy,,No,2001
81944512,Condo,Asphalt,No,2008
449003,Condo,,No,1987
101377273,Condo,,No,
83813569,Single Family,Other,No,
15078068,Condo,Composition,No,
82785788,Condo,,No,
110721756,Single Family,,No,1960
64778753,Single Family,Tile,No,
19600868,Townhouse,,No,1982
15080658,Single Family,,No,
7514179,Multiple Occupancy,Other,No,1930
15077575,Condo,,No,
7515266,Multiple Occupancy,Other,No,1965
19579447,Single Family,Composition,No,1920
20690599,Single Family,Composition,No,1981
2119576321,Single Family,Other,No,
61618491,Condo,Other,No,1980
110721151,Single Family,,No,1970
110711045,Single Family,,No,1990
89913137,Townhouse,Other,No,
20795967,Condo,Other,No,1960
62629095,Single Family,Composition,No,2003
63790467,Condo,Other,No,2005
26994444,Single Family,Composition,No,1980
26943888,Single Family,Composition,No,1979
19608428,Townhouse,Composition,No,1981
104456605,Condo,Other,No,2009
20788517,Condo,,No,1967
122064192,Condo,Composition,No,2013
153249692,Multiple Occupancy,Composition,No,
89237737,Condo,,No,
54535555,Condo,Other,No,
26907572,Single Family,Composition,No,1983
108871045,Single Family,,No,1985
40472965,Single Family,,No,
65557381,Condo,Asphalt,No,
110749564,Single Family,,No,1975
20643510,Multiple Occupancy,Composition,No,
87717960,Condo,Other,No,
20797557,Single Family,Metal,No,2010
125234157,Condo,Built-up,No,2012
20800583,Single Family,Other,No,1971
70753128,Townhouse,Composition,No,2005
26794313,Single Family,Composition,No,1953
36743778,Single Family,Shake / Shingle,No,
84640400,Single Family,Composition,No,2007
104454639,Condo,Other,No,2009
19580018,Condo,Tile,No,1986
19594284,Single Family,Shake / Shingle,No,1959
96794859,Single Family,,No,1965
29333050,Single Family,Tile,No,
43695222,Single Family,Asphalt,No,1997
19556933,Condo,Tile,No,1987
19557393,Condo,,No,1973
7505448,Single Family,Other,No,
246025291,Single Family,,Yes,
284859871,Single Family,Other,No,
70465543,Condo,,No,
26951537,Single Family,Composition,No,1977
7519505,Single Family,Other,No,2016
448457,Condo,Other,No,1978
29334463,Single Family,Tile,No,
29331269,Single Family,Tile,No,1991
29334477,Single Family,Tile,No,
459564,Single Family,Built up,No,
95632851,Townhouse,,No,2009
20788058,Single Family,,No,1958
3592202,Single Family,Other,No,
121066995,Condo,Other,No,
81921171,Condo,,No,2007
87724167,Condo,,No,
29333052,Single Family,Tile,No,
19594537,Single Family,Composition,No,2020
448535,Condo,,No,1978
2078389959,Single Family,Tile,Yes,
306645920,Single Family,,No,
26860844,Single Family,Composition,No,1955
61962938,Condo,Other,No,
20797583,Single Family,Asphalt,No,1924
19607696,Single Family,,No,1949
158778443,Single Family,Other,No,
27290268,Single Family,Composition,No,1994
458486,Apartment,Slate,,2007
36744362,Single Family,Shake / Shingle,No,
55396371,Single Family,Asphalt,No,1974
27263280,Single Family,Composition,No,1985
55397047,Single Family,Asphalt,No,1965
15181623,Single Family,,No,
17112626,Single Family,Composition,No,1960
19599402,Single Family,Composition,No,1957
7506397,Single Family,Other,No,
2077871631,Condo,,No,
20802252,Single Family,,No,1974
26817089,Single Family,Composition,No,1970
20802736,Single Family,Other,No,1957
20690665,Single Family,,No,1930
125235199,Condo,Built-up,No,2012
19599061,Single Family,Composition,No,1947
110717469,Single Family,Other,No,1960
3591619,Single Family,Shake / Shingle,,
61122245,Condo,,No,2006
26816793,Single Family,Composition,No,1954
83239335,Condo,,No,2010
17044002,Single Family,Composition,No,1987
36721173,Single Family,Shake / Shingle,No,
61122536,Condo,,No,2003
27263190,Single Family,Composition,No,1986
110714834,Single Family,Shake / Shingle,No,1975
7515762,Single Family,Other,No,
110745460,Single Family,,No,1990
111710774,Condo,,No,
43693622,Single Family,Asphalt,No,1992
89028797,Single Family,,No,2009
96794753,Single Family,Composition,No,1970
20641954,Single Family,,No,1955
7500794,Single Family,Other,No,
26798388,Single Family,Composition,Yes,1959
17017506,Single Family,Composition,No,1975
110701630,Single Family,Asphalt,No,1980
64969813,Condo,,No,
442860,Condo,Other,No,
89923337,Condo,Asphalt,No,
99356274,Condo,,No,
55420773,Single Family,Composition,No,1965
110755705,Single Family,,No,1975
19557451,Condo,,No,1973
20784175,Multiple Occupancy,,No,1936
43700869,Single Family,Other,No,1986
80823358,Condo,,No,
3592461,Single Family,Shake / Shingle,No,
36729707,Single Family,Shake / Shingle,No,
3591197,Condo,,No,
80778341,Single Family,Shake / Shingle,No,2006
26936483,Single Family,Composition,No,1994
2077565351,Condo,,No,
19580903,Townhouse,Composition,No,1984
29329522,Single Family,Tile,No,
7512973,Single Family,Other,No,
84642661,Condo,Composition,No,2007
63790404,Condo,,No,2005
60977467,Single Family,Other,No,
20794415,Condo,,No,1985
17115104,Single Family,Composition,No,1976
442861,Condo,Other,No,
