house_id,tax_assessed_value,annual_tax_amount
55397269,"$203,000","$4,494"
448478,"$305,150","$2,453"
43691309,"$201,364","$3,325"
55397043,"$311,000","$6,453"
15151214,"$867,295","$11,005"
104460216,"$253,100","$4,967"
245677620,"$40,950",$812
89921434,"$187,990","$3,725"
439323,"$864,080","$6,947"
20690565,"$23,672",$422
3874726,"$380,750","$6,865"
295357473,"$316,808","$3,859"
27323931,"$247,322","$2,016"
29333056,"$3,900,000","$83,774"
43708313,"$238,772","$2,294"
7512091,"$124,700","$1,385"
121073218,"$225,650","$4,472"
102959965,"$298,900","$6,334"
26819039,"$202,950","$5,548"
15072751,"$599,778","$7,116"
26818496,"$121,600","$3,324"
36730425,"$301,500","$3,636"
60136219,"$487,445","$7,774"
19607297,"$1,156,716","$14,159"
2077554927,,
7515311,"$107,500",$499
29331251,"$3,298,700","$65,645"
17112435,"$389,011","$4,739"
20788262,"$879,427","$11,634"
81944512,"$533,600","$10,093"
449003,"$401,790","$2,696"
101377273,"$115,120","$4,110"
83813569,"$2,931,879","$66,004"
15078068,"$1,428,000","$17,522"
82785788,"$460,596","$6,090"
110721756,"$286,100","$7,250"
64778753,"$1,085,000","$23,104"
19600868,"$662,758","$8,019"
15080658,"$3,481,399","$41,112"
7514179,"$108,300",$577
15077575,"$444,611","$5,974"
7515266,"$104,100",$528
19579447,"$989,400","$12,092"
20690599,"$172,228","$2,317"
2119576321,,$0
61618491,"$339,900","$2,805"
110721151,"$176,600","$4,475"
110711045,"$270,000","$6,842"
89913137,"$175,460","$3,790"
20795967,"$723,077","$8,760"
62629095,"$257,002","$2,177"
63790467,"$120,973","$1,474"
26994444,"$394,730","$3,935"
26943888,"$196,700","$3,849"
19608428,"$673,589","$8,239"
104456605,"$316,400","$6,040"
20788517,"$246,669","$3,140"
122064192,"$1,777,692","$21,616"
153249692,"$229,851","$2,945"
89237737,"$927,127","$11,587"
54535555,"$118,220","$1,657"
26907572,"$95,810","$2,619"
108871045,"$246,700","$6,252"
40472965,"$111,800","$3,114"
65557381,"$63,010","$2,250"
110749564,"$332,300","$8,421"
20643510,"$269,392","$3,583"
87717960,"$213,550","$4,218"
20797557,"$1,534,589","$18,231"
125234157,"$222,750","$1,278"
20800583,"$1,428,588","$17,032"
70753128,"$144,472","$3,049"
26794313,"$106,930",
36743778,"$515,000","$6,566"
84640400,"$276,076","$6,046"
104454639,"$256,500","$5,034"
19580018,"$586,500","$7,107"
19594284,"$796,282","$9,753"
96794859,"$172,700","$4,376"
29333050,"$1,877,000","$35,820"
43695222,"$221,204","$3,335"
19556933,"$300,731","$3,658"
19557393,"$309,255","$3,845"
7505448,"$76,100",$955
246025291,"$45,000","$2,584"
284859871,"$113,000","$1,262"
70465543,"$183,620","$2,949"
26951537,"$225,480","$2,231"
7519505,"$168,500","$1,342"
448457,"$252,630",$734
29334463,"$1,449,610","$16,481"
29331269,"$825,000","$13,627"
29334477,"$1,164,386","$17,187"
459564,"$1,068,150","$7,753"
95632851,"$1,215,081","$14,520"
20788058,"$1,981,717","$23,574"
3592202,"$167,370","$4,749"
121066995,"$181,490","$2,916"
81921171,"$446,600","$8,404"
87724167,"$114,380","$2,267"
29333052,"$2,969,281","$62,748"
19594537,"$66,841",$865
448535,"$323,390","$2,749"
2078389959,,
306645920,"$432,551","$8,674"
26860844,"$52,040",$239
61962938,"$374,140","$7,414"
20797583,"$141,071","$1,777"
19607696,"$880,910","$10,849"
158778443,"$487,620","$8,983"
27290268,"$265,000",$597
458486,,
36744362,"$184,300","$2,349"
55396371,"$403,100","$8,463"
27263280,"$252,619","$1,284"
55397047,"$127,300","$2,543"
15181623,"$847,281","$10,719"
17112626,"$143,468","$1,748"
19599402,"$282,911","$3,557"
7506397,"$22,200",$262
2077871631,,
20802252,"$1,210,818","$14,766"
26817089,"$108,980","$2,979"
20802736,"$547,377","$6,906"
20690665,"$305,878","$3,990"
125235199,"$187,000","$2,312"
19599061,"$530,266","$6,458"
110717469,"$314,900","$7,980"
3591619,"$177,300","$5,103"
61122245,"$478,400","$9,868"
26816793,"$71,510","$1,955"
83239335,"$326,200","$6,177"
17044002,"$360,922","$4,312"
36721173,"$239,000","$2,782"
61122536,"$280,500","$6,115"
27263190,"$243,265","$1,983"
110714834,"$303,200","$7,684"
7515762,"$59,500",$288
110745460,"$309,400","$7,841"
111710774,"$976,221","$12,490"
43693622,"$319,257","$4,546"
89028797,"$494,190","$5,898"
96794753,"$163,400","$4,141"
20641954,"$519,180","$6,345"
7500794,"$84,500",$394
26798388,"$20,000",$547
17017506,"$83,640",$934
110701630,"$164,900","$4,179"
64969813,"$774,662","$9,177"
442860,"$779,060","$6,501"
89923337,"$197,820","$3,229"
99356274,"$123,950","$4,425"
55420773,"$322,600","$6,999"
110755705,"$234,900","$5,953"
19557451,"$405,756","$4,925"
20784175,"$1,470,432","$17,619"
43700869,"$229,064","$2,445"
80823358,"$94,270",$16
3592461,"$216,660","$5,528"
36729707,"$381,500","$4,781"
3591197,"$58,810","$2,100"
80778341,"$388,023","$6,894"
26936483,"$283,060","$3,310"
2077565351,,
19580903,"$230,437","$2,894"
29329522,"$914,300","$15,807"
7512973,"$119,300",$670
84642661,"$100,489","$2,394"
63790404,"$127,909","$1,558"
60977467,"$107,100","$1,143"
20794415,"$506,532","$6,037"
17115104,"$335,000","$3,996"
442861,"$725,420","$6,051"
110724472,"$414,300","$10,499"
20795290,"$571,015","$6,901"
101240330,"$136,320","$4,254"
26802135,"$102,580","$2,804"
26800911,"$33,600",$918
99356271,"$120,000","$3,058"
43693023,"$859,476","$11,829"
60347400,"$162,120","$4,432"
2077681491,,
82295911,"$430,650","$3,245"
89977213,"$790,050","$15,606"
20795082,"$2,195,346","$26,304"
20690529,"$261,931","$3,221"
43692923,"$615,782","$10,379"
29334576,"$1,034,000","$22,005"
17044038,"$423,734","$5,162"
246025806,"$45,000","$2,584"
53153596,"$1,570,976","$19,220"
104458538,"$427,100","$8,435"
19599072,"$47,574",$716
20801358,"$154,457","$2,324"
82950285,"$270,000","$3,279"
40472907,"$100,800","$2,807"
36725918,"$159,600","$1,908"
7505371,"$49,100",$386
452861,"$836,780","$6,952"
20642095,"$775,200","$9,669"
55144589,"$231,344","$1,613"
2077641307,,
83124292,"$452,835","$9,713"
43691351,"$218,544","$3,590"
7511689,"$131,100","$1,040"
82300060,"$642,640","$4,659"
36726977,"$268,500","$3,106"
2078363717,,
3591973,"$197,170","$1,874"
26994346,"$398,680","$3,576"
20802121,"$1,910,172","$11,509"
110709652,"$192,100","$4,868"
29336613,"$2,053,277","$43,973"
3593209,"$195,720","$5,761"
2091594414,,
81991571,"$164,000","$1,665"
27338350,"$354,268",$798
53737274,"$302,987","$4,503"
26802279,"$90,040","$2,461"
17016580,"$313,186","$3,730"
60200173,"$71,460","$2,551"
69669981,"$185,070","$3,118"
26816620,"$22,130",$605
20793195,"$430,682","$5,210"
70465537,"$218,940","$4,325"
20643834,"$122,902","$1,584"
110750322,"$218,900","$5,547"
55406002,"$291,400","$6,044"
7511108,"$93,700",$441
50903650,"$927,992","$11,351"
20691214,"$27,187",$511
15143256,"$407,848","$6,489"
251031652,"$598,249","$12,832"
55398332,"$425,800","$9,061"
110700901,"$250,900","$6,358"
70747509,"$300,050","$5,790"
20642448,"$562,294","$6,992"
63703850,"$198,750","$3,939"
