house_id,beds,baths,living_area,house_type,year_built,heating,cooling,parking,price,price_per_sqft
55397269,1,1,"1,001",Condo,1999,Forced air,Central,1 space,"$239,000",$239
448478,1,1,867,Condo,1957,Forced air,"Central, Wall",No Data,"$284,000",$328
43691309,3,2,"1,910",Single Family,1993,"Forced air, Electric",Central,2 spaces,"$280,000",$147
55397043,4,2,"1,957",Single Family,1908,"Forced air, Gas, Wood / Pellet",Central,1 space,"$447,000",$228
15151214,2,2,930,Single Family,1900,Forced air,No Data,1 space,"$899,000",$967
104460216,1,1,801,Condo,2007,Heat pump,Central,No Data,"$259,900",$324
245677620,3,3,"1,578",Single Family,2020,"Forced air, Gas",Central,2 spaces,"$439,900",$279
89921434,2,2,"1,200",Condo,2006,"Forced air, Gas",Central,1 space,"$249,000",$208
439323,6,5,"4,099",Single Family,1927,"Forced air, Other",Central,3 spaces,"$1,799,000",$439
20690565,2,1,576,Single Family,1920,Wall,None,No Data,"$285,000",$495
3874726,4,4,"1,480",Multiple Occupancy,1880,"Forced air, Gas",Central,1 space,"$674,900",$456
295357473,3,2,"1,369",Multiple Occupancy,1955,No Data,No Data,No Data,"$500,000",$365
27323931,4,2,"1,963",Single Family,1980,"Forced air, Gas",Central,2 spaces,"$289,000",$147
29333056,7,11,"13,886",Single Family,1999,"Forced air, Electric, Gas",Central,3 spaces,"$7,800,000",$562
43708313,3,2,"2,320",Single Family,1990,"Forced air, Heat pump, Electric",Central,2 spaces,"$430,000",$185
7512091,3,1.75,"1,130",Single Family,1951,"Other, Gas","Evaporative, Other",No Data,"$240,000",$212
121073218,3,2,"1,948",Condo,2006,Gas,Central,4 spaces,"$319,000",$164
102959965,2,1,"1,123",Condo,2008,Forced air,Central,No Data,"$367,000",$327
26819039,4,3,"2,500",Single Family,1972,Forced air,Central,1 space,"$229,900",$92
15072751,1,1,700,Condo,1964,No Data,No Data,No Data,"$899,000","$1,284"
26818496,4,2,"1,472",Single Family,1971,Forced air,Central,1 space,"$189,000",$128
36730425,4,3,"2,064",Single Family,1994,"Forced air, Gas",Central,2 spaces,"$420,000",$203
60136219,3,3,"3,051",Single Family,2002,"Forced air, Electric, Gas",Central,2 spaces,"$695,000",$228
19607297,3,2,"1,511",Single Family,1955,"Forced air, Gas",Central,2 spaces,"$1,475,000",$976
2077554927,4,3,"2,137",Single Family,2000,Forced air,Central,2 spaces,"$339,900",$159
7515311,3,2,"1,180",Single Family,1916,"Other, Gas",Refrigerator,4 spaces,"$224,900",$191
