house_id,full_bathrooms,half_bathrooms,basement,flooring,appliances,total_interior_livable_area,fireplace
55397269,1,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,001 sqft",Yes
448478,1,,,Hardwood,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",867 sqft,
43691309,2,,,"Tile, Carpet","Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","1,910 sqft",1 Fireplace
55397043,1,,Unfinished,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,957 sqft",Yes
15151214,,,Finished,Hardwood,"Dishwasher, Dryer, Freezer, Range / Oven, Refrigerator, Washer",930 sqft,
104460216,1,,,Hardwood,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",801 sqft,
245677620,2,,,"Tile, Hardwood","Dishwasher, Microwave, Range / Oven, Refrigerator","1,578 sqft",
89921434,2,,Slab,"Tile, Carpet, Hardwood","Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","1,200 sqft",Yes
439323,4,,,Hardwood,,"4,099 sqft",Yes
20690565,1,,,Other,,576 sqft,
3874726,3,,,"Carpet, Hardwood","Dishwasher, Dryer, Microwave, Refrigerator, Washer","1,480 sqft",
295357473,2,,,,,"1,369 sqft",
27323931,2,,,"Tile, Carpet",Dishwasher,"1,963 sqft",Gas Logs
29333056,9,,,"Tile, Hardwood","Dishwasher, Garbage disposal, Microwave, Refrigerator","13,886 sqft",Yes
43708313,2,,,"Tile, Carpet, Linoleum / Vinyl","Dishwasher, Range / Oven, Refrigerator","2,320 sqft","Wood Burning Fireplace, 1 Fireplace, Marble Fireplace"
7512091,,,,Tile,"Microwave, Range / Oven, Refrigerator","1,130 sqft",
121073218,2,,,"Carpet, Hardwood","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","1,948 sqft",Yes
