Dataset,Column,Label,Reference,Domain,Sample
courses_reed.csv,reg_num,reg_num,,,"[10314, 10758, 20559, 20620, 10455]"
courses_reed.csv,subj,subject,,,"['SOC', 'HIST', 'SPAN', 'ENG', 'ART']"
courses_reed.csv,crse,number,,,"[101, 101, 100, 102, 101]"
courses_reed.csv,sect,section,,,"['F', 'F', 'F03', 'F04', 'S']"
courses_reed.csv,title,title,,,"['Judo', 'Genetics and MolecularBiology', 'Probability', 'Chemical Reactivity', 'Elemetary Number Theory']"
courses_reed.csv,units,num_credits,,,"[1.0, 0.0, 0.0, 1.0, 0.0]"
courses_reed.csv,instructor,name_5,,,"['Breen', 'Staff', 'Delehanty', 'Andreas', 'Makley']"
courses_reed.csv,days,days,,,"['M-W-F', 'M-W-F', 'W', 'W', 'M']"
courses_reed.csv,start_time,start_time,,,"['07:10PM', '12:00PM', '03:10PM', '04:40PM', '01:10PM']"
courses_reed.csv,end_time,end_time,,,"['04:00', '06:00', '04:30', '12:50', '10:50']"
courses_reed.csv,building,building_2,,,"['VOLLUM', 'SPORTS', 'ELIOT', 'PHYSIC', 'VOLLUM']"
courses_reed.csv,room,room_8,,,"['203', '301', '204', 'Hochman         M-T-W-Th-F11:00     ELIOT   207', '228']"
courses_rice.csv,code,code,,,"['BIOS 566', 'SPAN 308', 'MILI 403', 'MUSI 700', 'ARTS 510']"
courses_rice.csv,title,title,,,"['WOMEN AND GENDER IN RENAISSANCE ITALY', 'INDEPENDENT STUDY AND RESEARCH', 'INTRODUCTION TO JAPANESE LANGUAGE AND CUL', 'INTERMEDIATE ITALIAN FOR WRITTEN AND ORAL', 'THEORY AND MODERNISM']"
courses_rice.csv,credits,num_credits,,,"[2.0, 2.0, 4.0, 3.0, 3.0]"
courses_rice.csv,comments,comments,,,"['Optimal control theory and calculus of variations. Minimization of\r\nfunctionals depending on variables subject to differential constraints,\r\nnondifferential constraints, initial constraints, and final\r\nconstraints. Analytical and computational methods. Engineering\r\napplications.\r\nAlso offered as Caam 564.', '* RESTRICTED DISTRIBUTION COURSE: GROUP III\r\n*** HOUR EXAMS 8 AM TTH ***\r\nSee Chem 121. Either 122 or 152 may be taken as prerequisite for\r\nadvanced study in chemistry, but only one of these two may be taken for\r\ncredit.\r\nPrereq- Chem 121 or 151.', ""* DISTRIBUTION COURSE: GROUP II\r\nThis is still Ronald Reagan's America--era of individualism and\r\nconservatism quite at odds with the America of Martin Luther King, Jr.\r\nIn this reading- and writing-intensive seminar, students will examine\r\nAmerican conservatism in the wake of the civil rights movement and\r\nexplore contemporary African American history.\r\nLimited enrollment."", 'This field has exploded with the introduction of new techniques,\r\napproaches, and concepts. Includes classical and modern concepts of\r\nlearning and memory across all levels, including behavioral, anatomical,\r\ncellular, molecular and genetic. Basic concepts will be related to known\r\ndiseases of learning and memory.\r\nPrereq- Neuroscience Core Curriculum course and instructor permission.', '* DISTRIBUTION COURSE: GROUP I\r\nArt is presented as a way of thinking about reality. Slide-illustrated\r\nlectures will involve visual formulations of : Origination, history,\r\ndestiny, society, the individual, sexuality, gender, power, and the end\r\nof the world. Also offered as HART 300.']"
courses_rice.csv,section_num,section,,,"[1.0, 1.0, 1.0, 1.0, 1.0]"
courses_rice.csv,days,days,,,"['TTH', 'TTH', 'MWF', 'TTH', 'T']"
courses_rice.csv,start_time,start_time,,,"['10:50AM', '10:50AM', '12:00PM', '01:00PM', '10:50AM']"
courses_rice.csv,end_time,end_time,,,"['10:50AM', '09:50AM', '04:00PM', '08:50AM', '01:50PM']"
courses_rice.csv,building,building_2,,,"['DH', 'DH', 'HB', 'GL', 'SH']"
courses_rice.csv,room,room_8,,,"['1046', '123', '427', '423', '102']"
courses_rice.csv,instructor,name_5,,,"['Wood, Philip', 'Nordgren, Ronald', 'Zhang, Yin', 'Wang, C.', 'Vail, Peter']"
courses_uwm.csv,note,note,,,"['#', '#', '#', '#', '#']"
courses_uwm.csv,course,number,,,"['664-203', '660-782', '168-281', '168-328', '664-042']"
courses_uwm.csv,title,title,,,"['HUMAN BEHAVIOR AND THE SOCIAL ENVIRONMENT', 'KEYBOARD HARMONY I', 'ACCOMPANYING', 'INTRODUCTION TO MATHEMATICAL STATISTICS, I', 'STUDIES IN BUILDING TYPOLOGY:']"
courses_uwm.csv,credits,num_credits,,,"['1', '3', '3', '1-6', '3']"
courses_uwm.csv,level,level,,,"['U/G', 'G', 'U', 'U/G', 'U']"
courses_uwm.csv,restrictions,restrictions,,,"['; (HU) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-606', '; (941-200) PREREQ: THEATRE 109(P)', '; (HU) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN SE 002 ONLY; OR ENROL IN LC 401 & ANY DS 601-606', '; ; PREREQ: GRAD ST ; ; STUDENTS MUST ATTEND 1 OF 3 SCREENINGS LISTED', '; ; PREREQ: GRAD ST']"
courses_uwm.csv,section_note,section_note,,,"['e', 'e', 'e', 'e', '#']"
courses_uwm.csv,section,section,,,"['Se 001', 'Se 001', 'Se 001', 'Lc 408', 'La 802']"
courses_uwm.csv,days,days,,,"['MW', 'TR', 'W', 'TRF', 'TR']"
courses_uwm.csv,start,start_time,,,"['6:00pm', '9:30am', '11:30am', '5:30pm', 'To be Arranged']"
courses_uwm.csv,end,end_time,,,"['8:40pm', '10:45am', '9:10pm', '4:20pm', '7:10pm']"
courses_uwm.csv,bldg,building_2,,,"['LAP', 'PHY', 'AUP', 'HLT', 'MIT']"
courses_uwm.csv,rm,room_8,,,"['E425', '175 MUS', 'G90', '254', '739']"
courses_uwm.csv,instructor,name_5,,,"['Booth', ""O'Bryan"", 'Khang', 'Paik', 'Faculty']"
courses_uwm.csv,comments,comments,,,"['CONC REG IN 352-115, SE 001, REQUIRED. 352-096 MEETS FOR 6 HOURS PER WEEK', 'ENG 199 = ENG GYM', 'TOPIC: LITERATURE AND EXISTENTIALISM', 'TOPIC: BUZZWORDS', 'TOPIC: AMERICAN RELIGIONS: THE MODERN ERA  C/NC IS NOT PERMITTED']"
