footnote,sln,prefix,crs,lab,sect,title,credit,days,start,end,bldg,room,instructor,limit,enrolled
,10637,ACCTG,230,,01,INT FIN ACCT,3.0,"TU,TH",7:45,9,TODD,230,B. MCELDOWNEY,0112,0108
,10751,ACCTG,231,,04,INT MAN ACCT,3.0,"M,W,F",11:10,,TODD,320,J. MCELDOWNEY,0070,0069
,11940,AGTM,305,,01,AG MACH SYST,3.0,"M,W",10:10,,LJSM,260,DURFEY,0040,0019
,23960,DEC S,800,,01,DOCT DISS EX,V,,,,ARR,ARR,,0100,0004
V,25403,ECON,101,,01,[S] FUND OF MICR,3.0,TH,9:10,,TODD,216,FORT,0060,0060
V,25411,ECON,101,,02,[S] FUND OF MICR,3.0,TH,9:10,,TODD,216,,0060,0058
V,25429,ECON,101,,03,[S] FUND OF MICR,3.0,TH,9:10,,TODD,216,,0060,0060
,25437,ECON,101,,04,[S] FUND OF MICR,3.0,"M,W",10:10,,TODD,276,,0060,0058
,25445,ECON,101,,05,[S] FUND OF MICR,3.0,"M,W",10:10,,TODD,276,,0060,0060
,25452,ECON,101,,06,[S] FUND OF MICR,3.0,"M,W",10:10,,TODD,276,,0060,0058
,25460,ECON,101,,07,[S] FUND OF MICR,3.0,"TU,TH",10:35,,TODD,276,JOERDING,0060,0060
,25478,ECON,101,,08,[S] FUND OF MICR,3.0,"TU,TH",10:35,,TODD,276,,0060,0059
,25486,ECON,101,,09,[S] FUND OF MICR,3.0,"TU,TH",10:35,,TODD,276,,0060,0057
,11957,AGTM,305,L,01,AG MACH SYST,,M,14:10,17,LJSM,114,,0020,0012
,25494,ECON,101,,10,[S] FUND OF MICR,3.0,"M,W",14:10,,TODD,276,,0060,0060
,25502,ECON,101,,11,[S] FUND OF MICR,3.0,"M,W",14:10,,TODD,276,,0059,0059
,25510,ECON,101,,12,[S] FUND OF MICR,3.0,"M,W",14:10,,TODD,276,,0060,0057
,25528,ECON,101,,13,[S] FUND OF MICR,3.0,"TU,TH",9:10,10:25,TODD,234,,0048,0050
,25577,ECON,102,,01,[S] FUND OF MACR,3.0,"TU,TH",15:10,,TODD,216,INABA,0060,0057
,25585,ECON,102,,02,[S] FUND OF MACR,3.0,"TU,TH",15:10,,TODD,216,,0056,0050
,25593,ECON,102,,03,[S] FUND OF MACR,3.0,"TU,TH",15:10,,TODD,216,,0060,0052
V,25601,ECON,102,,04,[S] FUND OF MACR,3.0,TU,9:10,,TODD,216,JOERDING,0060,0057
V,25619,ECON,102,,05,[S] FUND OF MACR,3.0,TU,9:10,,TODD,216,,0060,0055
V,25627,ECON,102,,06,[S] FUND OF MACR,3.0,TU,9:10,,TODD,216,,0060,0022
,11965,AGTM,305,L,02,AG MACH SYST,,TU,14:10,17,LJSM,114,,0020,0007
,25635,ECON,102,,07,[S] FUND OF MACR,3.0,"M,W",14:10,,TODD,216,,0060,0058
,25643,ECON,102,,08,[S] FUND OF MACR,3.0,"M,W",14:10,,TODD,216,,0060,0056
,25650,ECON,102,,09,[S] FUND OF MACR,3.0,"M,W",14:10,,TODD,216,,0060,0058
,25668,ECON,102,,10,[S] FUND OF MACR,3.0,"M,W",12:10,,TODD,276,,0060,0060
,25676,ECON,102,,11,[S] FUND OF MACR,3.0,"M,W",12:10,,TODD,276,,0060,0061
,25684,ECON,102,,12,[S] FUND OF MACR,3.0,"M,W",12:10,,TODD,276,,0060,0060
,25692,ECON,198,,01,[S] ECON HONORS,3.0,"M,W,F",10:10,,THOM,21,,0030,0030
,25700,ECON,198,,02,[S] ECON HONORS,3.0,"TU,TH",10:35,11:50,TODD,301,ROSENMAN,0030,0030
,25718,ECON,198,,03,[S] ECON HONORS,3.0,"M,W,F",9:10,,COLL,135,HALLAGAN,0030,0030
,75242,ECON,198,,04,[S] ECON HONORS,3.0,"M,W,F",14:10,,TODD,211,KUZYK,0030,0028
I,11973,AGTM,315,,01,IR SY&WT MGT,3.0,"TU,TH",8:30,,ARR,ARR,BOLL,0030,0002
,25726,ECON,301,,01,FIRM MKT POL,3.0,"TU,TH",10:35,11:50,FULM,201,KRAUTKRAEMER,0063,0057
,25734,ECON,301,,02,FIRM MKT POL,3.0,"M,W,F",11:10,,TODD,307,,0058,0057
,25742,ECON,301,,03,FIRM MKT POL,3.0,"M,W,F",10:10,,TODD,320,,0055,0047
V,25759,ECON,301,,04,FIRM MKT POL,3.0,M,14:10,,TODD,320,BATINA,0060,0062
,25783,ECON,311,,01,ECONOMETRICS,3.0,"TU,TH",14:50,16:05,TODD,121,LI,0024,0012
,25791,ECON,320,,01,MONEY/BANK,3.0,"TU,TH",10:35,11:50,TODD,230,CLARK,0080,0083
,25817,ECON,330,,01,ECN OF SPORT,3.0,"TU,TH",10:35,11:50,TODD,434,FORT,0075,0075
,25833,ECON,350,,01,LABOR ECON,3.0,"M,W,F",13:10,,TODD,413,,0050,0053
,25882,ECON,401,,01,MACRO EC AN,3.0,"TU,TH",13:25,14:40,TODD,226,PEREZ,0035,0033
I,25890,ECON,402,,01,HIST EC THOT,3.0,"M,W,F",12:30,,MORR,214,DINOOTO,0020,0000
,11981,AGTM,315,L,01,IR SY&WT MGT,,TU,14:30,17:20,JML,42,,0030,0002
,25924,ECON,416,,01,COMP EC SYS,3.0,"M,W,F",11:10,,TODD,409,HALLAGAN,0035,0029
,25957,ECON,450,,01,COLL BARGAIN,3.0,"TU,TH",9:10,10:25,TODD,211,LEIGH,0030,0018
,25981,ECON,470,,02,INTERL TRADE,3.0,"M,W,F",11:10,,TODD,204,LOWINGER,0028,0030
,25999,ECON,472,,01,ECON DEVELOP,3.0,"TU,TH",10:35,11:50,TODD,121,NZIRAMASANGA,0015,0013
,26021,ECON,497,,01,ECON INTERN,V,,,,ARR,ARR,,0050,0002
,26039,ECON,499,,01,SP PROBLEMS,V,,,,ARR,ARR,,0100,0002
,26047,ECON,499,,02,SP PROBLEMS,V,,,,ARR,ARR,,0100,0000
,26054,ECON,500,,01,MACRO ANLYS,3.0,"TU,TH",9:10,10:25,TODD,126,PEREZ,0024,0016
,26062,ECON,501,,01,MICRO EC TH,3.0,"TU,TH",13:25,14:40,TODD,127,KRAUTKRAEMER,0024,0021
,26070,ECON,510,,01,MATH MODELS,3.0,"TU,TH",16:15,17:30,TODD,211,INABA,0015,0006
Q,11999,AGTM,331,,01,EL PW SYS AG,3.0,"TU,TH",12:10,,LJSM,111,SYMONS,0050,0022
,26104,ECON,540,,01,ADV PUB FIN,3.0,"M,W",12,13:15,JSNT,227,BATINA,0015,0004
,26120,ECON,572,,01,TH INST DEV,3.0,"TU,TH",14:50,16:05,JSNT,225,NZIRAMASANGA,0015,0004
,77727,ECON,590,,01,NAT RES SCAR,3.0,"TU,TH",10:35,11:50,TODD,409,KRAUTKRAEMER,0015,0005
,26153,ECON,600,,01,SP PR/IND ST,V,,,,ARR,ARR,,0100,0010
,26161,ECON,600,,02,SP PR/IND ST,V,,,,ARR,ARR,,0100,0002
,26179,ECON,700,,01,MAST TH EX,V,,,,ARR,ARR,,0100,0000
,26187,ECON,702,,01,MAST DIR ST,V,,,,ARR,ARR,,0100,0002
,26195,ECON,800,,01,DOCT DISS EX,V,,,,ARR,ARR,,0100,0013
,23978,E A,300,,01,EDUC ABROAD,V,,,,ARR,ARR,,0100,0090
,26203,ED AD,389,,01,LEADRSHP DEV,3.0,"TU,TH",10:35,11:50,SLOA,7,,0050,0028
,12005,AGTM,331,L,01,EL PW SYS AG,,W,14:10,17,LJSM,111,,0020,0005
,26229,ED AD,497,,01,PEER LEADER,V,TH,14:50,16:05,BRYN,402,O'CONNER,0050,0022
,26237,ED AD,497,,02,PEER LEADER,V,,,,ARR,ARR,,0050,0013
,26245,ED AD,497,,03,PEER LEADER,V,,,,ARR,ARR,,0050,0004
,26252,ED AD,497,,04,PEER LEADER,V,,,,ARR,ARR,,0050,0000
,85035,ED AD,497,,07,PEER LEADER,02.0,,,,ARR,ARR,JORGENSON,0050,0004
,85043,ED AD,497,,08,PEER LEADER,02.0,TU,14:00,15:30,ARR,ARR,THOMAS,0050,0000
,26260,ED AD,498,,01,LEADER PRACT,03.0,W,14:10,16,CLEV,312,,0100,0003
,26294,ED AD,499,,01,SP PROBLEMS,V,,,,ARR,ARR,,0100,0002
,26302,ED AD,507,,01,SOC FND EDUC,3.0,M,16:10,19,CLEV,247,GARDINER,0020,0019
T,26310,ED AD,510,,01,IMPROV INSTR,3.0,TH,16:15,19,MURW,54,PARKAY,0020,0008
,12013,AGTM,331,L,02,EL PW SYS AG,,TH,9:10,12,LJSM,111,,0020,0010
,65458,ED AD,516,,01,INSTR LDRSHP,V,W,16:15,19,CLEV,223,PARKAY,0020,0007
,82107,ED AD,518,,01,EDUC TECHNOL,3.0,M,19:10,22,MURW,55,CILLAY,0020,0003
,26344,ED AD,536,,01,INT QUAL RES,3.0,M,19:10,22,CLEV,382,GARDINER,0023,0020
,26351,ED AD,540,,01,ISS IN SPORT,3.0,"TU,TH",13:25,14:40,CLEV,382,ADAMS,0020,0008
,65466,ED AD,561,,01,ST DEV THRY,3.0,W,16:10,19,CLEV,223,BETTAS,0020,0013
,26385,ED AD,565,,01,MAST PRAC SA,3.0,,,,ARR,ARR,BETTAS,0020,0000
,65482,ED AD,567,,01,LEAD CHANGE,3.0,TU,16:10,19,CLEV,312,WOLVERTON,0020,0007
,26435,ED AD,577,,01,LAW PHYS ED,3.0,"TU,TH",9:10,10:25,CARP,212,ADAMS,0030,0008
,65490,ED AD,579,,01,ADMIN H ED,3.0,TU,19:10,22,CLEV,382,PAVEL,0020,0009
T,65508,ED AD,581,,01,POLITICS-EDU,3.0,TU,16:15,19,MURW,54,MICHAELIG,0020,0008
,12021,AGTM,331,L,03,EL PW SYS AG,,TH,14:10,17,LJSM,111,,0020,0006
T,26443,ED AD,582,,01,POL FORM FD,3.0,W,19:15,22,MURW,54,WOLVERTON,0025,0012
,26450,ED AD,582,,02,POL FORM FD,3.0,,,,ARR,ARR,RAY,0050,0000
,26476,ED AD,589,,01,LDR DEV SEM,3.0,,,,ARR,ARR,RAY,0050,0000
,26484,ED AD,590,,01,INTERNSHIP,V,,,,ARR,ARR,,0100,0007
,26492,ED AD,590,,02,INTERNSHIP,V,,,,ARR,ARR,RAY,0050,0002
,26500,ED AD,590,,03,INTERNSHIP,V,,,,ARR,ARR,RAY,0050,0000
,26526,ED AD,600,,01,SP PR/IND ST,V,,,,ARR,ARR,,0100,0001
,26534,ED AD,700,,01,MAST TH EX,V,,,,ARR,ARR,,0100,0000
,26542,ED AD,702,,01,MAST DIR ST,V,,,,ARR,ARR,,0100,0004
