faculty_name,office,dept_building,contact,faculty_title,terminal_degree,interests,honors_awards
"Anastasopoulos, Achilleas",4118,EECS,(734) 615-4024,"Assistant Professor, Electrical Engr & Computer Sci","Ph.D., University of Southern California","Communication theory (detection in uncertain environments, iterative detection based 
on soft-decision algorithms), Coding (turbo codes, TCM for non-interleaved fading channels)",
"Coffey, Sean",4238,EECS,(734) 764-5215,Associate Professor,Ph.D,"Channel coding theory, Information theory, Digital",
"Compton, Kevin J.",2236,EECS,(734) 763-9165,Associate Professor,Ph.D,"Theory of computation, Complexity of combinatorial and logical",
"Director, Stephen",2249,EECS,(734) 647-7010,Professor,"Ph.D., UC-Berkeley","Computer-Aided Design, CAD frameworks, Statistical design,","1970 and 1985 Best Paper Awards from the IEEE Circuits and Systems Society;
the 1976 Frederick Emmons Terman Award from the American Society for
Engineering Education; the 1978 W.R.G. Baker Prize Paper Award from the IEEE;
an IEEE Centennial Medal in 1984; the Society Award (Van Vaulkenburg Award)
from the Circuits and Systems Society and Best Paper Award from the ACM/IEEE
Design Automation Conference in 1992; and the Outstanding Achievement Award
from the IEEE Education Society in 1995. Director was named a Distinguished
Alumnus of the State University of New York at Stony Brook in 1984 and was
elected to the National Academy of Engineering in 1989. In 1996 he was selected as
the first recipient of the Aristotle Award from the Semiconductor Research
Corporation and the recipient of the1998 IEEE Education Medal."
"Durfee, Edmund H",120,ATL,(734) 936-1563,"Associate Professor, Electrical Engr & Computer Sci","Ph.D., U-Massachusetts",Multi-agent coordination and intelligent real-time systems,
"England, Anthony W",3240,EECS,(734) 763-5534,"Associate Dean, Rackham Graduate School
Professor, Electrical Engr & Computer Sci
Professor, Atmospheric, Oceanic and Space Sciences","Ph.D., MIT",Radiative transfer and remote sensing,
"Fessler, Jeffrey A.",4240,EECS,(734) 763-1434,"Associate Professor, Electrical Engr & Computer Sci
Associate Professor, Biomedical Engineering
Associate Professor, Internal Medicine/Nuclear Medicine","Ph.D ., Stanford","Statistical signal and image processing, Tomographic imaging",
"Freudenberg, James S.",4213,EECS,(734) 763-0586,"Associate Professor, Electrical Engr & Computer Sci","Ph.D ., U-Illinois","Linear multivariable feedback systems, Robustness and sensitivity",
"Furnas, George W.",304,West Hall,(734) 763-0076,"Professor, Electrical Engr & Computer Sci
Professor, School of Information",No information available,No information available,
"Gilchrist, Brian",3122,EECS,(734) 763-6230,": Associate Professor, Atmospheric, Oceanic, and Space Sciences
Associate Professor, Electrical Engr & Computer Sci","Ph.D ., Stanford","Plasma Electrodynamics in Space and Propulsion, Microwave",
"Green, Daniel G",3002,EECS,(734) 763-3457,"Professor, Electrical Engr & Computer Sci
Professor, Biomedical Engineering
Professor, Ophthalmology",No information available,"Bioengineering, Sensory processes, Signal processing, Physiology",
"Anderson, David J",4227,EECS,(734) 764-5417,Professor,Ph.D,"Bioengineering, Space medicine, Neurophysiology of the auditory",
"Grizzle, Jessy W",4221,EECS,: (734) 763-3598,"Professor, Electrical Engr & Computer Sci","Ph.D ., U-Texas, Austin","Analysis and control of nonlinear systems, Applications to automotive systems, 
Semiconductor manufacturing",
,,EECS,,,Ph.D,,
"Guo, Lingjie (Jay)",2302,EECS,: (734) 647-7718,"Assistant Professor, Electrical Engr & Computer Sci","Ph.D ., University of Minnesota","Nanoelectronic devices, nanofabrication technology and its application in optical and 
magnetic devices",
"Haddad, George I",2309,EECS,(734) 764-7139,Robert J. Hiller Professor of Electrical Engr & Computer Sci,"Ph.D .,U-Michigan","Microwave and millimeter-wave solid-state devices and integrated circuits, 
Microwave theory and techniques, Microwave-optical interactions, Optoelectronic devices and circuits",
